ParameterID,OLD_Fragrances,OLD_Phthalates,OLD_Flame Retardant,OLD_Pesticides,OLD_Volatile Organic Compounds (VOCs),OLD_Polycyclic Aromatic Hydrocarbons (PAHs),OLD_Chemicals in Commerce,OLD_Polychlorinated Biphenyl,OLD_Dioxins and Furans,OLD_Pharmacological,OLD_Personal Care,OLD_Consumer Products,NEW_Consumer & Personal Care Products,NEW_Flame Retardants,NEW_Agricultural & Pharmaceutical Chemicals,NEW_Industrial & Commercial Chemicals,"NEW_Pollutants from burning fuels, soot, smoke",NEW_Persistent Organic Pollutants (POPs),MultipleClassifications,ParameterName,CasNumber
301443,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,TRUE,Eugenol,97-53-0
302850,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,TRUE,Galaxolide,1222-05-5
303002,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,FALSE,Geraniol,106-24-1
303005,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,hydroxy-citronellal,107-75-5
303009,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,lilial,80-54-6
302989,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,TRUE,Linalool,78-70-6
303011,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,FALSE,METHYL 2-OCTYNOATE,111-12-6
302991,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,Methyleugenol,93-15-2
301537,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,Musk Ketone,81-14-1
301512,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,Musk Moskene,116-66-5
301527,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,Musk Tibetene (Moschustibeten),145-39-1
301504,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,Musk xylene,81-15-2
301478,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,TRUE,Phantolide,15323-35-0
301505,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,Tonalide,"1506-02-1, 21145-77-7"
301496,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,Traseolide,68140-48-7
301561,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,TRUE,Triclosan,3380-34-5
308187,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Diallyl phthalate,131-17-9
308195,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,bis(2-methoxyethyl)phthalate,117-82-8
308203,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Diisopentyl phthalate,605-50-5
308211,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Bis(2-ethoxyethyl) Phthalate,605-54-9
308227,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Diheptyl phthalate,3648-21-3
308235,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Didecyl phthalate,84-77-5
308251,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Diundecyl phthalate,3648-20-2
308259,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Ditridecyl phthalate,119-06-2
308267,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Diphenyl isophthalate,744-45-6
308275,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Dibenzyl phthalate,523-31-9
426,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Di(2-ethylhexyl)adipate,103-23-1
308314,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Tris(2-ethylhexyl) Trimellitate,3319-31-1
748,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,TRUE,Dimethyl phthalate,131-11-3
301315,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,TRUE,Diamyl phthalate,131-18-0
301639,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,TRUE,Diphenyl phthalate,84-62-8
301625,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,TRUE,Bis(2-butoxyethyl) phthalate,117-83-9
283,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,TRUE,Butyl benzyl phthalate,85-68-7
430,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,TRUE,Di-n-octyl phthalate,117-84-0
301606,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,TRUE,Di-n-hexyl phthalate,84-75-3
301673,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,TRUE,Di-n-nonyl phthalate,84-76-4
301166,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,TRUE,Di-n-propyl phthalate,131-16-8
462,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,TRUE,Diethyl phthalate,84-66-2
308184,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Bis(4-methylpentyl)phthalate,259139-51-0
293,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,TRUE,Bis(2-ethylhexyl)phthalate,117-81-7
301502,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,TRUE,Diisobutyl phthalate,84-69-5
301398,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,TRUE,Dicyclohexyl phthalate,84-61-7
308185,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,bis(2-ethylhexyl)terephthalate,6422-86-2
308440,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Diisopropyl phthalate,605-45-8
308448,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Bis(2-ethylhexyl) isophthalate,137-89-3
429,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,TRUE,Di-n-butyl phthalate,84-74-2
308605,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,Bis(2-propylheptyl) phthalate,53306-54-0
1037,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,TRUE,TPP,115-86-6
300639,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,TRUE,Tributyl phosphate,126-73-8
300714,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 49,243982-82-3
300715,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 99,60348-60-9
300716,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 153,68631-49-2
300727,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 17,147217-75-2
300728,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 47,5436-43-1
300729,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 66,189084-61-5
300730,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 75,189084-63-7
300732,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 100,189084-64-8
300733,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 154,207122-15-4
301429,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,TRUE,Triethyl phosphate,78-40-0
301477,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TCEP,115-96-8
301971,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TDCPP,13674-87-8
302066,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 1,7025-06-1
302067,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 2,6876-00-2
302068,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 3,101-55-3
302069,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 7,171977-44-9
302070,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 8,147217-71-8
302071,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 10,51930-04-2
302072,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 11,6903-63-5
302073,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 12,189084-59-1
302074,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 13,83694-71-7
302075,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 15,2050-47-7
302076,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 25,147217-77-4
302077,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 30,155999-95-4
302078,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 32,189084-60-4
302080,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 35,147217-80-9
302081,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 37,147217-81-0
302082,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 71,189084-62-6
302083,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 77,93703-48-1
302084,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 116,189084-65-9
302085,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 118,446254-80-4
302086,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 119,189084-66-0
302088,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 138,182677-30-1
302089,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 166,189084-58-0
302090,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 181,189084-67-1
302091,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 183,207122-16-5
302092,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 190,189084-68-2
302167,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,Di(2-ethylhexyl)tetrabromophthalate,26040-51-7
302170,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,TRUE,TCPP,26248-87-3
302172,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TBB,183658-27-7
302325,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,PBDE 28+33,41318-75-6 & 147217-78-5
34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,"1,2-Dibromo-3-chloropropane",96-12-8
170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,"4,4'-DDD",72-54-8
171,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,"4,4'-DDE",72-55-9
172,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,"4,4'-DDT",50-29-3
224,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Alachlor,15972-60-8
228,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Aldrin,309-00-2
231,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,FALSE,alpha-BHC,319-84-6
232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,alpha-Chlordane,5103-71-9
255,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,FALSE,Atrazine,1912-24-9
286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,beta-BHC,319-85-7
351,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Captafol,2425-06-1
352,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Captan,133-06-2
377,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Chlorobenzilate,510-15-6
382,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Chloroneb,2675-77-6
385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Chloropropylate,5836-10-2
386,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Chlorothalonil,1897-45-6
388,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,FALSE,Chlorpyrifos,2921-88-2
396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,cis-Permethrin,61949-76-6
415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Dacthal,1861-32-1
420,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,delta-BHC,319-86-8
431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Diallate I,2303-16-4
432,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,FALSE,Diazinon,333-41-5
450,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Dieldrin,60-57-1
466,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,FALSE,Dimethoate,60-51-5
512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,gamma-Chlordane,5103-74-2
521,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Isodrin,465-73-6
550,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,FALSE,Malathion,121-75-5
567,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,FALSE,Methoxychlor,72-43-5
642,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Phorate,298-02-2
644,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Imidan,732-11-6
668,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Propachlor,1918-16-7
767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Endosulfan II,33213-65-9
768,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Endosulfan sulfate,1031-07-8
769,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Endrin,72-20-8
770,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Endrin aldehyde,7421-93-4
771,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Endrin ketone,53494-70-5
777,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Ethion,563-12-2
778,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Ethoprophos,13194-48-4
812,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Lindane,58-89-9
817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Heptachlor,76-44-8
818,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Heptachlor epoxide,1024-57-3
820,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TRUE,Hexachlorobenzene,118-74-1
822,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,HCCPD,77-47-4
857,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Metolachlor,51218-45-2
864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Mirex,2385-85-5
917,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Parathion-ethyl,56-38-2
919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Parathion-methyl,298-00-0
952,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Pentachloronitrobenzene,82-68-8
974,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Simazine,122-34-9
1019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,trans-Nonachlor,39765-80-5
1020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,trans-Permethrin,61949-77-7
1034,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Trifluralin,1582-09-8
300237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Bifenthrin,82657-04-3
300240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Pendimethalin,40487-42-1
300246,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Vinclozolin,50471-44-8
300247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Propanil,709-98-8
300249,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Endosulfan I,959-98-8
300250,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Iprodione,36734-19-7
300253,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Fenitrothion,122-14-5
300604,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,"p,p'-Dicofol",115-32-2
300605,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Perthane,72-56-0
300631,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Esfenvalerate,66230-04-4
300640,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Oxadiazon,19666-30-9
301170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Fonofos,944-22-9
301213,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Chlorpyrifos Methyl,5598-13-0
301552,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Fipronil-sulfide,120067-83-6
301558,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,FALSE,Fipronil,120068-37-3
301583,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Fipronil-sulfone,120068-36-2
301698,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,acetamiprid,135410-20-7
302157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Etridiazole,2593-15-9
302488,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,L-Cyhalothrin,91465-08-6
302489,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,"o,p'-Dicofol",10606-46-9
302496,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Cypermethrin,52315-07-8
303176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,Cyfluthrin,68359-37-5
303182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,deltamethrin and tralomethrin,52918-63-5 & 66841-25-6
27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,"1,2,3-Trichlorobenzene",87-61-6
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,"1,2,3-Trimethylbenzene",526-73-8
32,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,TRUE,"1,2,4-Trichlorobenzene",120-82-1
33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,"1,2,4-Trimethylbenzene",95-63-6
36,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,TRUE,o-Dichlorobenzene,95-50-1
45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,"1,3,5-Trimethylbenzene",108-67-8
48,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,TRUE,"1,3-Dichlorobenzene",541-73-1
54,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,TRUE,p-Dichlorobenzene,106-46-7
136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,2-Chlorotoluene,95-49-8
187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,4-Chlorotoluene,106-43-4
580,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,n-Pentadecane,629-62-9
584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,n-Propylbenzene,103-65-1
587,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,n-Tetradecane,629-59-4
875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,n-Butylbenzene,104-51-8
878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,n-Dodecane,112-40-3
888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,n-Hexadecane,544-76-3
914,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,p-Isopropyltoluene,99-87-6
963,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,sec-Butylbenzene,135-98-8
988,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,Styrene,100-42-5
1012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,tert-Butylbenzene,98-06-6
1259,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,Xylenes (m and p),108-38-3 & 106-42-3
69,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRUE,1-methylnaphthalene,90-12-0
70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,1-methylphenanthrene,832-69-9
146,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRUE,2-methylnaphthalene,91-57-6
201,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,6-methylchrysene,1705-85-7
202,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,"7,12-dimethylbenz[a]anthracene",57-97-6
208,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,acenaphthene,83-32-9
210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,acenaphthylene,208-96-8
247,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,anthracene,120-12-7
272,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,benz[a]anthracene,56-55-3
273,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,benzo[a]pyrene,50-32-8
275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,benzo[b]fluoranthene,205-99-2
276,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,benzo[e]pyrene,192-97-2
277,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,Benzo[ghi]perylene,191-24-2
278,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,benzo[j]fluoranthene,205-82-3
279,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,benzo[k]fluoranthene,207-08-9
390,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,chrysene,218-01-9
434,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,"dibenzo[a,h]anthracene",53-70-3
436,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,"dibenzo[a,e]pyrene",192-65-4
481,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,TRUE,fluoranthene,206-44-0
482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,fluorene,86-73-7
595,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,naphthalene,91-20-3
635,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,phenanthrene,85-01-8
