cas_rn,see_details
1615-80-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20932
110-71-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20582
540-73-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21348
122-66-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20696
106-88-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20521
2451-62-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21058
108-67-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20554
59653-74-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21439
106-99-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20525
96-23-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22640
542-75-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23123
99-65-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22695
75321-20-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22140
117933-89-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25604
676367-05-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25603
343934-04-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25594
676367-09-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25595
343934-05-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25596
676367-04-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25597
676367-08-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25598
676367-03-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25599
676367-07-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25600
676367-02-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25601
676367-06-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25602
1120-71-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20611
55-98-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21393
764-41-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22167
89-61-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25442
123-91-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20706
505-29-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25706
3173-72-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21150
42397-64-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21259
15087-24-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25454
42397-65-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21260
555-84-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22990
26264-02-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25557
81-49-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22264
82-28-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22270
109-70-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25512
106-94-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20523
108427-54-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25592
2426-08-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25513
92011-17-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25568
72033-41-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25562
1187817-57-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25590
202189-84-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25579
341035-71-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25581
55120-77-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25571
41184-65-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25585
350836-93-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25584
82382-12-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25563
41242-12-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25586
70136-72-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25561
129-43-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20746
70-25-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22009
90-12-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22381
134-32-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20817
5522-43-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21369
29081-56-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21122
2795-39-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21114
29457-72-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21126
1072-63-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25487
111-41-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20601
3570-75-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23017
36437-37-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23620
25973-55-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23013
2094-99-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21014
80-54-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25608
83056-32-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22276
85005-55-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25797
27986-36-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25798
1116-54-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20604
16938-22-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20949
3296-90-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21167
2536-05-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21074
60851-34-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21465
57117-31-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21408
42498-58-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21262
67733-57-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21706
50585-41-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21295
1746-01-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20959
51207-31-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21303
96-13-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22637
602-01-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21451
106-91-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25400
3033-77-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21140
15646-96-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20915
95-95-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23019
137-17-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20841
21436-97-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21020
88-06-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22368
81-15-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22262
732-26-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22064
118-96-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20637
3397-62-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23700
615-05-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21477
39156-41-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21236
95-80-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22632
611-06-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25445
94-75-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23126
105-67-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20503
121-14-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20671
25321-14-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22702
3864-99-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23619
142-83-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20871
619-15-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21489
110-13-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23621
1456-28-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20881
606-20-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21463
87-62-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22362
72319-19-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22049
85702-90-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22352
20427-84-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25637
27176-93-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25799
7311-27-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25653
2315-61-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25638
151798-26-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20907
2315-67-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25639
1119449-37-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25628
1119449-38-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25629
27942-27-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25645
65455-69-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25800
27177-03-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25801
2497-59-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25640
27177-05-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25556
14409-72-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25632
26571-11-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25644
27177-08-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25802
53-96-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21346
68006-83-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21715
76180-96-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22164
95-85-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25448
712-68-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22991
67730-11-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21705
117-79-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20630
67730-10-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21704
153-78-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20909
3846-71-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23012
119313-12-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25485
75-26-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22136
96-29-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25517
112-07-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25846
111-76-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20606
94723-86-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22607
2040-90-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21002
88-73-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25443
598-78-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21444
7580-31-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22156
15571-58-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22962
103-11-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25438
80387-97-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22255
149-30-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23674
3121-61-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25609
1589-47-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20924
70657-70-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22021
71868-10-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25399
129-15-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20745
534-52-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21341
75-55-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22148
693-98-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21996
584-84-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21425
91-57-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22444
95-48-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22619
612-52-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21471
91-59-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22446
553-00-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23604
612-52-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23605
91-23-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22443
607-57-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21464
581-89-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21423
79-46-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22242
1943-82-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20988
60153-49-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21450
14047-09-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20856
28434-86-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21119
91-94-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22453
612-83-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21473
119-90-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20643
20325-40-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21001
119-93-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20644
2426-02-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21048
610-39-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21468
618-85-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21488
20636-48-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25553
91648-64-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25803
5146-66-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23694
105735-71-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20504
22506-53-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21033
28772-56-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25610
132-32-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20788
6109-97-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21469
563-47-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21396
143860-04-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20874
4098-71-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21252
56-49-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21399
108-39-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20550
96-24-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23002
17117-34-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20955
521947-27-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25649
186825-36-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25634
142731-63-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25631
52427-13-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25650
861011-60-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25546
94-82-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23127
186825-39-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25635
30784-32-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25547
64091-91-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21535
612-82-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21472
90-94-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22431
101-80-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20475
6807-17-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21718
838-88-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22284
101-14-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20437
5124-30-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21304
101-77-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20467
13552-44-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20828
139-65-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20855
57321-10-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25804
119-34-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20640
399-95-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21241
101-55-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20462
106-47-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20514
100-00-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25441
95-83-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22633
95-69-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22628
3165-93-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21149
104-12-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20493
1987-50-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25636
4083-64-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21251
27459-10-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25754
822-36-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22269
91-08-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22440
92-93-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22555
57835-92-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21419
127087-87-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25630
26027-38-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25641
98-73-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25611
98-54-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25495
140-66-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20857
156609-10-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25552
106-87-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20520
100-40-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20408
139-91-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22992
95-79-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22631
484-20-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21286
3697-24-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21208
602-87-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21452
85136-74-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22327
7496-02-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22120
57-97-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21420
111298-82-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20597
194-59-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20990
199327-61-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20997
129-64-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20748
123748-85-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20703
26148-68-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21088
154229-18-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23679
101316-45-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20441
83-32-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22281
208-96-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21012
30560-19-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23128
75-07-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22129
60-35-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21458
59-66-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23380
34256-82-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23129
546-88-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23381
