cas_rn,see_details,endocrine_toxicity,respiratory_toxicity,carcinogenicity,genotoxicity,reproductive_toxicity,developmental_toxicity,neurotoxicity,pbt,tot_haz
88-74-4,NA,0,0,0,0,0,0,0,0,0
88-75-5,NA,0,0,0,0,0,0,0,0,0
119-90-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20643,0,0,1,0,0,0,0,0,1
119-90-4,NA,1,0,1,0,0,0,0,0,2
16655-82-6,NA,0,0,0,0,0,0,0,0,0
108-39-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20550,0,0,0,0,0,0,1,0,1
99-09-2,NA,0,0,0,0,0,0,0,0,0
72-54-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23296,0,0,1,0,0,0,1,0,2
72-55-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23297,0,0,1,0,1,1,1,0,4
50-29-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23187,0,0,1,0,1,1,1,1,5
50-29-3,NA,1,0,0,0,0,0,0,0,1
101-80-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20475,0,0,1,1,0,0,0,0,2
534-52-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21341,0,0,0,0,0,0,1,0,1
92-67-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22548,0,0,1,0,0,0,0,0,1
92-67-1,NA,0,0,1,0,0,0,0,0,1
59-50-7,NA,1,0,0,0,0,0,0,0,1
106-47-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20514,0,0,1,0,0,0,0,0,1
106-47-8,NA,1,0,0,0,0,0,0,0,1
7005-72-3,NA,0,0,0,0,0,0,0,0,0
106-44-5,NA,1,0,0,0,0,0,0,0,1
100-01-6,NA,0,0,0,0,0,0,0,0,0
92-93-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22555,0,0,1,0,0,0,0,0,1
100-02-7,NA,1,0,0,0,0,0,0,0,1
99-99-0,NA,0,0,0,0,0,0,0,0,0
602-87-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21452,0,0,1,0,0,0,0,0,1
602-87-9,NA,0,0,1,0,0,0,0,0,1
1705-85-7,NA,0,0,0,0,0,0,0,0,0
57-97-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21420,0,0,1,0,0,0,0,0,1
57-97-6,NA,1,0,1,0,0,0,0,0,2
83-32-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22281,0,0,0,0,0,0,0,1,1
208-96-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21012,0,0,0,0,0,0,0,1,1
15972-60-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23131,0,0,1,0,0,0,0,0,1
15972-60-8,NA,0,0,1,0,0,0,0,0,1
309-00-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23133,0,0,1,0,0,0,1,1,3
319-84-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23136,0,0,1,0,0,0,1,0,2
5103-71-9,NA,0,0,0,0,0,0,0,0,0
834-12-8,NA,1,0,1,0,0,0,0,0,2
2032-59-9,NA,0,0,0,0,0,0,0,0,0
101-05-3,NA,1,0,0,0,0,0,0,0,1
62-53-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21496,0,0,1,0,0,0,0,0,1
120-12-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20652,0,0,1,0,0,0,0,1,2
120-12-7,NA,1,0,0,0,0,0,0,0,1
140-57-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23139,0,0,1,0,0,0,0,0,1
140-57-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23245,0,0,1,0,0,0,0,0,1
1610-17-9,NA,0,0,0,0,0,0,0,0,0
1912-24-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23141,0,0,0,0,1,1,0,0,2
1912-24-9,NA,1,0,1,0,0,0,0,0,2
86-50-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23144,0,0,0,0,0,0,1,0,1
86-50-0,NA,1,0,0,0,0,0,0,0,1
103-33-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20490,0,0,1,0,0,0,0,0,1
103-33-3,NA,1,0,0,0,0,0,0,0,1
101-27-9,NA,0,0,0,0,0,0,0,0,0
114-26-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23315,0,0,1,0,0,0,1,0,2
25057-89-0,NA,0,0,0,0,0,0,0,0,0
92-87-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22553,0,0,1,0,0,0,1,0,2
92-87-5,NA,1,0,1,0,0,0,0,0,2
56-55-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21401,0,0,1,0,0,0,0,1,2
56-55-3,NA,1,0,0,0,0,0,0,0,1
50-32-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21292,0,0,1,1,1,0,1,1,5
50-32-8,NA,0,0,1,0,0,0,0,0,1
205-99-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21008,0,0,1,0,0,0,0,1,2
192-97-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20983,0,0,1,0,0,0,0,0,1
191-24-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20979,0,0,0,0,0,0,0,1,1
205-82-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21006,0,0,1,0,0,0,0,1,2
207-08-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21010,0,0,1,0,0,0,0,1,2
100-51-6,NA,0,0,0,0,0,0,0,0,0
85-68-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22349,1,0,0,0,1,1,0,0,3
85-68-7,NA,1,0,0,0,0,0,0,0,1
319-85-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23149,0,0,1,0,0,0,0,0,1
117-81-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20631,1,0,1,0,1,1,0,0,4
117-81-7,NA,1,0,0,0,0,0,0,0,1
314-40-9,NA,0,0,0,0,0,0,0,0,0
1689-84-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23155,0,0,0,0,0,1,0,0,1
23184-66-9,NA,0,0,0,0,0,0,0,0,0
2008-41-5,NA,0,0,0,0,0,0,0,0,0
2425-1-6,NA,0,0,0,0,0,0,0,0,0
133-06-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20801,0,0,1,0,0,0,0,0,1
63-25-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23159,0,0,1,0,1,1,0,0,3
63-25-2,NA,1,0,0,0,0,0,0,0,1
86-74-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22358,0,0,1,0,0,0,0,0,1
1563-66-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23161,0,0,0,0,0,0,1,0,1
786-19-6,NA,0,0,0,0,0,0,0,0,0
5234-68-4,NA,1,0,0,0,0,0,0,0,1
470-90-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23169,0,0,0,0,0,0,1,0,1
510-15-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23219,0,0,1,0,0,0,1,0,2
2675-77-6,NA,0,0,0,0,0,0,0,0,0
5836-2-10,NA,0,0,0,0,0,0,0,0,0
1897-45-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20978,0,0,1,0,0,0,0,0,1
101-21-3,NA,1,0,0,0,0,0,0,0,1
2921-88-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23173,0,0,0,0,0,1,1,0,2
2921-88-2,NA,1,0,0,0,0,0,0,0,1
218-01-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21023,0,0,1,0,0,0,0,1,2
5103-73-1,NA,0,0,0,0,0,0,0,0,0
56-72-4,NA,1,0,0,0,0,0,0,0,1
7700-17-6,NA,0,0,0,0,0,0,0,0,0
1134-23-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23178,0,0,0,0,0,1,0,0,1
1134-23-2,NA,1,0,0,0,0,0,0,0,1
5989-27-5,NA,0,0,0,0,0,0,0,0,0
1861-32-1,NA,1,0,0,0,0,0,0,0,1
319-86-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23189,0,0,0,0,0,0,1,0,1
126-75-0,NA,0,0,0,0,0,0,0,0,0
84-74-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22297,1,0,0,0,1,1,0,0,3
117-84-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20633,0,0,0,0,0,1,0,0,1
2303-16-4,NA,0,0,0,0,0,0,0,0,0
333-41-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23192,0,0,1,0,0,0,1,0,2
333-41-5,NA,1,0,0,0,0,0,0,0,1
53-70-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21343,0,0,1,0,0,0,0,1,2
53-70-3,NA,0,0,1,0,0,0,0,0,1
192-65-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20982,0,0,1,0,0,0,0,1,2
132-64-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20796,0,0,0,0,0,0,0,1,1
1918-00-9,NA,0,0,0,0,0,0,0,0,0
117-80-6,NA,0,0,0,0,0,0,0,0,0
99-30-9,NA,0,0,0,0,0,0,0,0,0
120-36-5,NA,0,0,0,0,0,0,0,0,0
62-73-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23193,0,0,1,0,0,0,1,0,2
62-73-7,NA,0,0,1,0,0,0,0,0,1
141-66-2,NA,0,0,0,0,0,0,0,0,0
60-57-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23197,0,0,1,0,0,0,1,1,3
60-57-1,NA,0,0,1,0,0,0,0,0,1
84-66-2,NA,0,0,0,0,0,0,0,0,0
56-53-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23064,0,0,1,0,0,1,0,0,2
56-53-1,NA,1,0,1,0,0,0,0,0,2
111-46-6,NA,0,0,0,0,0,0,0,0,0
60-51-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23198,0,0,0,0,0,0,1,0,1
60168-88-9,NA,1,0,0,0,0,0,0,0,1
115-90-2,NA,0,0,0,0,0,0,0,0,0
55-38-9,NA,1,0,0,0,0,0,0,0,1
101-42-8,NA,0,0,0,0,0,0,0,0,0
33245-39-5,NA,0,0,0,0,0,0,0,0,0
2164-17-2,NA,0,0,0,0,0,0,0,0,0
206-44-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21009,0,0,0,0,0,0,0,1,1
206-44-0,NA,1,0,0,0,0,0,0,0,1
86-73-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22357,0,0,0,0,0,0,0,1,1
59756-60-4,NA,1,0,0,0,0,0,0,0,1
5103-74-2,NA,0,0,0,0,0,0,0,0,0
465-73-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23080,0,0,0,0,0,0,0,1,1
143-50-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23166,0,0,1,0,0,1,0,1,3
143-50-0,NA,1,0,0,0,0,0,0,0,1
21609-90-5,NA,0,0,0,0,0,0,0,0,0
330-55-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23252,0,0,0,0,1,1,0,0,2
121-75-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23253,0,0,1,0,0,0,1,0,2
121-75-5,NA,1,0,1,0,0,0,0,0,2
150-50-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23257,0,0,0,0,0,0,1,0,1
2032-65-7,NA,1,0,0,0,0,0,0,0,1
16752-77-5,NA,0,0,0,0,0,0,0,0,0
72-43-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23265,0,0,0,0,0,0,1,1,2
72-43-5,NA,1,0,0,0,0,0,0,0,1
950-35-6,NA,0,0,0,0,0,0,0,0,0
300-76-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23280,0,0,0,0,0,0,1,0,1
91-20-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22441,0,0,1,0,0,0,1,1,3
54-11-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23000,0,0,0,0,0,1,0,0,1
1836-75-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23283,0,0,1,0,1,0,0,1,3
1836-75-5,NA,1,0,0,0,0,0,0,0,1
27314-13-2,NA,1,0,0,0,0,0,0,0,1
95-53-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22622,0,0,1,0,0,0,0,0,1
95-53-4,NA,0,0,1,0,0,0,0,0,1
152-16-9,NA,0,0,0,0,0,0,0,0,0
85-01-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22317,0,0,0,0,0,0,0,1,1
108-95-2,NA,0,0,0,0,0,0,0,0,0
298-02-2,NA,0,0,0,0,0,0,0,0,0
2310-17-0,NA,1,0,0,0,0,0,0,0,1
732-11-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23304,0,0,0,0,0,0,1,0,1
732-11-6,NA,1,0,1,0,0,0,0,0,2
13171-21-6,NA,0,0,0,0,0,0,0,0,0
2631-37-0,NA,0,0,0,0,0,0,0,0,0
1610-18-0,NA,1,0,0,0,0,0,0,0,1
7287-19-6,NA,1,0,0,0,0,0,0,0,1
23950-58-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23312,0,0,1,0,0,0,0,0,1
23950-58-5,NA,1,0,0,0,0,0,0,0,1
1918-16-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23313,0,0,1,0,0,0,0,0,1
139-40-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23701,0,0,0,0,1,1,0,0,2
139-40-2,NA,0,0,1,0,0,0,0,0,1
122-42-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25712,0,0,0,0,0,0,1,0,1
34643-46-4,NA,0,0,0,0,0,0,0,0,0
129-00-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20744,0,0,0,0,0,0,0,1,1
129-00-0,NA,1,0,0,0,0,0,0,0,1
91-22-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22442,0,0,1,0,0,0,0,0,1
299-84-3,NA,0,0,0,0,0,0,0,0,0
297-97-2,NA,0,0,0,0,0,0,0,0,0
131-11-3,NA,0,0,0,0,0,0,0,0,0
39300-45-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23199,0,0,0,0,1,1,0,0,2
88-85-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23200,0,0,0,0,1,1,0,0,2
6988-21-2,NA,0,0,0,0,0,0,0,0,0
122-39-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=25762,0,0,1,0,0,0,0,0,1
122-39-4,NA,1,0,0,0,0,0,0,0,1
957-51-7,NA,0,0,0,0,0,0,0,0,0
298-04-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23203,0,0,0,0,0,0,1,0,1
298-04-4,NA,0,0,1,0,0,0,0,0,1
2497-5-6,NA,0,0,0,0,0,0,0,0,0
330-54-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23204,0,0,1,0,0,0,0,0,1
330-54-1,NA,0,0,1,0,0,0,0,0,1
33213-65-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23206,0,0,0,0,0,0,0,1,1
1031-07-8,NA,1,0,0,0,0,0,0,0,1
72-20-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23210,0,0,0,0,0,1,1,1,3
7421-93-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23070,0,0,0,0,0,0,1,0,1
53494-70-5,NA,0,0,0,0,0,0,0,0,0
2104-64-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23218,0,0,0,0,0,0,1,0,1
2104-64-5,NA,1,0,0,0,0,0,0,0,1
759-94-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23216,0,0,0,0,0,1,0,0,1
563-12-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23214,0,0,0,0,0,0,1,0,1
563-12-2,NA,1,0,0,0,0,0,0,0,1
2593-15-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23339,0,0,1,0,0,0,0,0,1
2593-15-9,NA,0,0,1,0,0,0,0,0,1
52-85-7,NA,0,0,0,0,0,0,0,0,0
58-89-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23232,0,0,1,0,0,0,0,1,2
76-44-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23236,0,0,1,0,0,1,0,1,3
1024-57-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23079,0,0,1,0,0,0,0,1,2
118-74-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23237,0,0,1,0,0,1,1,1,4
70-30-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23462,0,0,0,0,0,0,1,0,1
51235-04-2,NA,0,0,0,0,0,0,0,0,0
193-39-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=20984,0,0,1,0,0,0,0,1,2
51218-45-2,NA,0,0,0,0,0,0,0,0,0
21087-64-9,NA,0,0,0,0,0,0,0,0,0
7786-34-7,NA,0,0,0,0,0,0,0,0,0
2385-85-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23275,0,0,1,0,0,0,1,1,3
2212-67-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23276,0,0,0,0,1,1,0,0,2
2212-67-1,NA,1,0,0,0,0,0,0,0,1
6923-22-4,NA,0,0,0,0,0,0,0,0,0
23135-22-0,NA,0,0,0,0,0,0,0,0,0
27304-13-8,NA,0,0,0,0,0,0,0,0,0
56-38-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23298,0,0,1,0,0,0,1,0,2
56-38-2,NA,1,0,1,0,0,0,0,0,2
298-00-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23268,0,0,0,0,0,0,1,0,1
298-00-0,NA,1,0,0,0,0,0,0,0,1
1114-71-2,NA,0,0,0,0,0,0,0,0,0
608-93-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23006,0,0,0,0,0,0,0,1,1
82-68-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23300,0,0,0,0,0,0,0,1,1
87-86-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23301,0,0,1,0,0,0,0,1,2
87-86-5,NA,1,0,0,0,0,0,0,0,1
52645-53-1,NA,1,0,0,0,0,0,0,0,1
26259-45-0,NA,0,0,0,0,0,0,0,0,0
122-34-9,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23324,0,0,0,0,1,1,0,0,2
122-34-9,NA,1,0,1,0,0,0,0,0,2
1014-70-6,NA,0,0,0,0,0,0,0,0,0
3689-24-5,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23331,0,0,0,0,0,0,1,0,1
35400-43-2,NA,1,0,0,0,0,0,0,0,1
1918-18-9,NA,0,0,0,0,0,0,0,0,0
95-06-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23328,0,0,1,0,0,0,0,0,1
95-06-7,NA,0,0,1,0,0,0,0,0,1
34014-18-1,NA,0,0,0,0,0,0,0,0,0
5902-51-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23337,0,0,0,0,0,1,0,0,1
13071-79-9,NA,0,0,0,0,0,0,0,0,0
5915-41-3,NA,1,0,1,0,0,0,0,0,2
886-50-0,NA,0,0,0,0,0,0,0,0,0
107-49-3,NA,0,0,0,0,0,0,0,0,0
39765-80-5,NA,0,0,0,0,0,0,0,0,0
78-32-0,NA,0,0,0,0,0,0,0,0,0
2303-17-5,NA,0,0,0,0,0,0,0,0,0
327-98-0,NA,0,0,0,0,0,0,0,0,0
41814-78-2,NA,0,0,0,0,0,0,0,0,0
1582-09-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23353,0,0,0,0,0,0,0,1,1
115-86-6,NA,1,0,0,0,0,0,0,0,1
1929-77-7,NA,0,0,0,0,0,0,0,0,0
118-79-6,NA,1,0,0,0,0,0,0,0,1
92-52-4,NA,0,0,0,0,0,0,0,0,0
13194-48-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23215,0,0,1,0,0,0,0,0,1
13194-48-4,NA,1,0,0,0,0,0,0,0,1
16605-91-7,NA,0,0,0,0,0,0,0,0,0
21725-46-2,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23177,0,0,0,0,0,1,0,0,1
21725-46-2,NA,0,0,1,0,0,0,0,0,1
43121-43-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23349,0,0,0,0,1,1,0,0,2
92-86-4,NA,0,0,0,0,0,0,0,0,0
626-15-3,NA,0,0,0,0,0,0,0,0,0
80-05-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=22247,1,0,0,0,1,1,0,0,3
80-05-7,NA,1,0,0,0,0,0,0,0,1
29973-13-5,NA,0,0,0,0,0,0,0,0,0
2179-25-1,NA,0,0,0,0,0,0,0,0,0
15299-99-7,NA,1,0,0,0,0,0,0,0,1
107534-96-3,NA,0,0,0,0,0,0,0,0,0
88671-89-0,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23278,0,0,0,0,1,1,0,0,2
82657-04-3,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23151,0,0,0,0,0,0,1,0,1
82657-04-3,NA,1,0,0,0,0,0,0,0,1
40487-42-1,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23299,0,0,0,0,0,0,0,1,1
52918-63-5,NA,0,0,0,0,0,0,0,0,0
50471-44-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23357,0,0,1,0,1,1,0,0,3
709-98-8,NA,1,0,0,0,0,0,0,0,1
959-98-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23207,0,0,0,0,0,0,0,1,1
36734-19-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23244,0,0,1,0,0,0,0,0,1
10265-92-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23262,0,0,0,0,0,0,1,0,1
29232-93-7,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=23307,0,0,0,0,0,0,1,0,1
29232-93-7,NA,1,0,0,0,0,0,0,0,1
122-14-5,NA,1,0,0,0,0,0,0,0,1
60145-21-3,NA,0,0,0,0,0,0,0,0,0
52663-69-1,NA,0,0,0,0,0,0,0,0,0
35065-30-6,NA,0,0,0,0,0,0,0,0,0
74472-42-7,NA,0,0,0,0,0,0,0,0,0
35065-28-2,NA,0,0,0,0,0,0,0,0,0
38380-07-3,NA,0,0,0,0,0,0,0,0,0
57465-28-8,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21415,0,0,1,0,0,0,0,0,1
31508-00-6,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21148,0,0,0,0,0,0,0,1,1
32598-14-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21160,0,0,0,0,0,0,0,1,1
38380-01-7,NA,0,0,0,0,0,0,0,0,0
52663-62-4,NA,0,0,0,0,0,0,0,0,0
32598-13-3,NA,0,0,0,0,0,0,0,0,0
38444-90-5,NA,0,0,0,0,0,0,0,0,0
41411-63-6,NA,0,0,0,0,0,0,0,0,0
41464-40-8,NA,0,0,0,0,0,0,0,0,0
35065-29-3,NA,0,0,0,0,0,0,0,0,0
38380-08-4,https://calsafer.dtsc.ca.gov/cms/candidate-chemical/?rid=21231,0,0,0,0,0,0,0,1,1
35065-27-1,NA,0,0,0,0,0,0,0,0,0
37680-73-2,NA,0,0,0,0,0,0,0,0,0
35693-99-3,NA,0,0,0,0,0,0,0,0,0
33284-50-3,NA,0,0,0,0,0,0,0,0,0
