ParameterID,ParameterName,CASNumber,AlternateName,MolecularFormula,MolecularWeight
466,Dimethoate,60-51-5,,C5H12NO3PS2,229.2598
300249,Endosulfan I,959-98-8,Endosulfan (alpha isomer),C9H6Cl6O3S,406.9274
767,Endosulfan II,33213-65-9,Endosulfan (beta isomer),C9H6Cl6O3S,406.9274
768,Endosulfan sulfate,1031-07-8,,C9H6Cl6O4S,422.9264
769,Endrin,72-20-8,,C12H8Cl6O,380.9122
770,Endrin aldehyde,7421-93-4,,C12H8Cl6O,380.9122
771,Endrin ketone,53494-70-5,,C12H8Cl6O,380.912
300631,Esfenvalerate,66230-04-4,Asana,C25H22ClNO3,419.9
777,Ethion,563-12-2,,C9H22O4P2S4,384.4808
300243,Ethoprophos,13194-48-4,,C8H19O2PS2,242.332
302157,Etridiazole,2593-15-9,,C5H6CI3N2OS,247.533
300253,Fenitrothion,122-14-5,,C9H12NO5PS,277.2358
301558,Fipronil,120068-37-3,,C12H4Cl2F6N4OS,437.151
301552,Fipronil-sulfide,120067-83-6,,C12H4Cl2F6N4S,421.142
301583,Fipronil-sulfone,120068-36-2,,C12H4Cl2F6N4O2S,453.1496
301170,Fonofos,944-22-9,,C10H15OPS2,246.3335
512,gamma-Chlordane,5103-74-2,trans-Chlordane,C10H6Cl8,409.7814
822,HCCPD,77-47-4,Hexachlorocyclopentadiene,C5CI6,272.773
817,Heptachlor,76-44-8,,C10H5Cl7,373.32
818,Heptachlor epoxide,1024-57-3,Heptachlor exo-epoxide isomer B,C10H5Cl7O,389.3195
820,Hexachlorobenzene,118-74-1,NULL,C6Cl6,284.784
644,Imidan,732-11-6,"Phosmet / 2-(dimethoxyphosphinothioylsulfanylmethyl)isoindole-1,3-dione",C11H12NO4PS2,317.31
300250,Iprodione,36734-19-7,,C13H13Cl2N3O3,330.1697
521,Isodrin,465-73-6,NULL,C12H8Cl6,364.9132
302488,L-Cyhalothrin,91465-08-6,,C12H8CI6,364.9132
812,Lindane,58-89-9,NULL,C6H6Cl6,290.8314
550,Malathion,121-75-5,Malathion,C10H19O6PS2,138.26
567,Methoxychlor,72-43-5,NULL,C16H15Cl3O2,345.651
857,Metolachlor,51218-45-2,2-chloro-2'-ethyl-N-(2-methoxy-1-methylethyl)-6'-methylacetanilide,C15H22ClNO2,283.8
864,Mirex,2385-85-5,,C10Cl12,545.546
302489,"o,p'-Dicofol",10606-46-9,,C14H9CI5O,370.489
300640,Oxadiazon,19666-30-9,,C15H18Cl2N2O3,345.224
300604,"p,p'-Dicofol",115-32-2,"p,p'-Kelthane",C14H9Cl5O,370.489
917,Parathion-ethyl,56-38-2,Parathion,C10H14NO5PS,291.263
919,Parathion-methyl,298-00-0,,C8H10NO5PS,263.209
300240,Pendimethalin,40487-42-1,Prowl,C13H19N3O4,281.31
952,Pentachloronitrobenzene,82-68-8,"Benzene, 1,2,3,4,5-pentachloro-6-nitro-",C6Cl5NO2,295.33
300605,Perthane,72-56-0,,C18H20Cl2,307.262
642,Phorate,298-02-2,,C7H17O2PS3,260.3813
668,Propachlor,1918-16-7,,C11H14ClNO,211.6906
300247,Propanil,709-98-8,,C9H9Cl2NO,218.082
974,Simazine,122-34-9,,C7H12ClN5,201.66
1019,trans-Nonachlor,39765-80-5,,C10H5Cl9,444.2265
1020,trans-Permethrin,61949-77-7,,C21H20CI2O3,391.292
1034,Trifluralin,1582-09-8,,C13H16F3N3O4,335.28
300246,Vinclozolin,50471-44-8,Vinclozolin,C12H9Cl2NO3,286.11
