ParameterID,ParameterName,CasNumber,MolecularFormula,MolecularWeight
186,4-Chlorophenyl phenyl ether,7005-72-3,C12H9ClO,204.6551
187,4-Chlorotoluene,106-43-4,C7H7Cl,126.584
188,4-Methyl-2-pentanone,108-10-1,C6H12O,100.16
189,4-Methylphenol,106-44-5,C7H8O,108.1392
190,4-Nitroaniline,100-01-6,C6H6N2O2,138.125
191,4-Nitrobiphenyl,92-93-3,C12H9NO2,199.208
192,4-Nitrophenol,100-02-7,C6H5NO3,139.1095
193,4-Nitroquinoline-n-oxide,56-57-5,C9H6N2O3,190.16
194,p-Nitrotoluene,99-99-0,C7H7NO2,137.1360
195,"5,5-Diphenylhydantoin",57-41-0,C15H12N2O2,252.27
196,5-Chloro-2-methylaniline,95-79-4,C7H8ClN,141.6
197,5-Hydroxydicamba,7600-50-2,C8H6Cl2O4,237.03
198,5-Nitro-o-anisidine,99-59-2,C7H8N2O3,168.15
200,5-Nitroacenaphthene,602-87-9,C12H9NO2,199.208
201,6-methylchrysene,1705-85-7,C19H14,242.3145
202,"7,12-dimethylbenz[a]anthracene",57-97-6,C20H16,256.3410
203,"9,10-Diphenylanthracene",1499-10-1,C26H18,330.4
204,"a,a,a-Trifluorotoluene",98-08-8,C7H5F3,146.11
205,"a,a-Dimethylphenethylamine",122-09-8,C10H15N,149.23
206,Absorbance,NA,,
207,Absorbance at UV254nm,NA,,
208,acenaphthene,83-32-9,C12H10,154.2
209,Acenaphthene-d10 - QC,15067-26-2,C12H10,154.21
210,acenaphthylene,208-96-8,C12H8,152.1919
211,Acetaldehyde,75-07-0,C2H4O,44.05
212,Acetone,67-64-1,C3H6O,58.08
213,Acetonitrile,75-05-8,C2H3N,41.05
214,Acetophenone,98-86-2,C8H8O,120.15
215,Acetylene,74-86-2,C2H2,26.04
216,Acid Neutralization Capability,NA,,
217,Acid Volatile Sulfide,NA,,
218,Acidity,NA,,
219,Acifluorfen,50594-66-6,C14H7ClF3NO5,361.65
220,Acrolein,107-02-8,C3H4O,56.06
221,Acrylic acid,79-10-7,C3H4O2,72.06
222,Acrylonitrile,107-13-1,C3H3N,53.06
223,Adsorbable Organic Halides,NA,,
224,Alachlor,15972-60-8,C14H20ClNO2,269.767
225,Aldicarb,116-06-3,C7H14N2O2S,190.27
226,Aldicarb sulfone,1646-88-4,C7H14N2O4S,222.26
227,Aldicarb sulfoxide,1646-87-3,C7H14N2O3S,206.27
228,Aldrin,309-00-2,C12H8Cl6,364.910
229,Allyl alcohol,107-18-6,C3H6O,58.08
230,Allyl chloride,107-05-1,C3H5Cl,76.52
231,alpha-BHC,319-84-6,C6H6Cl6,290.830
232,alpha-Chlordane,5103-71-9,C10H6Cl8,409.779
233,alpha-Hexachlorocyclohexane,NA,C6H6Cl6,290.8
234,alpha-Terpineol,98-55-5,C10H18O,154.25
235,Aluminum,7429-90-5,Al,26.982000
236,Ametryne,834-12-8,C9H17N5S,227.33
237,Aminoazobenzene,60-09-3,C12H11N3,197.24
238,Aminocarb,2032-59-9,C11H16N2O2,208.2569
239,Ammonia as N,NA,,
240,Ammonia as NH3,NA,,
241,Ammonia-Unionized,NA,,
242,Ammonium as N,NA,,
243,Ammonium as NH4,NA,,
244,Analyte List Not Established,NA,,
245,Anilazine,101-05-3,C9H5Cl3N4,275.526
246,Aniline,62-53-3,C6H7N,93.1283
247,anthracene,120-12-7,C14H10,178.2292
248,Antimony,7440-36-0,Sb,121.75
249,AOX Column 1,NA,,
250,AOX Column 2,NA,,
251,Aramite,140-57-8,C15H23ClO4S,334.8617
252,Arsenic,7440-38-2,As,74.9216
253,Asbestos,1332-21-4,Mg3Si2O5(OH)4,277.11
254,Atraton,1610-17-9,C9H17N5O,211.2673
255,Atrazine,1912-24-9,C8H14ClN5,215.69
256,Aviation Fuel,NA,,
257,Aviation Gasoline,NA,,
258,Aviation Gasoline Range Hydrocarbons,NA,,
259,Azinphos-methyl,86-50-0,C10H12N3O3PS2,317.3288
260,Azobenzene,103-33-3,C12H10N2,182.2212
261,b-Propiolactone,57-57-8,C3H4O2,72.06
262,Barban,101-27-9,C11H9Cl2NO2,258.1031
263,Barium,7440-39-3,Ba,137.33
264,Propoxur,114-26-1,C11H15NO3,209.245000
265,Bentazone,25057-89-0,C10H12N2O3S,240.282
266,Benzal chloride,98-87-3,C7H6Cl2,161.03
267,Benzene,71-43-2,C6H6,78.112
269,Benzene Degrading Bacteria,NA,,
270,Benzenethiol,108-98-5,C6H6S,110.18
271,Benzidine,92-87-5,C12H12N2,184.241
272,benz[a]anthracene,56-55-3,C18H12,228.288
273,benzo[a]pyrene,50-32-8,C20H12,252.3093
274,"Benzo(b,j)fluoranthene",205-99-2 & 205-82-3,C20H12,252.3
275,benzo[b]fluoranthene,205-99-2,C20H12,252.3
276,benzo[e]pyrene,192-97-2,C20H12,252.3
277,Benzo[ghi]perylene,191-24-2,C22H12,276.3307
278,benzo[j]fluoranthene,205-82-3,C20H12,252.3093
279,benzo[k]fluoranthene,207-08-9,C20H12,252.3093
280,Benzoic acid,65-85-0,C7H6O2,122.12
281,Benzotrichloride,98-07-7,C7H5Cl3,195.5
282,Benzyl alcohol,100-51-6,C7H8O,108.1378
283,Butyl benzyl phthalate,85-68-7,C19H20O4,312.3597
284,Benzyl chloride,100-44-7,C7H7Cl,126.58
285,Beryllium,7440-41-7,Be,9.012000
286,beta-BHC,319-85-7,C6H6Cl6,290.830
287,beta-Hexachlorocyclohexane,319-85-7,C6H6Cl6,290.8
288,Bicarbonate Alkalinity,NA,,
289,Biochemical Oxygen Demand,NA,,
290,Bis(2-chloroethoxy)methane,111-91-1,C5H10ClO2,173.03
291,Bis(2-chloroethyl)ether,111-44-4,C4H8Cl2O,143.01
292,Bis(2-chloroisopropyl)ether,39638-32-9,C6H12Cl2O,171.06
293,Bis(2-ethylhexyl)phthalate,117-81-7,C24H38O4,390.5561
294,bis-(2-Chloroethyl) sulfide,505-60-2,C4H8Cl2S,159.08
295,Bismuth,7440-69-9,Bi,208.9804
297,Boron,7440-42-8,,
298,Bromacil,314-40-9,C19H13BrN2O2,261.1177
299,Bromides,NA,,
300,Bromoacetone,598-31-2,C3H5BrO,136.98
301,Bromobenzene,108-86-1,C6H5Br,157.008
302,Bromochloromethane,74-97-5,CH2BrCl,129.38
303,Bromodichloromethane,75-27-4,CHBrCl2,163.83
304,Bromoform,75-25-2,CHBr3,252.73
305,Bromomethane,74-83-9,CH3Br,94.94
306,Bromoxynil,1689-84-5,C7H3Br2NO,276.9147
307,BTU Content,NA,,
309,Butachlor,23184-66-9,C17H26ClNO2,311.847
310,Butyl acetate,123-86-4,C6H12O2,116.16
312,Butylate,2008-41-5,C11H23NOS,217.375
313,Butyltin,6271-82-5,C37H72O6S3Sn,827.9
314,C10-C12,NA,,
315,C10-C12 Aliphatics,NA,,
316,C10-C12 Aromatics,NA,,
317,C10-C25 Aliphatics,NA,,
318,C10-C25 Aromatics,NA,,
319,C12-C13 Aromatics,NA,,
320,C12-C14,NA,,
321,C12-C16 Aliphatics,NA,,
322,C12-C16 Aromatics,NA,,
323,C14-C16,NA,,
324,C16-C18,NA,,
325,C16-C21 Aliphatics,NA,,
326,C16-C21 Aromatics,NA,,
327,C18-C20,NA,,
328,C20-C22,NA,,
329,C21-C34 Aliphatics,NA,,
330,C21-C34 Aromatics,NA,,
331,C22-C24,NA,,
332,C24-C26,NA,,
333,C25-C36 Aliphatics,NA,,
334,C25-C36 Aromatics,NA,,
335,C26-C28,NA,,
336,C28-C30,NA,,
337,C30-C32,NA,,
338,C32-C34,NA,,
339,C34-C36,NA,,
340,C36-C38,NA,,
341,C38-C40,NA,,
342,C5-C6 Aliphatics,NA,,
343,C6-C10 Aliphatics,NA,,
344,C6-C10 Aromatics,NA,,
345,C6-C8 Aliphatics,NA,,
346,C8-C10,NA,,
347,C8-C10 Aliphatics,NA,,
348,C8-C10 Aromatics,NA,,
349,Cadmium,7440-43-9,,112.41
350,Calcium,7440-70-2,Ca,40.078
351,Captafol,2425-06-1,C10H9Cl4NO2S,349.0641
352,Captan,133-06-2,C9H8Cl3NO2S,300.589
353,Carbaryl,63-25-2,C12H11NO2,201.224
354,Carbazole,86-74-8,C12H9N,167.2101
355,Carbofuran,1563-66-2,C12H15NO3,221.2545
356,"Carbon dioxide, free",NA,,
357,Carbon disulfide,75-15-0,CS2,76.15
358,Carbon tetrachloride,56-23-5,CCl4,153.8
359,Carbonaceous BOD,NA,,
360,Carbonate Alkalinity,NA,,
361,Carbophenothion,786-19-6,C11H16ClO2PS3,342.87
362,Carboxin,5234-68-4,C12H13NO2S,235.3057
363,Cation Exchange Capacity,NA,,
364,Cation/Anion Balance,NA,,
365,Chemical Oxygen Demand,NA,,
366,Chloral hydrate,302-17-0,C2H3Cl3O2,165.4
367,Chloramben,133-90-4,C7H5Cl2NO2,206.02
368,Chlordane,57-74-9,C10H6Cl8,409.78
371,Chlorfenvinphos,470-90-6,C12H14Cl3O4P,359.5716
372,Chloride,16887-00-6,Cl-,35.45
373,Chlorine Residual,NA,,
374,Chloroacetonitrile,107-14-2,C2H2ClN,75.5
375,Chlorobenzene,108-90-7,C6H5Cl,112.557
376,Chlorobenzene-d5,3114-55-4,C6D5Cl,117.59
377,Chlorobenzilate,510-15-6,C16H14Cl2O3,325.187
378,Chlorodibromomethane,124-48-1,CHBr2Cl,208.28
379,Chloroethane,75-00-3,C2H5Cl,64.51
380,Chloroform,67-66-3,CHCl3,119.37
381,Chloromethane,74-87-3,CH3Cl,50.49
382,Chloroneb,2675-77-6,C8H8Cl2O2,207.054
383,Chlorophyll-a,479-61-8,C55H72MgN4O5,893.5
384,Chloroprene,126-99-8,C4H5Cl,88.53
385,Chloropropylate,5836-10-2,C17H16Cl2O3,339.2164
386,Chlorothalonil,1897-45-6,C8Cl4N2,265.911
387,Chlorpropham,101-21-3,C10H12ClNO2,213.663
388,Chlorpyrifos,2921-88-2,C9H11Cl3NO3PS,350.58
389,Chromium,7440-47-3,,51.9961
390,chrysene,218-01-9,C18H12,228.2879
391,chrysene-d12 - QC,1719-03-5,C18D12,240.37
393,"cis-1,3-Dichloropropene",10061-01-5,C3H4Cl2,110.97
394,"cis-1,4-Dichloro-2-butene",1476-11-5,C4H6Cl2,124.99
395,cis-Nonachlor,5103-73-1,C10H5Cl9,444.2265
396,cis-Permethrin,61949-76-6,C21H20CI2O3,391.292
397,Cobalt,7440-48-4,Co,58.933000
398,Color,,,
399,Copper,7440-50-8,Cu,63.546000
401,Corrosivity,,,
402,Coumaphos,56-72-4,C14H16ClO5PS,362.768
403,Cresols (as Cresylic acid),1319-77-3,C7H8O,108.14
404,Crotoxyphos,7700-17-6,C14H19O6P,314.272
405,Crude Oil,NA,,
406,Cyanide (amenable),57-12-5,CN-,26.017
407,Cyanide (free),NA,,
408,Cyanide (total),NA,,
409,Cyanide (weak acid dissociable),NA,,
410,Cycloate,1134-23-2,C11H21NOS,215.359
411,Cyclohexanone,108-94-1,C6H10O,98.14
412,d-Limonene,5989-27-5,C10H16,136.2364
413,Dalapon,75-99-0,C3H4Cl2O2,142.97
414,DBC,782-08-1,C13H9Cl3,271.6
415,Dacthal,1861-32-1,C10H6Cl4O4,331.964
416,DCPA acid metabolites,NA,,
417,DCPA diacid,2136-79-0,C8H2Cl4O4,303.9
418,Decachlorobiphenyl - BG Corr,2051-24-3,C12Cl10,498.658
419,Decafluorotriphenylphosphine,5074-71-5,C18H5F10P,442.2
420,delta-BHC,319-86-8,C6H6Cl6,290.830
421,delta-Hexachlorocyclohexane,58-89-9,C6H6Cl6,290.8
422,Demeton,8065-48-3,C16H38O6P2S4,516.7
424,Demeton-o,298-03-3,C8H19O3PS2,258.3
425,Demeton-s,126-75-0,C8H19O3PS2,258.3411
426,Di(2-ethylhexyl)adipate,103-23-1,C22H42O4,370.57
428,Di-isopropyl ether,108-20-3,C6H14O,102.17
429,Di-n-butyl phthalate,84-74-2,C16H22O4,278.3435
430,Di-n-octyl phthalate,117-84-0,C24H38O4,390.5561
431,Diallate I,2303-16-4,C10H17Cl2NOS,270.219
432,Diazinon,333-41-5,C12H21N2O3PS,304.346
433,"Dibenz (a,h) acridine",226-36-8,C21H13N,279.3
434,"dibenzo[a,h]anthracene",53-70-3,C22H14,278.3446
435,"Dibenz (a,j) acridine",224-42-0,C21H13N,279.3
436,"dibenzo[a,e]pyrene",192-65-4,C24H14,302.3680
437,Dibenzofuran,132-64-9,C12H8O,168.1913
440,Dibromofluoromethane,1868-53-7,CHBr2F,191.82
441,Dibromomethane,74-95-3,CH2Br2,173.83
442,Dibutyltin,1002-53-5,C8H18Sn,232.939
443,Dicamba,1918-00-9,C8H6Cl2O3,221.0384
444,Dichlone,117-80-6,C10H4Cl2O2,227.0456
445,Dichloran,99-30-9,C6H4Cl2N2O2,207.016
446,Dichlorodifluoromethane,75-71-8,CCl2F2,120.91
447,Dichlorprop,120-36-5,C9H8Cl2O3,235.0652
448,Dichlorvos,62-73-7,C4H7Cl2O4P,220.976
449,Dicrotophos,141-66-2,C8H16NO5P,237.1904
450,Dieldrin,60-57-1,C12H8Cl6O,380.909
451,Diesel,NA,,
452,Diesel #1,NA,,
453,Diesel #2,NA,,
454,Diesel (C10-C22),NA,,
455,Diesel (C10-C24),NA,,
456,Diesel (C12-C22),NA,,
457,Diesel (C12-C24),NA,,
461,Diethanolamine,111-42-2,C4H11NO2,105.14
462,Diethyl phthalate,84-66-2,C12H14O4,222.2372
463,Diethylstilbestrol,56-53-1,C18H20O2,268.354
464,Diethyl sulfate,64-67-5,C4H10O4S,154.19
465,Diethylene glycol,111-46-6,C4H10O3,106.12
466,Dimethoate,60-51-5,C5H12NO3PS2,229.257
467,Fecal Coliforms,NA,,
468,Fecal Streptacoccus,NA,,
470,Fenarimol,60168-88-9,C17H12Cl2N2O,331.201
471,Fensulfothion,115-90-2,C11H17O4PS2,308.3573
472,Fenthion,55-38-9,C10H15O3PS2,278.3315
473,Fenuron,101-42-8,C9H12N2O,164.2068
474,Fenuron-TCA,4482-55-7,C11H13Cl3N2O3,327.6
475,Ferric Iron,NA,,
476,Ferrous Iron,NA,,
477,Filterable Solids,NA,,
478,Flashpoint,NA,,
479,Fluchloralin,33245-39-5,C12H13ClF3N3O4,355.699
480,Fluometuron,2164-17-2,C10H11F3N2O,232.2039
481,fluoranthene,206-44-0,C16H10,202.2506
482,fluorene,86-73-7,C13H10,166.2185
483,Fluoride,16984-48-8,F,18.998403
484,Fluridone,59756-60-4,C19H14F3NO,329.32
485,Formaldehyde,50-00-0,CH2O,30.026
486,Fractional % phi 10 (<0.9µm),NA,,
487,Fractional % phi 4 (62.5-31.2µm),NA,,
488,Fractional % phi 5 (31.2-15.6µm),NA,,
489,Fractional % phi 6 (15.6-7.8µm),NA,,
490,Fractional % phi 7 (7.8-3.9µm),NA,,
491,Fractional % phi 8 (3.9-1.9µm),NA,,
492,Fractional % phi 9 (1.9-0.9µm),NA,,
493,Fractional % Sieve #10 (4750-2000µm),NA,,
494,Fractional % Sieve #140 (250-106µm),NA,,
495,Fractional % Sieve #20 (2000-850µm),NA,,
496,Fractional % Sieve #200 (106-75µm),NA,,
497,Fractional % Sieve #230 (75-62.5µm),NA,,
498,Fractional % Sieve #4 (>4750µm),NA,,
499,Fractional % Sieve #40 (850-425µm),NA,,
500,Fractional % Sieve #60 (425-250µm),NA,,
501,Fractional Organic Carbon,NA,,
502,Free Liquid,NA,,
503,Free Water,NA,,
504,Freon 113,76-13-1,C2Cl3F3,187.37
505,Freon 123,354-23-4,C2HCl2F3,152.93
506,Fuel Oil #1,NA,,
507,Fuel Oil #2,NA,,
508,Fuel Oil #6 (Bunker C),NA,,
510,Gallium,7440-55-3,,132.9054
511,"Lindane (BHC Gamma Isomer (13C6,d6)",58-89-9,C6H6Cl6,290.8314
512,gamma-Chlordane,5103-74-2,C10H6Cl8,409.779
514,Gasoline,NA,,
515,Gasoline (C5-C12),NA,,
516,Gasoline (C7-C12),NA,,
517,Gasoline Range Hydrocarbons,NA,,
518,Gasoline Range Hydrocarbons (v/v),NA,,
519,Iron,7439-89-6,,
520,Isobutanol,78-83-1,C4H10O,74.12
521,Isodrin,465-73-6,C12H8Cl6,364.910
522,Isooctane,540-84-1,C8H18,114.23
523,Isophorone,78-59-1,C9H14O,138.21
524,Isopropyl alcohol,67-63-0,C3H8O,60.1
525,Isopropylbenzene,98-82-8,C9H12,120.19
526,Isosafrole,120-58-1,C10H10O2,162.18
527,Jet-A,NA,,
528,JP-4,NA,,
529,JP-5 (C10-C16),NA,,
530,JP-8 (C10-C16),,,
