ParameterID,ParameterName,CasNumber,AlternateName,ChemicalFormula,MolecularWeight
698,Thionazin,297-97-2,,C8H13N2O3PS,
748,Dimethyl phthalate,131-11-3,,C10H10O4,
751,Dinocap,39300-45-3,,C18H24N2O6,
752,Dinoseb,88-85-7,"2-sec-Butyl-4,6-dinitrophenol",C10H12N2O5,
753,Dioxacarb,6988-21-2,,C11H13NO5,
754,Diphenylamine,122-39-4,Dioxathion,C12H11N,
755,Diphenamid,957-51-7,,C16H17NO,
759,Disulfoton,298-04-4,,C8H19O2PS3,
760,Disulfoton sulfone,2497-06-5,,C8H19O4PS3,
762,Diuron,330-54-1,,C9H10Cl2N2O,
767,Endosulfan II,33213-65-9,Endosulfan (beta isomer),C9H6Cl6O3S,NULL
768,Endosulfan sulfate,1031-07-8,NULL,C9H6Cl6O4S,NULL
769,Endrin,72-20-8,NULL,C12H8Cl6O,NULL
770,Endrin aldehyde,7421-93-4,NULL,C12H8Cl6O,NULL
771,Endrin ketone,53494-70-5,NULL,C12H8Cl6O,NULL
773,EPN,2104-64-5,,C14H14NO4PS,
774,EPTC,759-94-4,,C9H19NOS,
777,Ethion,563-12-2,NULL,C9H22O4P2S4,NULL
793,Terrazole,2593-15-9,Etridiazole,C5H5Cl3N2OS,
798,Famphur,52-85-7,,C10H16NO5PS2,
812,Lindane,58-89-9,NULL,C6H6Cl6,NULL
817,Heptachlor,76-44-8,NULL,C10H5Cl7,NULL
818,Heptachlor epoxide,1024-57-3,Heptachlor exo-epoxide isomer B,C10H5Cl7O,NULL
820,Hexachlorobenzene,118-74-1,NULL,C6Cl6,NULL
824,Hexachlorophene,70-30-4,,C13H6Cl6O,
830,Hexazinone,51235-04-2,,C12H20N4O2,
850,"indeno[1,2,3-cd]pyrene",193-39-5,IP,C22H12,276.33
857,Metolachlor,51218-45-2,2-chloro-2'-ethyl-N-(2-methoxy-1-methylethyl)-6'-methylacetanilide,C15H22ClNO2,283.8
858,Metribuzin,21087-64-9,,C8H14N4OS,
859,Mevinphos,7786-34-7,,C7H13O6P,
864,Mirex,2385-85-5,,C10Cl12,
866,Molinate,2212-67-1,,C9H17NOS,
868,Monocrotophos,6923-22-4,,C7H14NO5P,
908,Oxamyl,23135-22-0,,C7H13N3O3S,
911,Oxychlordane,27304-13-8,,C10H4Cl8O,
917,Parathion-ethyl,56-38-2,Parathion,C10H14NO5PS,
919,Parathion-methyl,298-00-0,,C8H10NO5PS,
949,Pebulate,1114-71-2,,C10H21NOS,
950,Pentachlorobenzene,608-93-5,,C6HCl5,
952,Pentachloronitrobenzene,82-68-8,"Benzene, 1,2,3,4,5-pentachloro-6-nitro-",C6Cl5NO2,295.33
953,Pentachlorophenol,87-86-5,"Phenol, pentachloro- (8CI,9CI)/Woodtreat A",C6HCl5O,266.33
956,Permethrin,52645-53-1,NULL,C21H20Cl2O3,NULL
964,Secbumeton,26259-45-0,,C10H19N5O,
974,Simazine,122-34-9,,C7H12ClN5,
975,Simetryn,1014-70-6,,C8H15N5S,
992,Sulfotep,3689-24-5,Tetraethyldithiopyrophosphate,C8H20O5P2S2,
996,Sulprofos,35400-43-2,Bolstar,C12H19O2PS3,
997,Swep,1918-18-9,,C8H7Cl2NO2,
998,Sulfallate,95-06-7,,C8H14ClNS2,
1001,Tebuthiuron,34014-18-1,,C9H16N4OS,
1005,Terbacil,5902-51-2,,C9H13ClN2O2,
1006,Terbufos,13071-79-9,,C9H21O2PS3,
1007,Terbuthylazine,5915-41-3,,C9H16ClN5,
1008,Terbutryn,886-50-0,,C10H19N5S,
1017,Tetraethyl pyrophosphate,107-49-3,NULL,C8H20O7P2,NULL
1019,trans-Nonachlor,39765-80-5,NULL,C10H5Cl9,NULL
1023,Tri-p-tolyl phosphate,78-32-0,,C21H21O4P,
1026,Triallate,2303-17-5,,C10H16Cl3NOS,
1030,Trichloronate,327-98-0,,C10H12Cl3O2PS,
1032,Tricyclazole,41814-78-2,,C9H7N3S,
1034,Trifluralin,1582-09-8,NULL,C13H16F3N3O4,NULL
1037,TPP,115-86-6,Triphenylphosphate,C18H15O4P,
1051,Vernolate,1929-77-7,,C10H21NOS,
1250,"2,4,6-Tribromophenol",118-79-6,,C6H3Br3O,
1264,Biphenyl,92-52-4,,C12H10,
1933,Ethoprophos,13194-48-4,,C8H19O2PS2,
1974,PCB 5,16605-91-7,"2,3-Dichlorobiphenyl",C12H8Cl2,
1991,Cyanazine,21725-46-2,,C9H13ClN6,
1992,Triadimefon,43121-43-3,,C14H16ClN3O2,
300219,"4,4'-Dibromobiphenyl",92-86-4,PBB 15,C12H8Br2,
300222,"alpha, alpha-Dibromo-m-xylene",626-15-3,"Benzene, 1,3-bis(bromomethyl)-",C8H8Br2,
300226,Bisphenol A,80-05-7,,C15H16O,
300228,Ethiofencarb,29973-13-5,,C11H15NO2S,
300229,Methiocarb Sulfone,2179-25-1,,C11H15NO4S,
300230,Napropamide,15299-99-7,Devrinol,C17H21NO2,
300235,Tebuconazole,107534-96-3,Folicur,C16H22ClN3O,
300236,Myclobutanil,88671-89-0,Systhane,C15H17ClN4,
300237,Bifenthrin,82657-04-3,,C23H22ClF3O2,
300240,Pendimethalin,40487-42-1,Prowl,C13H19N3O4,
300245,Deltamethrin,52918-63-5,,C22H19Br2NO3,
300246,Vinclozolin,50471-44-8,Vinclozolin,C12H9Cl2NO3,286.11
300247,Propanil,709-98-8,,C9H9Cl2NO,
300249,Endosulfan I,959-98-8,Endosulfan (alpha isomer),C9H6Cl6O3S,
300250,Iprodione,36734-19-7,,C13H13Cl2N3O3,
300251,Methamidophos,10265-92-6,,C2H8NO2PS,
300252,Pirimiphos-methyl,29232-93-7,,C11H20N3O3PS,
300253,Fenitrothion,122-14-5,,C9H12NO5PS,
300266,PCB 103,60145-21-3,"2,2',4,5',6-Pentachlorobiphenyl",C12H5Cl5,326.43
300267,PCB 183,52663-69-1,"2,2',3,4,4',5'6-Heptachlorobiphenyl",C12H3Cl7,395.32
300268,PCB 170,35065-30-6,"2,2',3,3',4,4',5-Heptachlorobiphenyl / 2,2',3,3',4,4',5-Heptachloro-1,1'-biphenyl",C12H3Cl7,395.33
300269,PCB 158,74472-42-7,"2,3,3',4,4',6-Hexachlorobiphenyl",C12H4Cl6,360.88
300270,PCB 138,35065-28-2,"2,2',3,4,4',5'-Hexachlorobiphenyl / 1,1'-Biphenyl, 2,2',3,4,4',5'-hexachloro-",C12H4Cl6,360.88
300271,PCB 128,38380-07-3,"2,2',3,3',4,4'-Hexachlorobiphenyl / 1,1'-Biphenyl, 2,2',3,3',4,4'-hexachloro-",C12H4Cl6,360.88
300272,PCB 126,57465-28-8,"3,3',4,4',5-Pentachlorobiphenyl",C12H5Cl5,326.43
300273,PCB 118,31508-00-6,"2,3',4,4',5-Pentachlorobiphenyl",C12H5Cl5,326.44
300274,PCB 105,32598-14-4,"2,3,3',4,4'-Pentachlorobiphenyl",C12H5Cl5,326.44
300275,PCB 99,38380-01-7,"2,2',4,4',5-Pentachlorobiphenyl",C12H5Cl5,326.44
300276,PCB 82,52663-62-4,"2,2',3,3',4-Pentachlorobiphenyl",C12H5Cl5,326.44
300277,PCB 77,32598-13-3,"Biphenyl, 3,3',4,4'-tetrachloro- (8CI)/PCB 77",C12H6Cl4,291.99
300278,PCB 37,38444-90-5,"3,4,4'-Trichlorobiphenyl",C12H7Cl3,257.54
300279,PCB 166,41411-63-6,"2,3,4,4',5,6-Hexachlorobiphenyl",C12H4Cl6,360.88
300280,PCB 49,41464-40-8,"2,2',4,5-Tetrachlorobiphenyl",C12H6Cl4,360.88
300281,PCB 180,35065-29-3,"2,2',3,4,4',5,5'-Heptachlorobiphenyl / 1,1'-Biphenyl, 2,2',3,4,4',5,5'-heptachloro-",C12H3Cl7,395.33
300282,PCB 156,38380-08-4,"2,3,3',4,4',5-Hexachloro-1,1'-biphenyl / 2,3,3',4,4',5-Hexachlorobiphenyl",C12H4Cl6,360.88
300283,PCB 153,35065-27-1,"2,2',4,4',5,5'-Hexachlorobiphenyl / 1,1'-Biphenyl, 2,2',4,4',5,5'-hexachloro-",C12H4Cl6,360.88
300284,PCB 101,37680-73-2,"2,2',4,5,5'-Pentachlorobiphenyl",C12H5Cl5,326.44
300285,PCB 52,35693-99-3,"2,2',5,5'-Tetrachlorobiphenyl",C12H6Cl4,360.88
300286,PCB 7,33284-50-3,"2,4-Dichlorobiphenyl",C12H8Cl2,223.10
300288,PCB 169,32774-16-6,"3,3',4,4',5,5'-Hexachlorobiphenyl / 1,1'-Biphenyl, 3,3',4,4',5,5'-hexachloro-",C12H4Cl6,360.88
300289,PCB 114,74472-37-0,"2,3,4,4',5-Pentachlorobiphenyl",C12H5Cl5,
300291,"dibenzo[a,h]pyrene",189-64-0,DBahP,C24H14,302.37
300293,"dibenzo[a,l]pyrene",191-30-0,DBalP,C24H14,302.37
300295,"9,10-Anthraquinone",84-65-1,"9,10-Anthraquinone / 9,10-Anthracenedione",C14H8O2,208.21
300296,"9,10-Phenanthrenequinone",84-11-7,"9,10-Phenanthrenedione",C14H8O2,208.21
300297,"5,12-Naphthacene-quinone",1090-13-7,"5,12-Naphthacenedione",C18H10O2,258.27
300298,"Benz(a)anthracene-7,12-dione",2498-66-0,"7,12-benz[a]anthracenquinone",C18H10O2,258.28
300299,Benzanthrone,82-05-3,"1,9-Benz-10-anthrone/7H-Benz[de]anthracen-7-one",C17H10O,230.27
300301,4H-Cyclopenta(def)phenanthren-4-one,5737-13-3,4H-Cyclopenta[def]phenanthren-4-one,C15H8O,204.23
300302,Naphthanthrone,3074-00-8,"6H-Benzo[c,d]pyren-6-one / Benzo(cd)pyrenone",C19H10O,254.29
300303,Acenaphthenequinone,82-86-0,"1,2-Acenaphthylenedione",C12H6O2,182.18
300304,"Phenanthrene-1,4-dione",569-15-3,"1,4-Phenanthrenedione",C14H8O2,208.21
300305,"1,4-Anthraquinone",635-12-1,"1,4-Anthracenedione",C14H8O2,208.21
300306,9-Fluorenone,486-25-9,9H-Fluoren-9-one,C13H8O,180.20
300309,"Benzo(c)phenanthrene(1,4)quinone",109699-80-1,"9H-Fluoren-9-one-1,2,3,4,5,6,7,8-d8",C18H10O2,258.28
300312,9-methylanthracene,779-02-2,AC9Me,C15H12,192.26
300315,"2,3-dimethylanthracene",613-06-9,AC23DMe,C16H14,206.28
300316,"9,10-dimethylanthracene",781-43-1,AC910DMe,C16H14,206.28
300317,"3,6-dimethylphenanthrene",1576-67-6,PH36DMe,C16H14,206.28
300318,triphenylene,217-59-4,Tphen,C18H12,228.29
300327,"naphtho[2,3-a]pyrene",196-42-9,N23aP,C24H14,302.37
300328,"naphtho[2,3-e]pyrene",193-09-9,N23eP,C24H14,302.37
300329,"naphtho[1,2-b]fluoranthene",111189-32-3,N12bF,C24H14,302.37
300330,"dibenzo[e,l]pyrene",192-51-8,DBelP,C24H14,302.37
300333,"naphtho[2,3-k]fluoranthene",207-18-1,N23kF,C24H14,302.37
300334,benzo[b]perylene,197-70-6,BbPery,C24H14,302.37
300335,benzo[a]chrysene,213-46-7,Pic,C22H14,278.35
300336,coronene,191-07-1,CO,C24H12,300.35
300337,Benzo(a)fluoren-11-one,479-79-8,Benzofluorenone,C17H10O,
300347,6-Nitrochrysene,7496-02-8,,C18H11NO2,
300348,"1,8-Dinitropyrene",42397-65-9,,C16H8N2O4,
300349,"1,6-Dinitropyrene",42397-64-8,,C16H8N2O4,
300377,"dibenzo[a,e]fluoranthene",5385-75-1,DBaeF,C24H14,302.37
300379,PCB 8,34883-43-7,"2,4'-Dichlorobiphenyl",C12H8Cl2,
300386,"1,6-dimethylnaphthalene",575-43-9,N16DMe,C12H12,156.22
300387,"1,2-dimethylnaphthalene",573-98-8,N12DMe,C12H12,156.22
300388,dibenzothiophene,132-65-0,DBT,C12H8S,184.26
300389,2-methylphenanthrene,2531-84-2,PH2Me,C15H12,192.26
300390,2-methylanthracene,613-12-7,AC2Me,C15H12,192.26
300391,retene,483-65-8,Ret,C18H18,234.34
300392,1-methylpyrene,2381-21-7,P1Me,C17H12,216.28
300406,"dibenzo[a,i]pyrene",189-55-9,DBaiP,C24H14,302.37
300409,"naphtho[2,3-j]fluoranthene",205-83-4,N23jF,C24H14,302.37
300432,PCB 28,7012-37-5,"2,4,4'-Trichlorobiphenyl",C12H7Cl3,
300433,PCB 44,41464-39-5,"2,2',3,5'-Tetrachlorobiphenyl",C12H6Cl4,
300435,PCB 60,33025-41-1,"2,3,4,4'-Tetrachlorobiphenyl",C12H6Cl4,
300436,PCB 70,32598-11-1,"2,3',4',5-Tetrachlorobiphenyl",C12H6Cl4,
300437,PCB 74,32690-93-0,"2,4,4',5-Tetrachlorobiphenyl",C12H6Cl4,
300438,PCB 87,38380-02-8,"2,2',3,4,5'-Pentachlorobiphenyl",C12H5Cl5,
300440,PCB 179,52663-64-6,"2,2',3,3',5,6,6'-Heptachlorobiphenyl",C12H3Cl7,
300441,PCB 187,52663-68-0,"2,2',3,4',5,5',6-Heptachlorobiphenyl",C12H3Cl7,
300442,PCB 189,39635-31-9,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",C12H3Cl7,
300503,anthanthrene,191-26-4,AA,C22H12,276.33
300505,benzo[c]fluorene,205-12-9,BcFE,C17H12,216.28
300604,"p,p'-Dicofol",115-32-2,"p,p'-Kelthane",C14H9Cl5O,
300605,Perthane,72-56-0,,C18H20Cl2,
300628,Azinphos-ethyl,2642-71-9,,C12H16N3O3PS2,
300629,PCB 15,2050-68-2,"4,4'-Dichlorobiphenyl",C12H8Cl2,
300631,Esfenvalerate,66230-04-4,Asana,C25H22ClNO3,419.90
300636,Fenvalerate,51630-58-1,,C25H22ClNO3,419.9
300638,Tilt,60207-90-1,"Orbit, Proconazole, Radar, Propiconazole",C15H17C12N3O2,342.25
300639,Tributyl phosphate,126-73-8,,C12H27O4P,
300640,Oxadiazon,19666-30-9,,C15H18Cl2N2O3,
300641,"N,N-Diethyl-m-toluamide",134-62-3,,C12H17NO,
300659,1-Hydroxynaphthalene,90-15-3,1-naphthalenol,C10H8O,
300685,"2,6-dimethylnaphthalene",581-42-0,N26DMe,C12H12,156.22
300698,PCB 18,37680-65-2,"2,2',5-Trichlorobiphenyl",C12H7Cl3,
300699,PCB 66,32598-10-0,"2,3',4,4'-Tetrachlorobiphenyl",C12H6Cl4,
300700,PCB 95,38379-99-6,"2,2',3,5',6-Pentachlorobiphenyl",,
300701,PCB 110,38380-03-9,"2,3,3',4',6-Pentachlorobiphenyl",C12H5Cl5,
300703,PCB 146,51908-16-8,"2,2',3,4',5,5'-Hexachlorobiphenyl",C12H4Cl6,
300704,PCB 149,38380-04-0,"2,2',3,4',5',6-Hexachlorobiphenyl",C12H4Cl6,
300705,PCB 151,52663-63-5,"2,2',3,5,5',6-Hexachlorobiphenyl",C12H4Cl6,
300707,PCB 177,52663-70-4,"2,2',3,3',4,5',6'-Heptachlorobiphenyl",C12H3Cl7,
300708,PCB 194,35694-08-7,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",C12H2Cl8,
300711,2-Bromobiphenyl,2052-07-5,,,
300713,PBDE 28,41318-75-6,"2,4,4'-Tribromodiphenyl ether",C12H7Br3O,406.89538
300714,PBDE 49,243982-82-3,"2,2',4,5'-Tetrabromodiphenyl ether",,
300715,PBDE 99,60348-60-9,"2,2',4,4',5-Pentabromodiphenyl ether",C12H5Br5O,564.69
300716,PBDE 153,68631-49-2,"2,2',4,4',5,5'-Hexabromodiphenyl ether",,
300718,PCB 31,16606-02-3,"2,4',5-Trichlorobiphenyl",C12H7Cl3,
300719,PCB 45,70362-45-7,"2,2',3,6-Tetrachlorobiphenyl",C12H6Cl4,
300720,PCB 56,41464-43-1,"2,3,3',4'-Tetrachlorobiphenyl",C12H6Cl4,
300721,PCB 92,52663-61-3,"2,2',3,5,5'-Pentachlorobiphenyl",C12H5Cl5,
300722,PCB 130,52663-66-8,"2,2',3,3',4,5'-Hexachlorobiphenyl",C12H4Cl6,
300723,PCB 157,69782-90-7,"2,3,3',4,4',5'-Hexachlorobiphenyl",C12H4Cl6,
300724,PCB 167,52663-72-6,"2,3',4,4',5,5'-Hexachlorobiphenyl",C12H4Cl6,
300725,PCB 178,52663-67-9,"2,2',3,3',5,5',6-Heptachlorobiphenyl",C12H3Cl7,
300726,PCB 202,2136-99-4,"2,2',3,3',5,5',6,6'-Octachlorobiphenyl",C12H2Cl8,
300727,PBDE 17,147217-75-2,"2,2',4-Tribromodiphenyl ether",,
300728,PBDE 47,5436-43-1,"2,2',4,4'-Tetrabromodiphenyl ether",,
300729,PBDE 66,189084-61-5,"2,3',4,4'-Tetrabromodiphenyl ether",,
300730,PBDE 75,189084-63-7,,,
300731,PBDE 85,182346-21-0,"2,2',3,4,4'-Pentabromodiphenyl ether",,
300732,PBDE 100,189084-64-8,"2,2',4,4',6-Pentabromodiphenyl ether",,
