Chemical_Name,Full_Min,Full_Max_,Full_Mean,Full_Median,Full_Count_Percent,Full_ST_Dev
"2,6-Diethylnaphthalene",33.3,62.6,48,47.95,0.29%,20.7
"2,6-Diisopropylaniline",90.9,90.9,90.9,90.9,0.15%,NA
"2,6-Dimethoxyphenol",91.5,91.5,91.5,91.5,0.15%,NA
"2,6-Dimethylnaphthalene",7.98,79.6,23.4,14,1.32%,22.5
"2,6-Dimethylphenol",97.5,577,337,337.25,0.29%,339
3-Chloroaniline,21.1,179,117,176,0.73%,82.5
3-Ethylphenol,65.4,65.4,65.4,65.4,0.15%,NA
3-Nitroaniline,58.8,394,226,226.4,0.29%,237
3-Tert-butylphenol,77.8,3340,948,460.5,1.47%,1040
"3,5-Dichloroaniline",93.6,372,220,194,0.44%,141
"3,6-Dimethylphenanthrene",6.82,98.6,42.7,22.6,0.44%,49.1
4-Alpha-cumylphenol,306,306,306,306,0.15%,NA
4-Butylphenol,6.42,6.42,6.42,6.42,0.15%,NA
"4-Chloro-3,5-dimethylphenol",11.6,19600,971,231,8.80%,2650
4-Chlorophenol,756,756,756,756,0.15%,NA
4-Chlorophenyl isocyanate,12.8,210,73.4,53.05,1.47%,66.2
4-Isopropylphenol,18.7,52,36.6,39,0.44%,16.8
4-Methoxyphenol,90.9,90.9,90.9,90.9,0.15%,NA
4-Tert-butylphenol,29.7,2050,248,98.8,9.68%,391
"4,4'-DDE",25.8,25.8,25.8,25.8,0.15%,NA
4H-cyclopenta[def]phenanthren-4-one,142,142,142,142,0.15%,NA
6-Methylchrysene,15.2,15.2,15.2,15.2,0.15%,NA
9-Fluorenone,9.53,227,38.5,26.5,2.79%,47.5
A-Ionone,20.4,1650,223,108,12.00%,304
Acenaphthene,6.11,55.3,23.1,23.1,1.03%,16.9
Acenaphthylene,4.77,176,35.9,21.7,7.92%,39.7
Alpha-Chlordane,149,149,149,149,0.15%,NA
Amyl cinnamal,28.1,23600,1200,424,49.90%,2870
Anisyl alcohol,66.6,66.6,66.6,66.6,0.15%,NA
Anthanthrene,6.75,32.1,15.3,11.12,0.59%,11.6
Anthracene,2.31,462,76.7,50.4,21.60%,74.6
"Aziprotryn metabolite [2-Amino-4-isopropylamino-6-methylthio-1,3,5-triazine]",23.1,23.1,23.1,23.1,0.15%,NA
Azobenzene,47.5,25400,6420,122.6,0.59%,12700
Azoxystrobin,58.8,145,113,135,0.44%,47.1
B-citronellol,4.65,2970,219,149,34.80%,273
B-Ionone,3.04,6820,396,154.5,44.30%,746
Benz[a]anthracene,10.8,94.5,32,27.3,6.89%,17.4
"Benzo(a)pyrene-7,8-dione",40.1,8600,1850,110,0.73%,3780
Benzo[a]fluorene,7.08,41.9,18.3,16,2.93%,8.99
Benzo[a]pyrene,4.04,58.8,19.1,17.9,6.16%,10.6
Benzo[b]fluorene,6.21,31.5,16.6,14.9,2.20%,7.42
Benzo[ghi]perylene,3.34,34.8,14,8.775,2.35%,10.5
Benzo[k]fluoranthene,18.9,134,58.2,56.6,3.23%,27.7
Benzophenone,4.55,7000,297,181,79.30%,448
Benzothiazole,14.3,3830,281,57.45,25.50%,556
Benzotriazole,67.2,2310,862,210,0.44%,1260
Benzyl alcohol,25.2,4010,411,103,7.48%,844
Benzyl benzoate,20.6,226000,6040,2140,79.60%,12700
Benzyl cinnamate,56.1,18500,1770,989,4.84%,3210
Benzyl salicylate,71.5,179000,7130,3130,92.40%,12900
Bifenthrin,25.2,321,126,103,2.20%,92.1
Bioallethrin,5.49,4810,760,71.4,1.32%,1560
Bioallethrin S-cyclopentenyl isomer,91.5,4280,911,230.5,0.88%,1650
Biphenyl,7.54,28.3,17.6,17.3,1.03%,8.14
Bis(2-butoxyethyl) phthalate,71800,71800,71800,71800,0.15%,NA
Bis(2-ethylhexyl)phthalate,73.4,856000,64500,32100,77.90%,96100
Bisphenol A,106,2220,735,399,1.03%,746
Bromoxynil octanoic acid ester,18700,18700,18700,18700,0.15%,NA
Buprofezin,92.6,92.6,92.6,92.6,0.15%,NA
Butyl benzyl phthalate,40.4,54600,4570,1660,87.40%,7650
Butylated hydroxyanisole,5.88,1930,133,83.1,55.90%,182
Butylated hydroxytoluene,2.03,97600,832,132.5,55.70%,5150
Caffeine,32.4,12400,1200,780,23.80%,1590
Carvone,37.8,2300,312,82.9,2.49%,599
Cashmeran,41.8,1880,273,141,4.25%,357
Celestolide,38.6,888,260,126,1.03%,303
Chlorfenapyr,798,798,798,798,0.15%,NA
Chlorothalonil,77.5,77.5,77.5,77.5,0.15%,NA
Chlorpyrifos,127,8190,2330,393,0.73%,3470
Chrysene,4.85,88.2,40.9,42.4,2.49%,23.9
Cinerin I,595,57900,24500,19650,0.88%,21700
Cinerin II,637,637,637,637,0.15%,NA
Cinnamal,7.6,2100,103,48,10.40%,249
Cinnamyl alcohol,37.8,228,133,132.9,0.29%,134
Citral A,3.08,1850,160,111,34.30%,200
Citral B,44.1,297,163,176.5,1.17%,75.7
Clomazone,33.4,131,70.2,46.3,0.44%,53
Coumarin,11.2,3570,245,116,20.70%,478
Cycloate,119,119,119,119,0.15%,NA
Cyclopenta[cd]pyrene,7.71,128,61.7,59.85,5.57%,29.1
Cyclopentadecanone,441,99200,22600,840,0.73%,43100
Cyhalothrin (Gamma),35.5,184,104,97.45,0.59%,76
Cyhalothrin I (lambda),630,630,630,630,0.15%,NA
Cypermethrin-2,102,2910,639,319,1.76%,774
Cypermethrin-3,145,202,174,173.5,0.29%,40.3
Cyphenothrin cis-,882,12600,6740,6741,0.29%,8290
D-(cis-trans)-Phenothrin-I,99,3780,1830,1720.5,0.59%,1910
D-(cis-trans)-Phenothrin-II,462,462,462,462,0.15%,NA
D-Limonene,7.14,524,114,69.5,4.84%,135
Deltamethrin,420,420,420,420,0.15%,NA
Di-n-butyl phthalate,6.03,34400,4420,2895,95.00%,4420
Di-n-hexyl phthalate,37.4,13300,1150,273,11.00%,2780
Di-n-nonyl phthalate,35.7,26500,2080,798,74.90%,3570
Di-n-octyl phthalate,10.4,37400,6080,1160,15.80%,8640
Di-n-propyl phthalate,168,219,194,193.5,0.29%,36.1
Diamyl phthalate,122,122,122,122,0.15%,NA
"Dibenzo[a,h]anthracene",2880,2880,2880,2880,0.15%,NA
Dibenzofuran,12.1,48.6,24.5,22.1,1.32%,10.9
Dicyclohexyl phthalate,43.3,36000,1660,455,21.10%,4830
Diethyl phthalate,45.2,96300,3290,999,60.70%,7900
Diisobutyl phthalate,142,235000,4750,2585,96.50%,10400
Dimethametryn,33.4,193,119,137,1.03%,64.3
Dimethyl phthalate,24.1,2940,289,109,10.10%,562
Diphenylamine,24.4,101,43.5,28.6,0.73%,32.5
Dipropyl isocinchomeronate,265,2670,1610,1900,0.44%,1230
"Diuron Metabolite [3,4-Dichlorophenyl isocyanate]",25.5,900,220,165,3.37%,193
Drometrizole,16.2,1790,389,163,5.13%,480
Empenthrin III,2520,4330,3420,3425,0.29%,1280
Ethofenprox,5.89,37400,2480,465.5,16.70%,6730
Ethylene brassylate,37.4,222000,11000,3630,79.60%,22300
Eugenol,27,7410,305,95.3,5.87%,1160
Exaltolide [15-Pentadecanolide],134,108000,5220,2730,19.80%,9910
Farnesol I,115,32700,2150,733,5.28%,5430
Farnesol II,273,1900,765,443,0.59%,762
Farnesol IV,295,11100,1640,802,2.20%,2710
Fenobucarb,54.6,535,181,161.5,2.05%,133
Fipronil,9.87,3250,456,170,3.96%,699
Fluoranthene,6.08,374,149,161.5,5.28%,98.3
Fluorene,6.17,84,20.1,15.8,4.55%,15.2
Folpet,203,203,203,203,0.15%,NA
Galaxolide,15.4,107000,8160,3740,94.70%,11100
Gamma-Chlordane,24.6,393,209,208.8,0.29%,260
Geraniol,83.2,10100,998,244.5,2.05%,2630
Guaiacol,20,462,262,251.5,0.88%,152
Hexazinone,206,2020,965,910,0.88%,773
Hydroxy-citronellal,46.2,3340,607,229,3.67%,863
Imidan,567,567,567,567,0.15%,NA
"Indeno[1,2,3-cd]pyrene",15.9,47.7,27.4,18.7,0.44%,17.6
Indole,18.7,3220,541,267,3.67%,744
Isobornyl thiocyanoacetate,45.2,19600,2120,1050,16.70%,3060
Isoeugenol,167,4770,1740,279,0.44%,2630
Jasmolin I,315,441,378,378,0.29%,89.1
Kinoprene,29400,29400,29400,29400,0.15%,NA
Lilial,22.1,41900,2270,735,85.50%,5010
Linalool,5.04,4280,368,140,17.60%,573
Lyral,66,2940,630,303,4.25%,768
Malathion,1380,1380,1380,1380,0.15%,NA
Methomyl,1150,1150,1150,1150,0.15%,NA
Methoprene I,120,2090,1410,2030,0.44%,1120
Methoprene II,840,82900,14300,8245,4.40%,17300
Methoxychlor,212,5770,1920,706,0.73%,2370
METHYL 2-OCTYNOATE,210,210,210,210,0.15%,NA
Methyleugenol,45,118,69.4,45.3,0.44%,42.1
Musk amberette,102,252,177,177,0.29%,106
Musk Ketone,190,7490,1610,621,2.64%,1990
Musk Moskene,23.1,23.1,23.1,23.1,0.15%,NA
"N,n-diethyl-3-aminophenol",39.5,39.5,39.5,39.5,0.15%,NA
"N,N-Diethyl-m-toluamide",7.07,140000,3190,675,72.90%,10600
Naphthalene,3.36,968,34.1,14.3,16.60%,96.6
O-Phenylphenol,26.2,546,138,56.7,1.03%,187
PBDE  108,399,399,399,399,0.15%,NA
PBDE  51,86.1,154,120,120.05,0.29%,48
PBDE 119,230,230,230,230,0.15%,NA
PBDE 47,39.9,1460,580,571,1.61%,438
PBDE 49,19.3,588,195,116,3.67%,169
PBDE 99,39.8,546,268,233,1.61%,190
PCB 127,66.2,66.2,66.2,66.2,0.15%,NA
PCB 138,50.3,50.3,50.3,50.3,0.15%,NA
PCB 141,241,241,241,241,0.15%,NA
PCB 143,140,140,140,140,0.15%,NA
PCB 153,212,212,212,212,0.15%,NA
PCB 91,52.9,52.9,52.9,52.9,0.15%,NA
PCB 94,92.6,193,140,134,0.44%,50.5
Pendimethalin,95.1,2630,561,463,2.49%,579
Pentachloroanisole,71.4,481,202,127.5,0.59%,192
Permethrin,23.1,132000,2700,508.5,65.70%,9820
Permethrin II,52.9,74900,4590,886.5,31.70%,10900
Phantolide,48.3,7750,1880,1535,2.35%,1860
Phenanthrene,8.4,651,108,63.3,5.87%,127
Phenol,1390,1390,1390,1390,0.15%,NA
Phthalimide,29.4,2670,248,136,9.09%,396
Piperonyl butoxide,62.9,199000,14900,1450,8.21%,33400
"Prallethrin, cis-",225,7070,2050,1078,1.17%,2330
"Prallethrin, trans-",1620,1620,1620,1620,0.15%,NA
Promecarb,75.6,7220,739,282,2.35%,1750
Promecarb artifact [5-isopropyl-3-methylphenol],18.1,205,59.2,45.5,1.61%,51.4
Prothioconazole-desthio,221,221,221,221,0.15%,NA
Pyrene,3.14,524,112,88.7,12.90%,94.6
Pyrimethanil,80.2,160,120,120.1,0.29%,56.4
Pyriproxyfen,26.7,8010,1440,668,3.67%,1780
Quinoline,8.69,157,32.3,23.1,6.60%,27.2
Retene,0.51,58.8,22.1,14.49,0.59%,25.8
Simetryn,14200,17300,15800,15750,0.29%,2190
Sudan I,45,86.5,63.2,60.6,0.59%,17.8
Sulfur (S8),81.3,81.3,81.3,81.3,0.15%,NA
TCEP,39.3,455,252,262,0.44%,208
TCMTB,1130,1130,1130,1130,0.15%,NA
TCPP,27,66800,1610,388.5,44.30%,5950
Tebuconazole,229,252,240,240.5,0.29%,16.3
Terbucarb,19.1,96.4,59.5,63,0.44%,38.8
Tetrachlorvinphos,168,1230,496,293,0.59%,497
"Tetrahydrophthalimide, cis-1,2,3,6-",106,106,106,106,0.15%,NA
Tetramethrin I,156,2520,1250,1155,0.59%,1240
Tetramethrin II,7000,7770,7380,7385,0.29%,544
Thymol,9.18,413,102,60,3.08%,119
"Tolyltriazole [1H-Benzotriazole, 4-methyl-]",94.5,315,193,169,0.44%,112
Tonalide,2.32,29400,1090,252,82.00%,2710
TPP,11.4,10900,830,411,44.70%,1250
Trans-Nonachlor,157,157,157,157,0.15%,NA
Transfluthrin,348,348,348,348,0.15%,NA
Tri-p-tolyl phosphate,33.9,1700,235,122.9,2.35%,403
Tributyl phosphate,33.4,6680,359,152,9.82%,841
Triclosan,18.8,6720,581,210,4.25%,1260
"Tricresylphosphate, meta-",4.81,558,178,107.35,1.17%,180
"Tricresylphosphate, ortho-",58.8,113,88.2,90.6,0.59%,26.9
Triethyl phosphate,10.3,1010,127,60.9,5.43%,185
Trifenmorph,61.5,92.7,77.1,77.1,0.29%,22.1
Triphenylene,1.62,82.9,37.5,30,3.23%,24.2
Tris(2-ethylhexyl) phosphate,136,14400,2220,1030,6.30%,2850
"XMC (3,4-Dimethylphenyl N-methylcarbamate)",28,28,28,28,0.15%,NA
