"PureSampleName","ResultOriginal","Result","ParameterName","CASNumber","SampleNumber"
"150021",2100,441,"PBDE 47","5436-43-1","A220434"
"150021",1800,378,"Citral B","5392-40-5","A220434"
"150021",2400,504,"TPP","115-86-6","A220434"
"150021",1800,378,"B-Ionone","79-77-6","A220434"
"150021",560,118,"Oxadiazon","19666-30-9","A220434"
"150021",19000,3990,"TCPP","26248-87-3","A220434"
"150021",6600,1390,"N,N-Diethyl-m-toluamide","134-62-3","A220434"
"150021",3700,777,"Promecarb artifact [5-isopropyl-3-methylphenol]","3228-3-3","A220434"
"150021",27000,5670,"Di-n-butyl phthalate","84-74-2","A220434"
"150021",480,101,"2,4-Di-tert-butylphenol","96-76-4","A220434"
"150021",1500,315,"Bis(2-ethylhexyl)phthalate","117-81-7","A220434"
"150021",32000,6720,"Ethylene brassylate","105-95-3","A220434"
"150021",19000,3990,"Benzophenone","119-61-9","A220434"
"150021",6200,1300,"Diethyl phthalate","84-66-2","A220434"
"150021",420,88.2,"Coumarin","91-64-5","A220434"
"150021",360,75.6,"Butylated hydroxytoluene","128-37-0","A220434"
"150021",920,193,"B-citronellol","106-22-9","A220434"
"150021",2400,504,"Amyl cinnamal","122-40-7","A220434"
"150021",10000,2100,"Di-n-hexyl phthalate","84-75-3","A220434"
"150021",9900,2080,"Galaxolide","1222-05-5","A220434"
"150021",1200,252,"Tonalide","1506-02-1","A220434"
"149601",120,25.5,"Benzothiazole","95-16-9","A220435"
"149601",870,185,"Drometrizole","2440-22-4","A220435"
"149601",28,5.94,"Hexachlorobenzene","118-74-1","A220435"
"149601",71,15.1,"Ethiolate","2941-55-1","A220435"
"149601",21,4.46,"Fluorene","86-73-7","A220435"
"149601",25000,5310,"Diisobutyl phthalate","84-69-5","A220435"
"149601",1200,255,"Butyl benzyl phthalate","85-68-7","A220435"
"149601",40,8.49,"2-Methylphenanthrene","2531-84-2","A220435"
"149601",110,23.3,"1-Methylphenanthrene","832-69-9","A220435"
"149601",4100,870,"Di-n-butyl phthalate","84-74-2","A220435"
"149601",250,53.1,"2,4-Di-tert-butylphenol","96-76-4","A220435"
"149601",240,50.9,"4-Methoxyphenol","150-76-5","A220435"
"149601",68,14.4,"Di-n-nonyl phthalate","84-76-4","A220435"
"149601",440,93.4,"Butylated hydroxytoluene","128-37-0","A220435"
"149601",290,61.5,"2,6-Di-tert-butylphenol","128-39-2","A220435"
"149601",180,38.2,"Anthracene","120-12-7","A220435"
"149601",2200,467,"Bis(2-ethylhexyl)phthalate","117-81-7","A220435"
"149601",51,10.8,"Pyrene","129-00-0","A220435"
"149601",120,25.5,"N,N-Diethyl-m-toluamide","134-62-3","A220435"
"149601",580,123,"Retene","483-65-8","A220435"
"146095",30000,6300,"Diisobutyl phthalate","84-69-5","A220436"
"146095",19000,3990,"Di-n-butyl phthalate","84-74-2","A220436"
"146095",350,73.5,"Butylated hydroxyanisole","25013-16-5","A220436"
"146095",390,81.9,"Diethyl phthalate","84-66-2","A220436"
"146095",8300,1740,"Di-n-hexyl phthalate","84-75-3","A220436"
"146095",3100,651,"Caffeine","58-08-2","A220436"
"146095",72000,15100,"Butyl benzyl phthalate","85-68-7","A220436"
"146095",1400,294,"TPP","115-86-6","A220436"
"146095",3800,798,"Ethylene brassylate","105-95-3","A220436"
"146095",2400,504,"Lilial","80-54-6","A220436"
"146095",1800,378,"Di-n-nonyl phthalate","84-76-4","A220436"
"146095",2900,609,"N,N-Diethyl-m-toluamide","134-62-3","A220436"
"146095",18000,3780,"Exaltolide [15-Pentadecanolide]","106-02-5","A220436"
"146095",24,5.04,"4-Isopropylphenol","99-89-8","A220436"
"146095",33000,6930,"Benzyl salicylate","118-58-1","A220436"
"146095",10,2.1,"1-Methylnaphthalene","90-12-0","A220436"
"146095",3400,714,"TCPP","26248-87-3","A220436"
"146095",1800,378,"Benzophenone","119-61-9","A220436"
"146095",190,39.9,"2,4-Di-tert-butylphenol","96-76-4","A220436"
"146095",46,9.66,"Cinnamal","104-55-2","A220436"
"146095",1300,273,"Citral B","5392-40-5","A220436"
"146095",270,56.7,"Tonalide","1506-02-1","A220436"
"146095",25000,5250,"Permethrin II","999046-03-6","A220436"
"146095",15000,3150,"Galaxolide","1222-05-5","A220436"
"146095",2200,462,"Dimethyl phthalate","131-11-3","A220436"
"149954",880,260,"Di-n-octyl phthalate","117-84-0","A220437"
"149954",26000,7690,"Lilial","80-54-6","A220437"
"149954",150,44.4,"Quinoline","91-22-5","A220437"
"149954",9100,2690,"Benzyl benzoate","120-51-4","A220437"
"149954",2500,740,"A-Ionone","127-41-3","A220437"
"149954",160,47.3,"Di-n-nonyl phthalate","84-76-4","A220437"
"149954",6600,1950,"Di-n-butyl phthalate","84-74-2","A220437"
"149954",2400,710,"Butyl benzyl phthalate","85-68-7","A220437"
"149954",820,243,"Butylated hydroxytoluene","128-37-0","A220437"
"149954",1000,296,"O-Phenylphenol","90-43-7","A220437"
"149954",860,254,"Linalool","78-70-6","A220437"
"149954",15000,4440,"Benzyl salicylate","118-58-1","A220437"
"149954",650,192,"B-citronellol","106-22-9","A220437"
"149954",1800,533,"Benzyl alcohol","100-51-6","A220437"
"149954",33000,9760,"Ethylene brassylate","105-95-3","A220437"
"149954",1900,562,"Diethyl phthalate","84-66-2","A220437"
"149954",1200,355,"TCPP","26248-87-3","A220437"
"149954",590,175,"Coumarin","91-64-5","A220437"
"149954",58,17.2,"Naphthalene","91-20-3","A220437"
"149954",670,198,"2,4-Di-tert-butylphenol","96-76-4","A220437"
"149954",110000,32500,"Bis(2-ethylhexyl)phthalate","117-81-7","A220437"
"149954",430,127,"Geraniol","106-24-1","A220437"
"149954",640,189,"Tonalide","1506-02-1","A220437"
"149954",4300,1270,"Amyl cinnamal","122-40-7","A220437"
"149954",140,41.4,"TPP","115-86-6","A220437"
"149954",230,68.1,"Dicyclohexyl phthalate","84-61-7","A220437"
"149954",7300,2160,"B-Ionone","79-77-6","A220437"
"149954",47,13.9,"1-Methylnaphthalene","90-12-0","A220437"
"149954",4700,1390,"Diisobutyl phthalate","84-69-5","A220437"
"149954",2000,592,"Benzophenone","119-61-9","A220437"
"149954",46000,13600,"Galaxolide","1222-05-5","A220437"
"149954",24,7.1,"Cinnamal","104-55-2","A220437"
"147134",50000,10500,"Benzyl benzoate","120-51-4","A220438"
"147134",8400,1760,"Di-n-nonyl phthalate","84-76-4","A220438"
"147134",290,60.9,"Ethofenprox","80844-07-1","A220438"
"147134",400,84,"Butylated hydroxyanisole","25013-16-5","A220438"
"147134",3400,714,"Diethyl phthalate","84-66-2","A220438"
"147134",87000,18300,"Butyl benzyl phthalate","85-68-7","A220438"
"147134",2000,420,"TCPP","26248-87-3","A220438"
"147134",19000,3990,"Benzyl salicylate","118-58-1","A220438"
"147134",1600,336,"Lilial","80-54-6","A220438"
"147134",300,63,"Tonalide","1506-02-1","A220438"
"147134",71,14.9,"Anthracene","120-12-7","A220438"
"147134",22000,4620,"Di-n-butyl phthalate","84-74-2","A220438"
"147134",70,14.7,"Triclosan","3380-34-5","A220438"
"147134",21000,4410,"N,N-Diethyl-m-toluamide","134-62-3","A220438"
"147134",360,75.6,"2,4-Di-tert-butylphenol","96-76-4","A220438"
"147134",9,1.89,"2-Methylnaphthalene","91-57-6","A220438"
"147134",80000,16800,"Permethrin","52645-53-1","A220438"
"147134",2300,483,"Dimethyl phthalate","131-11-3","A220438"
"147134",39000,8190,"Exaltolide [15-Pentadecanolide]","106-02-5","A220438"
"147134",7400,1550,"Caffeine","58-08-2","A220438"
"147134",9700,2040,"Ethylene brassylate","105-95-3","A220438"
"147134",44,9.24,"Diuron Metabolite [3,4-Dichlorophenyl isocyanate]","102-36-3","A220438"
"147134",220,46.2,"TCEP","115-96-8","A220438"
"147134",170,35.7,"Butylated hydroxytoluene","128-37-0","A220438"
"147134",1400,294,"Benzophenone","119-61-9","A220438"
"147134",19000,3990,"Diisobutyl phthalate","84-69-5","A220438"
"147134",310,65.1,"Di-n-hexyl phthalate","84-75-3","A220438"
"147134",240,50.4,"B-citronellol","106-22-9","A220438"
"147134",1800,378,"Pyriproxyfen","95737-68-1","A220438"
"147134",2300,483,"TPP","115-86-6","A220438"
"147134",1100,231,"Citral B","5392-40-5","A220438"
"147134",270,56.7,"Coumarin","91-64-5","A220438"
"147134",65,13.7,"Pyrene","129-00-0","A220438"
"147134",10000,2100,"Galaxolide","1222-05-5","A220438"
"146113",420,88.2,"Linalool","78-70-6","A220439"
"146113",2700,567,"Di-n-nonyl phthalate","84-76-4","A220439"
"146113",2900,609,"Musk Ketone","81-14-1","A220439"
"146113",55000,11600,"Benzyl benzoate","120-51-4","A220439"
"146113",110000,23100,"Lilial","80-54-6","A220439"
"146113",4500,945,"Butyl benzyl phthalate","85-68-7","A220439"
"146113",18000,3780,"Di-n-butyl phthalate","84-74-2","A220439"
"146113",920,193,"B-citronellol","106-22-9","A220439"
"146113",130000,27300,"Benzyl salicylate","118-58-1","A220439"
"146113",2000,420,"Butylated hydroxytoluene","128-37-0","A220439"
"146113",2200,462,"Coumarin","91-64-5","A220439"
"146113",2800,588,"B-Ionone","79-77-6","A220439"
"146113",5400,1130,"Diethyl phthalate","84-66-2","A220439"
"146113",4100,861,"Hydroxy-citronellal","107-75-5","A220439"
"146113",270000,56700,"Ethylene brassylate","105-95-3","A220439"
"146113",860,181,"TPP","115-86-6","A220439"
"146113",95000,20000,"Galaxolide","1222-05-5","A220439"
"146113",1400,294,"Benzyl cinnamate","103-41-3","A220439"
"146113",31,6.51,"M-Cresol","108-39-4","A220439"
"146113",1600,336,"Tonalide","1506-02-1","A220439"
"146113",25000,5250,"Diisobutyl phthalate","84-69-5","A220439"
"146113",640,134,"Citral A","5392-40-5","A220439"
"148577",8800,1850,"Benzyl benzoate","120-51-4","A220443"
"148577",17000,3570,"Lilial","80-54-6","A220443"
"148577",560,118,"Butylated hydroxyanisole","25013-16-5","A220443"
"148577",47000,9870,"Benzyl salicylate","118-58-1","A220443"
"148577",38,7.98,"Diphenylamine","122-39-4","A220443"
"148577",1400,294,"Diethyl phthalate","84-66-2","A220443"
"148577",15000,3150,"Butyl benzyl phthalate","85-68-7","A220443"
"148577",1100,231,"Benzophenone","119-61-9","A220443"
"148577",8100,1700,"Diisobutyl phthalate","84-69-5","A220443"
"148577",570,120,"Triclosan","3380-34-5","A220443"
"148577",1500,315,"Ethofenprox","80844-07-1","A220443"
"148577",280,58.8,"B-citronellol","106-22-9","A220443"
"148577",24000,5040,"Ethylene brassylate","105-95-3","A220443"
"148577",620,130,"Cashmeran","33704-61-9","A220443"
"148577",6000,1260,"TPP","115-86-6","A220443"
"148577",5,1.05,"1-Methylnaphthalene","90-12-0","A220443"
"148577",1800,378,"TCPP","26248-87-3","A220443"
"148577",1700,357,"B-Ionone","79-77-6","A220443"
"148577",130,27.3,"4-Tert-butylphenol","98-54-4","A220443"
"148577",80,16.8,"Eugenol","97-53-0","A220443"
"148577",180,37.8,"2,4-Di-tert-butylphenol","96-76-4","A220443"
"148577",150000,31500,"Bis(2-ethylhexyl)phthalate","117-81-7","A220443"
"148577",12000,2520,"Di-n-butyl phthalate","84-74-2","A220443"
"148577",60,12.6,"Cinnamal","104-55-2","A220443"
"148577",66000,13900,"Galaxolide","1222-05-5","A220443"
"148577",65,13.7,"Bifenthrin","82657-04-3","A220443"
"148577",450,94.5,"Coumarin","91-64-5","A220443"
"148577",510,107,"Tributyl phosphate","126-73-8","A220443"
"148577",6700,1410,"Caffeine","58-08-2","A220443"
"148577",3300,693,"Amyl cinnamal","122-40-7","A220443"
"148577",720,151,"Permethrin","52645-53-1","A220443"
"145349",52000,10900,"Lilial","80-54-6","A220444"
"145349",3000,630,"Butyl benzyl phthalate","85-68-7","A220444"
"145349",1200,252,"2,4-Di-tert-butylphenol","96-76-4","A220444"
"145349",7300,1530,"Linalool","78-70-6","A220444"
"145349",1400,294,"Butylated hydroxyanisole","25013-16-5","A220444"
"145349",3000,630,"2-Methylphenol","95-48-7","A220444"
"145349",72000,15100,"Ethylene brassylate","105-95-3","A220444"
"145349",160,33.6,"Ethofenprox","80844-07-1","A220444"
"145349",580,122,"Di-n-nonyl phthalate","84-76-4","A220444"
"145349",2800,588,"Butylated hydroxytoluene","128-37-0","A220444"
"145349",1600,336,"Benzyl cinnamate","103-41-3","A220444"
"145349",3900,819,"B-Ionone","79-77-6","A220444"
"145349",120000,25200,"Benzyl salicylate","118-58-1","A220444"
"145349",180000,37800,"Galaxolide","1222-05-5","A220444"
"145349",440,92.4,"Citral B","5392-40-5","A220444"
"145349",820,172,"TPP","115-86-6","A220444"
"145349",5100,1070,"Musk Ketone","81-14-1","A220444"
"145349",12000,2520,"Exaltolide [15-Pentadecanolide]","106-02-5","A220444"
"145349",7500,1580,"Diethyl phthalate","84-66-2","A220444"
"145349",470,98.7,"D-Limonene","5989-27-5","A220444"
"145349",2900,609,"Bis(2-ethylhexyl)phthalate","117-81-7","A220444"
"145349",2800,588,"Coumarin","91-64-5","A220444"
"145349",18000,3780,"Benzyl benzoate","120-51-4","A220444"
"145349",400,84,"Di-n-hexyl phthalate","84-75-3","A220444"
"145349",2300,483,"Tonalide","1506-02-1","A220444"
"145349",850,179,"Hydroxy-citronellal","107-75-5","A220444"
"145349",8200,1720,"Amyl cinnamal","122-40-7","A220444"
"149758",350,74.3,"Butylated hydroxyanisole","25013-16-5","A220445"
"149758",1500,318,"Di-n-nonyl phthalate","84-76-4","A220445"
"149758",170,36.1,"Quinoline","91-22-5","A220445"
"149758",1000,212,"TPP","115-86-6","A220445"
"149758",3700,785,"N,N-Diethyl-m-toluamide","134-62-3","A220445"
"149758",65000,13800,"Butyl benzyl phthalate","85-68-7","A220445"
"149758",350,74.3,"PBDE 47","5436-43-1","A220445"
"149758",1400,297,"Diethyl phthalate","84-66-2","A220445"
"149758",1200,255,"B-Ionone","79-77-6","A220445"
"149758",410,87,"Citral B","5392-40-5","A220445"
"149758",670,142,"2,4-Di-tert-butylphenol","96-76-4","A220445"
"149758",47,9.97,"4-Chloro-3,5-dimethylphenol","88-04-0","A220445"
"149758",780000,166000,"Bis(2-ethylhexyl)phthalate","117-81-7","A220445"
"149758",270,57.3,"Coumarin","91-64-5","A220445"
"149758",420,89.1,"A-Ionone","127-41-3","A220445"
"149758",2000,424,"Phantolide","15323-35-0","A220445"
"149758",15000,3180,"Diisobutyl phthalate","84-69-5","A220445"
"149758",2400,509,"Benzophenone","119-61-9","A220445"
"149758",100,21.2,"Tonalide","1506-02-1","A220445"
"149758",16,3.4,"1-Methylnaphthalene","90-12-0","A220445"
"149758",170,36.1,"O-Phenylphenol","90-43-7","A220445"
"149758",30000,6370,"Benzyl salicylate","118-58-1","A220445"
"149758",2600,552,"TCPP","26248-87-3","A220445"
"149758",870,185,"Amyl cinnamal","122-40-7","A220445"
"149758",480,102,"PBDE 99","60348-60-9","A220445"
"149758",3700,785,"Benzyl benzoate","120-51-4","A220445"
"149758",37000,7850,"Galaxolide","1222-05-5","A220445"
"149758",5900,1250,"Lilial","80-54-6","A220445"
"149758",820,174,"Dimethyl phthalate","131-11-3","A220445"
"149758",15000,3180,"Di-n-butyl phthalate","84-74-2","A220445"
"149758",41000,8700,"Exaltolide [15-Pentadecanolide]","106-02-5","A220445"
"149758",16000,3400,"Permethrin II","999046-03-6","A220445"
"149758",4900,1040,"Ethylene brassylate","105-95-3","A220445"
"150428",93,24.9,"Butylated hydroxytoluene","128-37-0","A220446"
"150428",300,80.2,"2,4-Di-tert-butylphenol","96-76-4","A220446"
"150428",110000,29400,"Butyl benzyl phthalate","85-68-7","A220446"
"150428",500,134,"TPP","115-86-6","A220446"
"150428",1200,321,"Benzyl benzoate","120-51-4","A220446"
"150428",28000,7490,"Di-n-butyl phthalate","84-74-2","A220446"
"150428",1800,481,"Di-n-nonyl phthalate","84-76-4","A220446"
"150428",310,82.9,"N,N-Diethyl-m-toluamide","134-62-3","A220446"
"150428",170,45.5,"Tonalide","1506-02-1","A220446"
"150428",720,193,"Dimethyl phthalate","131-11-3","A220446"
"150428",5500,1470,"Benzophenone","119-61-9","A220446"
"150428",130,34.8,"Amyl cinnamal","122-40-7","A220446"
"150428",180,48.1,"Triethyl phosphate","78-40-0","A220446"
"150428",180,48.1,"Lilial","80-54-6","A220446"
"150428",20,5.35,"1-Methylnaphthalene","90-12-0","A220446"
"150428",100,26.7,"Citral A","5392-40-5","A220446"
"150428",2300,615,"TCPP","26248-87-3","A220446"
"150428",6300,1680,"Caffeine","58-08-2","A220446"
"150428",640,171,"Permethrin II","999046-03-6","A220446"
"150428",320,85.6,"PBDE 47","5436-43-1","A220446"
"150428",4200,1120,"Benzyl salicylate","118-58-1","A220446"
"150488",680,189,"Benzophenone","119-61-9","A220447"
"150488",12000,3340,"Galaxolide","1222-05-5","A220447"
"150488",2800,780,"Butylated hydroxytoluene","128-37-0","A220447"
"150488",1200,334,"TPP","115-86-6","A220447"
"150488",830,231,"4,4'-DDT","50-29-3","A220447"
"150488",1700,473,"TCPP","26248-87-3","A220447"
"150488",490,136,"Amyl cinnamal","122-40-7","A220447"
"150488",1400,390,"Benzyl benzoate","120-51-4","A220447"
"150488",57,15.9,"4-Chloro-3,5-dimethylphenol","88-04-0","A220447"
"150488",69000,19200,"Butyl benzyl phthalate","85-68-7","A220447"
"150488",130,36.2,"Tonalide","1506-02-1","A220447"
"150488",410,114,"Bisphenol A","80-05-7","A220447"
"150488",1100,306,"N,N-Diethyl-m-toluamide","134-62-3","A220447"
"150488",28000,7800,"Permethrin","52645-53-1","A220447"
"150488",5500,1530,"Ethylene brassylate","105-95-3","A220447"
"150488",1800,501,"Caffeine","58-08-2","A220447"
"150488",6200,1730,"Lilial","80-54-6","A220447"
"150488",9700,2700,"Diisobutyl phthalate","84-69-5","A220447"
"150488",1100,306,"Bis(2-ethylhexyl)phthalate","117-81-7","A220447"
"150488",14000,3900,"Di-n-butyl phthalate","84-74-2","A220447"
"150488",15000,4180,"Benzyl salicylate","118-58-1","A220447"
"150561",66000,10700,"Diethyl phthalate","84-66-2","A220448"
"150561",480,78.2,"Butylated hydroxytoluene","128-37-0","A220448"
"150561",8100,1320,"B-Ionone","79-77-6","A220448"
"150561",120000,19500,"Galaxolide","1222-05-5","A220448"
"150561",1200,195,"TPP","115-86-6","A220448"
"150561",1700,277,"Tonalide","1506-02-1","A220448"
"150561",880,143,"Amyl cinnamal","122-40-7","A220448"
"150561",27000,4400,"Lilial","80-54-6","A220448"
"150561",1000,163,"Coumarin","91-64-5","A220448"
"150561",1400,228,"Musk Ketone","81-14-1","A220448"
"150561",120000,19500,"Benzyl benzoate","120-51-4","A220448"
"150561",10000,1630,"Diisobutyl phthalate","84-69-5","A220448"
"150561",520000,84700,"Ethylene brassylate","105-95-3","A220448"
"150561",1700,277,"A-Ionone","127-41-3","A220448"
"150561",1800,293,"Benzyl cinnamate","103-41-3","A220448"
"150561",280,45.6,"Citral A","5392-40-5","A220448"
"150561",1400,228,"Bis(2-ethylhexyl)phthalate","117-81-7","A220448"
"150561",28000,4560,"Di-n-butyl phthalate","84-74-2","A220448"
"150561",870,142,"Benzophenone","119-61-9","A220448"
"150561",3000,489,"Butyl benzyl phthalate","85-68-7","A220448"
"150561",130000,21200,"Benzyl salicylate","118-58-1","A220448"
"150561",180000,29300,"Exaltolide [15-Pentadecanolide]","106-02-5","A220448"
"150561",1100,179,"PBDE 47","5436-43-1","A220448"
"150561",160,26.1,"Triethyl phosphate","78-40-0","A220448"
"150561",1600,261,"Dicyclohexyl phthalate","84-61-7","A220448"
"150561",960,156,"Cashmeran","33704-61-9","A220448"
"146979",10000,2100,"4-Tert-butylphenol","98-54-4","A220449"
"146979",77,16.2,"Diphenylamine","122-39-4","A220449"
"146979",6400,1340,"Benzyl benzoate","120-51-4","A220449"
"146979",3100,651,"Galaxolide","1222-05-5","A220449"
"146979",480,101,"Tonalide","1506-02-1","A220449"
"146979",37,7.77,"Fluorene","86-73-7","A220449"
"146979",27,5.67,"1-Methylphenanthrene","832-69-9","A220449"
"146979",510,107,"2,4-Di-tert-butylphenol","96-76-4","A220449"
"146979",290,60.9,"4-Methoxyphenol","150-76-5","A220449"
"146979",6500,1370,"N,N-Diethyl-m-toluamide","134-62-3","A220449"
"146979",90,18.9,"Citral A","5392-40-5","A220449"
"146979",410,86.1,"Lilial","80-54-6","A220449"
"146979",1700,357,"Diethyl phthalate","84-66-2","A220449"
"146979",33000,6930,"Diisobutyl phthalate","84-69-5","A220449"
"146979",6600,1390,"Butyl benzyl phthalate","85-68-7","A220449"
"146979",520,109,"TCPP","26248-87-3","A220449"
"146979",24000,5040,"Di-n-butyl phthalate","84-74-2","A220449"
"146979",11000,2310,"Benzyl salicylate","118-58-1","A220449"
"146979",5900,1240,"Permethrin II","999046-03-6","A220449"
"146979",120000,25200,"Bis(2-ethylhexyl)phthalate","117-81-7","A220449"
"146979",170,35.7,"2,6-Di-tert-butyl-4-ethylphenol","4130-42-1","A220449"
"146979",190,39.9,"Anthracene","120-12-7","A220449"
"146979",9,1.89,"1-Methylnaphthalene","90-12-0","A220449"
"146979",580,122,"TPP","115-86-6","A220449"
"146979",8600,1810,"Benzophenone","119-61-9","A220449"
"146979",8000,1680,"Ethylene brassylate","105-95-3","A220449"
"150061",1400,294,"Di-n-nonyl phthalate","84-76-4","A220450"
"150061",2900,609,"Drometrizole","2440-22-4","A220450"
"150061",4900,1030,"Benzyl benzoate","120-51-4","A220450"
"150061",1000,210,"Galaxolide","1222-05-5","A220450"
"150061",320,67.2,"Tonalide","1506-02-1","A220450"
"150061",220,46.2,"Coumarin","91-64-5","A220450"
"150061",60,12.6,"1-Methylphenanthrene","832-69-9","A220450"
"150061",2500,525,"TCPP","26248-87-3","A220450"
"150061",24000,5040,"Diisobutyl phthalate","84-69-5","A220450"
"150061",3100,651,"Caffeine","58-08-2","A220450"
"150061",59,12.4,"Fluorene","86-73-7","A220450"
"150061",130000,27300,"Bis(2-ethylhexyl)phthalate","117-81-7","A220450"
"150061",110,23.1,"4-Methoxyphenol","150-76-5","A220450"
"150061",430,90.3,"Lilial","80-54-6","A220450"
"150061",5400,1130,"Permethrin","52645-53-1","A220450"
"150061",82,17.2,"2-Methylphenanthrene","2531-84-2","A220450"
"150061",610,128,"Citral A","5392-40-5","A220450"
"150061",520,109,"2,4-Di-tert-butylphenol","96-76-4","A220450"
"150061",3800,798,"Diethyl phthalate","84-66-2","A220450"
"150061",56,11.8,"Fluoranthene","206-44-0","A220450"
"150061",37000,7770,"Di-n-butyl phthalate","84-74-2","A220450"
"150061",330,69.3,"Phenanthrene","85-01-8","A220450"
"150061",93,19.5,"Cinnamal","104-55-2","A220450"
"150061",4000,840,"Benzyl salicylate","118-58-1","A220450"
"150061",230,48.3,"4-Tert-butylphenol","98-54-4","A220450"
"150061",6300,1320,"Benzophenone","119-61-9","A220450"
"150061",200,42,"4-Chloro-3,5-dimethylphenol","88-04-0","A220450"
"150061",36000,7560,"N,N-Diethyl-m-toluamide","134-62-3","A220450"
"150061",15000,3150,"Butyl benzyl phthalate","85-68-7","A220450"
"150061",55,11.6,"Pyrene","129-00-0","A220450"
"150061",750,158,"TPP","115-86-6","A220450"
"150061",430,90.3,"Dimethyl phthalate","131-11-3","A220450"
"150061",3600,756,"Ethylene brassylate","105-95-3","A220450"
"150047",2800,582,"TCPP","26248-87-3","A220451"
"150047",71000,14800,"Diisobutyl phthalate","84-69-5","A220451"
"150047",45,9.36,"1-Methylnaphthalene","90-12-0","A220451"
"150047",1900,395,"Lilial","80-54-6","A220451"
"150047",2800,582,"Citral A","5392-40-5","A220451"
"150047",240,49.9,"Tonalide","1506-02-1","A220451"
"150047",27000,5620,"Benzyl salicylate","118-58-1","A220451"
"150047",130000,27000,"Butyl benzyl phthalate","85-68-7","A220451"
"150047",4500,936,"Galaxolide","1222-05-5","A220451"
