"Chemical","CASRN","FR-EMS-001","FR-EMS-002","FR-EMS-003","FR-EMS-004","FR-EMS-005","FR-EMS-006","FR-EMS-007","FR-EMS-008","FR-EMS-009","FR-EMS-010","FR-EMS-011","FR-EMS-012","FR-EMS-013","FR-EMS-014","FR-EMS-015","FR-EMS-016","FR-EMS-017","FR-EMS-018","FR-EMS-019","FR-EMS-020","FR-EMS-021","FR-EMS-022","FR-EMS-024","FR-EMS-026","FR-EMS-027","FR-EMS-028","FR-EMS-029","UCSF 9001","UCSF9000"
"Butylated hydroxyanisole","25013-16-5",23.9,0,55,34.9,0,0,22,55,49,37.4,54.8,95.6,25.4,75,28.3,47.7,23.9,18.8,36.6,6.61,27.2,14.7,16.5,16.6,70,118,24.7,7.92,68.4
"Butylated hydroxytoluene","128-37-0",127,76.9,55,81.2,58.6,21,60,65,130,82.2,73.1,168,0,270,33.7,102,148,66.8,46.7,17.9,39.5,68.4,7.71,48.9,955,134,49.9,12.9,205
"Caffeine","58-08-2",46.4,210,0,0,0,0,345,0,140,0,0,210,0,0,225,0,0,0,226,28.3,0,0,34.6,0,121,0,0,0,0
"Carvone","99-49-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0
"Cashmeran","33704-61-9",0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,0,0,0,0,0,0,0
"Celestolide","13171-00-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0
"Cinnamal","104-55-2",0,2.46,0,0,6.84,87.9,6.5,0,3.95,5.48,0,0,0,0,0,5.41,0,7.64,6.22,0,0,0,0,6.35,6.37,0,0,0,0
"Citral A","5392-40-5",14.2,56.4,7.5,57.3,0,21,60,30.5,39.5,0,33.5,97.7,0,45,47.4,9.55,0,11.8,38.9,20.5,21.7,41.5,17.6,48.9,15.9,5.88,18.6,0,0
"Coumarin","91-64-5",53.7,0,190,15.8,41,137,0,13.5,15.5,0,0,0,21.5,270,0,19.1,0,15.3,15.6,0,0,0,6.91,78.2,33.7,0,0,0,0
"Cypermethrin-2","52315-07-8",0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0,0,89.1,0,0,0,0
"D-(cis-trans)-Phenothrin-I","26002-80-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.1,0,0,0,0,0
"D-Limonene","5989-27-5",0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
"Di-n-butyl phthalate","84-74-2",2590,2150,1700,2960,1760,381,2400,1650,1050,822,4260,4620,235,7200,1610,2230,859,923,1090,614,1240,1470,346,1560,2480,1340,1080,614,1870
"Di-n-hexyl phthalate","84-75-3",0,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,41.1,0,0,0,61.8,0,0,0,0,0,0,0,0
"Di-n-nonyl phthalate","84-76-4",0,0,31,716,63.5,0,85,500,0,54.8,822,126,0,0,0,318,229,1370,42.8,0,297,254,39.9,0,1270,126,28.9,0,0
"Di-n-octyl phthalate","117-84-0",0,0,0,0,58.6,0,0,0,0,0,0,0,0,0,0,1780,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dicyclohexyl phthalate","84-61-7",0,0,0,0,0,0,0,0,11.5,54.8,0,0,0,840,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
"Diethyl phthalate","84-66-2",2150,92.2,0,0,0,4790,250,0,550,913,0,0,0,0,0,312,0,796,428,28.3,0,0,0,469,3440,2610,202,0,0
"Diisobutyl phthalate","84-69-5",1120,2310,1800,4770,586,440,2250,2300,1700,959,3350,12600,454,4200,1320,955,907,764,3310,944,1360,1070,532,2350,1970,1220,1080,703,4600
"Dimethyl phthalate","131-11-3",0,0,0,0,15.6,48.4,0,0,19.5,0,0,83,92.8,0,0,31.8,0,0,10.1,0,0,0,26.6,0,223,0,16.8,0,0
"Ethofenprox","80844-07-1",0,0,0,26.7,0,0,40.5,0,0,0,0,0,0,0,68.4,0,34.4,0,0,0,98.9,37.6,0,537,764,0,16,0,0
"Ethylene brassylate","105-95-3",1030,1640,1500,3580,352,1950,315,850,8500,2920,913,1160,22,8850,425,23200,3060,2990,506,472,1210,8790,319,4740,2610,2900,972,0,2180
"Eugenol","97-53-0",0,0,6.5,0,0,0,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farnesol I","4602-84-0",0,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.1,0,0,0,0,0,0,0
"Galaxolide","1222-05-5",2930,1840,1050,1960,1270,2000,1000,3100,2650,0,2010,6510,78.2,11700,684,7000,2050,1660,778,401,791,4300,207,3810,2800,1970,1310,238,1550
"Geraniol","106-24-1",0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydroprene","41096-46-2",0,0,0,115,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydroxy-citronellal","107-75-5",122,0,0,0,0,386,0,0,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isobornyl thiocyanoacetate","115-31-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470,0,0,0,0,0,0,0
"Lilial","80-54-6",293,225,195,143,440,586,100,140,155,114,174,357,35.2,67.5,63.5,66.8,296,350,167,47.2,156,83.1,71.8,415,89.1,319,65.7,0,616
"Linalool","78-70-6",0,0,90,0,48.9,26.9,0,9,0,6.85,6.7,0,0,57,0,0,0,0,5.45,0,0,0,0,31.3,19.1,0,0,0,30.5
"Lyral","31906-04-4",0,0,0,0,0,28.8,0,0,0,0,0,0,0,0,0,0,0,15.9,31.9,0,0,0,15.7,0,0,0,26.3,0,0
"Methyleugenol","93-15-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,0,0
"Musk Ketone","81-14-1",332,0,0,0,0,0,0,0,0,0,63.9,0,0,0,0,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"N,N-Diethyl-m-toluamide","134-62-3",445,0,0,477,9770,117,0,270,140,0,0,126,18.6,345,977,44.6,358,1810,210,61.4,19.3,97.7,1010,166,891,23.1,2890,0,0
"Naphthalene","91-20-3",0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,0,0,0,0,0,0,0,0
"PBDE 47","5436-43-1",0,47.7,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBDE 49","243982-82-3",0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21,0,0,0,22,0,0,0,0,0,0,0,0
"Permethrin","52645-53-1",0,0,0,3960,0,0,55,0,0,0,30.4,0,0,25500,0,0,0,0,77.8,35.4,17.3,0,7.98,58.6,0,0,15.2,119,746
"Permethrin II","999046-03-6",0,0,0,3060,0,0,0,0,0,0,0,0,0,33000,0,0,0,0,89.5,0,0,215,0,0,0,0,0,129,0
"Phenanthrene","85-01-8",0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phthalimide","85-41-6",0,0,0,0,0,0,0,0,0,0,0,48.3,0,0,0,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piperonyl butoxide","51-03-6",0,0,0,0,0,0,0,1300,0,0,0,0,0,1140,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0
"Promecarb","2631-37-0",0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrene","129-00-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0
"Quinoline","91-22-5",0,0,10,0,9.28,10.3,0,0,6,0,0,0,14.7,0,0,2.55,0,0,0,0,0,0,1.78,0,0,0,0,0,0
"TCEP","115-96-8",0,128,0,0,83.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCPP","26248-87-3",73.3,164,205,205,23.9,37.1,390,47.5,170,0,140,735,13.7,114,235,95.5,0,73.2,66.1,28.3,34.6,156,12.2,36.6,236,546,34.1,0,0
"Thymol","89-83-8",0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tilt","60207-90-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0
"Tonalide","1506-02-1",132,159,75,41.1,122,58.6,39,275,205,155,116,78.8,7.33,540,43,44.6,76.4,73.2,38.1,20.3,69.2,26.9,8.51,83.1,59.8,147,60.4,95.1,404
"Tri-p-tolyl phosphate","78-32-0",0,0,0,0,11.7,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0
"Tributyl phosphate","126-73-8",0,0,0,81.2,0,0,0,41,0,63.9,0,73.5,0,240,0,0,0,41.4,13.6,13.2,16.1,0,14.6,0,70,0,14.7,0,218
"Triclosan","3380-34-5",0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tricresylphosphate, meta-","563-04-2",0,0,0,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9,0,0,0,0,0
"Triethyl phosphate","78-40-0",0,0,28,0,10.7,0,0,0,4.65,0,0,0,26.9,0,132,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0
"Tris(2-ethylhexyl) phosphate","78-42-2",0,0,0,0,0,0,0,0,0,0,140,210,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,622
