ParameterID,ParameterName,CASNumber
300390,2-Methylanthracene,613-12-7
300392,1-Methylpyrene,2381-21-7
300432,PCB 28,7012-37-5
300433,PCB 44,41464-39-5
300604,"P,p'-Dicofol",115-32-2
300628,Azinphos-ethyl,2642-71-9
300631,Esfenvalerate,66230-04-4
300636,Fenvalerate,51630-58-1
300638,Tilt,60207-90-1
300639,Tributyl phosphate,126-73-8
300640,Oxadiazon,19666-30-9
300641,"N,N-Diethyl-m-toluamide",134-62-3
300659,1-Hydroxynaphthalene,90-15-3
300685,"2,6-Dimethylnaphthalene",581-42-0
300698,PCB 18,37680-65-2
300704,PCB 149,38380-04-0
300708,PCB 194,35694-08-7
300715,PBDE 99,60348-60-9
300716,PBDE 153,68631-49-2
300718,PCB 31,16606-02-3
300728,PBDE 47,5436-43-1
300732,PBDE 100,189084-64-8
300733,PBDE 154,207122-15-4
301096,"2,6-Dimethylaniline",87-62-7
301105,Propamocarb,24579-73-5
301109,Acephate,30560-19-1
301113,Trichlorfon,52-68-6
301116,O-Phenylphenol,90-43-7
301125,Ethylenethiourea,96-45-7
301130,Omethoate,1113-02-6
301137,Chlordimeform,6164-98-3
301141,Bendiocarb,22781-23-3
301158,Clomazone,81777-89-1
301160,Cyromazine,66215-27-8
301175,Dinoterb,1420-07-1
301176,Pyrimethanil,53112-28-0
301193,Metobromuron,3060-89-7
301198,Pirimicarb,23103-98-2
301206,Dimethachlor,50563-36-5
301210,Bentazone methyl derivative,61592-45-8
301211,Acetochlor,34256-82-1
301213,Chlorpyrifos Methyl,5598-13-0
301217,Tolclofos-methyl,57018-04-9
301220,Isoproturon,34123-59-6
301224,Oxydemeton-methyl,301-12-2
301225,Metalaxyl,57837-19-1
301238,Ethofumesate,26225-79-6
301240,Chlorotoluron,15545-48-9
301250,Fepropimorph,67564-91-4
301255,Carbetamide,16118-49-3
301263,Dodemorph I,1593-77-7
301274,Metazachlor,67129-08-2
301277,Thiabendazole,148-79-8
301280,Penconazole,66246-88-6
301292,Triadimenol,55219-65-3
301297,Bioallethrin,584-79-2
301300,Procymidone,32809-16-8
301310,TCMTB,21564-17-0
301311,Flutriafol,76674-21-0
301315,Diamyl phthalate,131-18-0
301322,Imazalil,35554-44-0
301323,Flutolanil,66332-96-5
301325,Profenofos,41198-08-7
301331,Metamitron,41394-05-2
301335,Flusilazole,85509-19-9
301358,Triazophos,24017-47-8
301367,Pyrazon,1698-60-8
301372,Fluroxypyr-1-methylheptyl ester,81406-37-3
301373,Propargite,2312-35-8
301374,Diflufenican,83164-33-4
301376,Piperonyl butoxide,51-03-6
301384,Dichlorophen,97-23-4
301385,Hexabromobenzene,87-82-1
301398,Dicyclohexyl phthalate,84-61-7
301401,D-(cis-trans)-Phenothrin-I,26002-80-2
301406,Pyrazophos,13457-18-6
301408,Isoxaben,82558-50-7
301410,Bitertanol I,55179-31-2
301411,Oryzalin,19044-88-3
301412,Pyridaben,96489-71-3
301414,Prochloraz,67747-09-5
301415,Tamoxifen,10540-29-1
301418,Cyfluthrin I,68359-37-5
301419,Cypermethrin-1,52315-07-8
301426,Difenoconazol I,119446-68-3
301429,Triethyl phosphate,78-40-0
301432,4-Isopropylaniline,99-88-7
301437,Thymol,89-83-8
301443,Eugenol,97-53-0
301449,Cashmeran,33704-61-9
301453,"Tolyltriazole [1H-Benzotriazole, 5-methyl-]",136-85-6
301460,Atrazine-desethyl,6190-65-4
301463,"2,6-Dichlorobenzamide",2008-58-4
301464,Terbuthylazine-desethyl,30125-63-4
301467,Celestolide,13171-00-1
301477,TCEP,115-96-8
301478,Phantolide,15323-35-0
301479,Benzyl benzoate,120-51-4
301481,Diazinon-oxon,962-58-3
301487,"Tefluthrin, cis-",79538-32-2
301490,Musk amberette,83-66-9
301493,Caffeine,58-08-2
301501,Theobromine,83-67-0
301504,Musk xylene,81-15-2
301509,Dimethenamid,87674-68-8
301511,Spiroxamine I,118134-30-8
301518,Transfluthrin,118712-89-3
301522,"Fipronil, Desulfinyl-",205650-65-3
301523,Prosulfocarb,52888-80-9
301525,Fenpropidin,67306-00-7
301537,Musk Ketone,81-14-1
301541,Flufenacet,142459-58-3
301547,Cyprodinil,121552-61-2
301548,Phenothiazine,92-84-2
301552,Fipronil-sulfide,120067-83-6
301554,Irgarol,28159-98-0
301558,Fipronil,120068-37-3
301561,Triclosan,3380-34-5
301562,"DDMU [1-Chloro-2,2-bis(4'-chlorophenyl)ethylene]",1022-22-6
301563,"Prallethrin, cis-",23031-36-9
301569,Mepanipyrim,110235-47-7
301573,Picoxystrobin,117428-22-5
301576,Fludioxonil,131341-86-1
301583,Fipronil-sulfone,120068-36-2
301584,Bupirimate,41483-43-6
301602,Quinoxyfen,124495-18-7
301605,Fenhexamid,126833-17-8
301606,Di-n-hexyl phthalate,84-75-3
301609,Trifloxystrobin,141517-21-7
301613,Tris(2-butoxyethyl) phosphate,78-51-3
301623,Dimoxystrobin,149961-52-4
301624,Tris(2-ethylhexyl) phosphate,78-42-2
301626,Picolinafen,137641-05-5
301630,Metconazole I,125116-23-6
301631,Fenamidone,161326-34-7
301641,Flurtamone,96525-23-4
301642,Pyriproxyfen,95737-68-1
301650,Acrinathrin,101007-06-1
301655,Metrafenone,220899-03-6
301658,Spirodiclofen,148477-71-8
301665,Fluoxastrobin cis-,361377-29-9
301666,Boscalid (Nicobifen),188425-85-6
301669,Ethofenprox,80844-07-1
301675,Azoxystrobin,131860-33-8
301685,Ipconazole,125225-28-7
301704,Flumioxazin,103361-09-7
301772,Cypermethrin-2,52315-07-8
301773,Cypermethrin-3,52315-07-8
301774,Cypermethrin-4,52315-07-8
302171,"1,2,5,6,9,10-Hexabromocyclododecane",3194-55-6
302300,Benzo[b]fluorene,243-17-4
302307,"2,6-Dimethylphenol",576-26-1
302310,"2,3,6-Trimethylphenol",2416-94-6
302587,4-Bromophenol,106-41-2
302608,"2,4,5-Tribromoanisole",N/A
302610,Pentabromoethylbenzene,85-22-3
302612,"2,4,6-Tribromophenyl allyl ether",3278-89-5
302613,Pentabromotoluene,87-83-2
302627,"(2,3-Dibromopropyl) (2,4,6-tribromophenyl) ether",35109-60-5
302635,2'-Hydroxy-4-monobromodiphenyl ether,N/A
302636,"2'-Hydroxy-2,4,4'-tribromodiphenyl ether",N/A
302637,"2'-Methoxy-2,4,4'-tribromodiphenyl ether",N/A
302638,"3-Methoxy-2,2',4,4',6-pentabromodiphenyl ether",N/A
302639,4-Chlorophenol,106-48-9
302654,4-Chlorocatechol,2138-22-9
302676,PBDE  89,N/A
302680,PBDE  127,N/A
302681,PBDE  128,N/A
302682,PBDE  142,N/A
302683,PBDE  144,N/A
302684,PBDE  160,N/A
302685,PBDE  185,N/A
302686,PBDE  201,N/A
302850,Galaxolide,1222-05-5
303004,Benzyl salicylate,118-58-1
303218,N-phenyl-1-naphthylamine,90-30-2
303219,Drometrizole,2440-22-4
303220,Butylated hydroxytoluene,128-37-0
303224,"4,4'-Methylenedianiline",101-77-9
303231,Bisphenol Z,843-55-0
303233,Bisphenol B,77-40-7
303234,Bisphenol AF,1478-61-1
303242,"3,4,5-Trichlorophenol",609-19-8
303252,Indole,120-72-9
303253,Benzotriazole,95-14-7
303293,"2,4-Di-tert-butylphenol",96-76-4
303294,"2,6-Di-tert-butyl-4-dimethylaminomethylphenol",88-27-7
303296,"2,6-Di-tert-butylphenol",128-39-2
303314,4-Alpha-cumylphenol,599-64-4
303319,4-Tert-butylphenol,98-54-4
303322,N-Cyclohexyl-2-benzothiazolylsulfenamide,95-33-0
303323,2-(Morpholinothio)benzothiazole,102-77-2
303324,Benzothiazole,95-16-9
