user_id,sample_type,PureSampleName,FSES_ID,hours_worn,Days_worn,week_factor,Neck & WB Match hours,MyE_Received,size_factor,Air-tight?,WB lot,Other notes,Batch_Num,Batch_Num (P&T_VOC),compliant wb/neck,air tight,No issue samples,Count of good:,No Isssue %
24,necklace,24-N,A241581,33,1.38,0.20,Yes,8/21/2024,4.430,yes,none,,PO 262,,,,Good,,
176,necklace,176-N,A241582,34.5,1.44,0.21,Yes,8/23/2024,4.430,yes,19NOV19-01,,PO 262,,,,Good,,
176,wristband,176-WB,A241583,34.5,1.44,0.21,Yes,8/23/2024,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
101,necklace,101-N,A241584,35.5,1.48,0.21,Yes,8/30/2024,4.430,yes,none,,PO 262,,,,Good,,
101,wristband,101-WB,A241585,35.5,1.48,0.21,Yes,8/30/2024,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
121,necklace,121-N,A241586,24.5,1.02,0.15,Yes,9/9/2024,4.430,yes,none,,PO 262,,,,Good,,
121,wristband,121-WB,A241587,24.5,1.02,0.15,Yes,9/9/2024,4.430,yes,19NOV21-01,,PO 262,,,,Good,,
158,necklace,158-N,A241588,28,1.17,0.17,No,9/9/2024,4.430,yes,19NOV05-01,"received on 9/4/24 at UPS, picked up 5 days later",PO 262,,,,Issue,,
158,wristband,158-WB,A241589,30,1.25,0.18,No,9/9/2024,4.430,yes,19NOV27-01,"received on 9/4/24 at UPS, picked up 5 days later",PO 262,,,,Issue,,
146,necklace,146-N,A241590,40,1.67,0.24,Yes,9/10/2012,4.430,yes,none,,PO 262,,,,Good,,
146,wristband,146-WB,A241591,40,1.67,0.24,Yes,9/10/2012,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
189,wristband,189-WB,A241592,29,1.21,0.17,Yes,9/18/2024,4.430,yes,19NOV21-01,"necklace bag and sample were inside the wristband bag with WB sample.  Seal was complete, but folds in plastic had a tiny leak.  Picture will show I took out the necklace bag (with sample) and sealed both bags with the same rod and clip.",PO 262,,,,Good,,
189,necklace,189-N,A241593,29,1.21,0.17,Yes,9/18/2024,4.430,yes,19NOV19-01,,PO 262,,,,Good,,
32,wristband,32-WB,A241594,31.25,1.30,0.19,Yes,9/18/2024,4.430,yes,19NOV07-01,,PO 262,,,,Good,,
32,necklace,32-N,A241595,31.25,1.30,0.19,Yes,9/18/2024,4.430,yes,19NOV19-01,,PO 262,,,,Good,,
141,wristband,141-WB,A241596,27.5,1.15,0.16,Yes,9/23/2024,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
141,necklace,141-N,A241597,27.5,1.15,0.16,Yes,9/23/2024,4.430,yes,19NOV05-01,,PO 262,,,,Good,,
159,necklace,159-N,A241598,35.75,1.49,0.21,No,10/1/2024,4.430,yes,19NOV05-01,,PO 262,,,,Issue,,
159,wristband,159-WB,A241599,61,2.54,0.36,No,10/1/2024,4.430,yes,19NOV27-01,,PO 262,,,,Issue,,
160,necklace,160-N,A241600,48,2.00,0.29,Yes,10/7/2024,4.430,yes,none,"moisture inside the necklace sample bag, none inside WB bag",PO 262,,,,Good,,
160,wristband,160-WB,A241601,48,2.00,0.29,Yes,10/7/2024,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
38,necklace,38-N,A241602,not filled,1,0.14,Yes,10/26/2024,4.430,yes,19NOV19-01,,PO 262,,,,Good,,
38,wristband,38-WB,A241603,not filled,1,0.14,Yes,10/26/2024,4.430,yes,19NOV07-01,,PO 262,,,,Good,,
245,wristband,245-WB,A241604,32.5,1.35,0.19,Yes,10/26/2024,4.430,yes,19NOV21-01,,PO 262,,,,Good,,
245,necklace,245-N,A241605,32.5,1.35,0.19,Yes,10/26/2024,4.430,yes,19NOV19-01,,PO 262,,,,Good,,
299,wristband,299-WB,A241606,34,1.42,0.20,Yes,10/29/2024,4.430,yes,19DEC10-02,,PO 262,,,,Good,,
299,necklace,299-N,A241607,34,1.42,0.20,Yes,10/29/2024,4.430,yes,none,,PO 262,,,,Good,,
298,necklace,298-N,A241608,34,1.42,0.20,Yes,10/29/2024,4.430,yes,none,,PO 262,,,,Good,,
298,wristband,298-WB,A241609,34,1.42,0.20,Yes,10/29/2024,4.430,yes,19DEC04-01,,PO 262,,,,Good,,
345,wristband,345-WB,A241610,not filled,1,0.14,Yes,10/29/2024,4.430,yes,19DEC02-01,,PO 262,,,,Good,,
345,necklace,345-N,A241611,not filled,1,0.14,Yes,10/29/2024,4.430,yes,none,,PO 262,,,,Good,,
272,necklace,272-N,A241612,30,1.25,0.18,Yes,10/29/2024,4.430,yes,19DEC02-01,,PO 262,,,,Good,,
272,wristband,272-WB,A241613,30,1.25,0.18,Yes,10/29/2024,4.430,yes,19DEC10-02,,PO 262,,,,Good,,
306,necklace,306-N,A241614,24,1,0.14,Yes,10/29/2024,4.430,yes,none,,PO 262,,,,Good,,
306,wristband,306-WB,A241615,24,1,0.14,Yes,10/29/2024,4.430,yes,19DEC10-02,,PO 262,,,,Good,,
307,wristband,307-WB,A241616,30,1.25,0.18,Yes,10/29/2024,4.430,yes,19DEC10-02,,PO 262,,,,Good,,
307,necklace,307-N,A241617,30,1.25,0.18,Yes,10/29/2024,4.430,yes,19NOV27-01,,PO 262,,,,Good,,
250,wristband,250-WB,A241618,30.5,1.27,0.18,Yes,10/29/2024,4.430,yes,19DEC04-01,,PO 262,,,,Good,,
250,necklace,250-N,A241619,30.5,1.27,0.18,Yes,10/29/2024,4.430,yes,none,,PO 262,,,,Good,,
348,necklace,348-N,A241620,24,1,0.14,Yes,10/29/2024,4.430,yes,none,,PO 262,,,,Good,,
348,wristband,348-WB,A241621,24,1,0.14,Yes,10/29/2024,4.430,yes,19DEC02-01,,PO 262,,,,Good,,
205,wristband,205-WB,A241622,24,1,0.14,Yes,10/29/2024,4.430,yes,19NOV21-01,,PO 262,,,,Good,,
205,necklace,205-N,A241623,24,1,0.14,Yes,10/29/2024,4.430,yes,none,,PO 262,,,,Good,,
197,wristband,197-WB,A241624,25,1.04,0.15,Yes,10/29/2024,4.430,yes,19NOV21-01,,PO 262,,,,Good,,
197,necklace,197-N,A241625,25,1.04,0.15,Yes,10/29/2024,4.430,yes,none,,PO 262,,,,Good,,
321,necklace,321-N,A241626,26,1.08,0.15,Yes,10/30/2024,4.430,yes,none,,PO 262,,,,Good,,
321,wristband,321-WB,A241627,26,1.08,0.15,Yes,10/30/2024,4.430,yes,19DEC02-01,,PO 262,,,,Good,,
324,necklace,324-N,A241628,26,1.08,0.15,Yes,10/30/2024,4.430,yes,none,,PO 262,,,,Good,,
324,wristband,324-WB,A241629,26,1.08,0.15,Yes,10/30/2024,4.430,yes,19DEC02-01,,PO 262,,,,Good,,
290,necklace,290-N,A241630,24.5,1.02,0.15,Yes,10/31/2024,4.430,yes,19DEC02-01,,PO 262,,,,Good,,
290,wristband,290-WB,A241631,24.5,1.02,0.15,Yes,10/31/2024,4.430,yes,19DEC10-02,,PO 262,,,,Good,,
246,necklace,246-N,A241632,26,1.08,0.15,Yes,10/31/2024,4.430,yes,none,,PO 262,,,,Good,,
246,wristband,246-WB,A241633,26,1.08,0.15,Yes,10/31/2024,4.430,yes,19DEC04-01,,PO 262,,,,Good,,
