Chemical Name,MinResult,MaxResult,MeanResult,MedianResult,Count,Standard Deviation
"Benzo(a)pyrene-7,8-dione",40.1,8600,1850,110,0.8%,3780
Benzo[a]fluorene,15.3,24.2,19.8,19.75,0.3%,6.29
Benzo[a]pyrene,7.43,12.6,10.5,11,0.7%,2.19
Benzo[b]fluorene,9.67,20.3,15,14.98,0.3%,7.52
Benzo[k]fluoranthene,24.2,76.4,47.8,42.8,0.5%,26.5
Benzophenone,4.55,7000,321,197,80.3%,467
Benzothiazole,14.3,3830,289,58.2,27.8%,566
Benzotriazole,67.2,2310,862,210,0.5%,1260
Benzyl alcohol,25.2,4010,433,106,8.0%,866
Benzyl benzoate,20.6,226000,6320,2310,81.8%,13200
Benzyl cinnamate,56.1,18500,1810,1030,5.3%,3250
Benzyl salicylate,84.8,179000,7680,3480,91.7%,13600
Bifenthrin,25.2,111,69.2,79.6,0.8%,40.9
Bioallethrin,5.49,1170,253,68.15,1.3%,396
Bioallethrin S-cyclopentenyl isomer,91.5,420,238,221,0.7%,136
Biphenyl,7.54,25.9,15.5,11.8,0.8%,8.08
Bis(2-butoxyethyl) phthalate,71800,71800,71800,71800,0.2%,NA
Bis(2-ethylhexyl)phthalate,162,856000,73400,35700,75.8%,101000
Bisphenol A,106,2220,735,399,1.2%,746
Bromoxynil octanoic acid ester,18700,18700,18700,18700,0.2%,NA
Butyl benzyl phthalate,40.4,54600,4790,1790,93.8%,7800
Butylated hydroxyanisole,5.88,1930,134,83.2,63.2%,183
Butylated hydroxytoluene,4.41,97600,878,144,59.5%,5310
Caffeine,32.4,12400,1190,736.5,23.3%,1670
Carvone,37.8,2300,312,82.9,2.8%,599
Cashmeran,41.8,1880,302,202,4.2%,377
Celestolide,90,888,297,139.5,1.0%,315
Chlorfenapyr,798,798,798,798,0.2%,NA
Chlorothalonil,77.5,77.5,77.5,77.5,0.2%,NA
Chlorpyrifos,393,393,393,393,0.2%,NA
Chrysene,4.85,24.8,14.8,14.82,0.3%,14.1
Cinerin I,595,57900,24500,19650,1.0%,21700
Cinerin II,637,637,637,637,0.2%,NA
Cinnamal,9.24,2100,110,53.05,10.7%,262
Cinnamyl alcohol,37.8,228,133,132.9,0.3%,134
Citral A,3.08,1850,170,113,33.7%,212
Citral B,44.1,297,174,178,0.7%,104
Coumarin,23,3570,255,116,20.8%,505
Cycloate,119,119,119,119,0.2%,NA
Cyclopentadecanone,441,99200,28200,6520,0.7%,47700
Cyhalothrin I (lambda),630,630,630,630,0.2%,NA
Cypermethrin-2,263,2910,939,630,1.2%,918
Cypermethrin-3,202,202,202,202,0.2%,NA
Cyphenothrin cis-,882,12600,6740,6741,0.3%,8290
D-(cis-trans)-Phenothrin-I,99,3780,2340,3150,0.5%,1970
D-(cis-trans)-Phenothrin-II,462,462,462,462,0.2%,NA
D-Limonene,7.14,483,85.6,53.3,4.8%,95.1
Deltamethrin,420,420,420,420,0.2%,NA
Di-n-butyl phthalate,184,33400,4310,2795,96.7%,4180
Di-n-hexyl phthalate,37.4,13300,1150,273,12.5%,2780
Di-n-nonyl phthalate,35.7,26500,2280,882,73.3%,3770
Di-n-octyl phthalate,10.4,37400,5970,1100,17.5%,8680
Di-n-propyl phthalate,168,219,194,193.5,0.3%,36.1
Diamyl phthalate,122,122,122,122,0.2%,NA
"Dibenzo[a,h]anthracene",2880,2880,2880,2880,0.2%,NA
Dicyclohexyl phthalate,43.3,36000,1680,458.5,23.7%,4870
Diethyl phthalate,45.2,96300,3470,1080,56.2%,8280
Diisobutyl phthalate,142,235000,5050,2670,96.5%,11000
Dimethametryn,33.4,193,119,137,1.2%,64.3
Dimethyl phthalate,24.1,2940,282,107.5,10.7%,579
Diphenylamine,37.4,101,69.2,69.2,0.3%,45
Dipropyl isocinchomeronate,265,2670,1610,1900,0.5%,1230
"Diuron Metabolite [3,4-Dichlorophenyl isocyanate]",53.5,292,119,69.05,1.0%,93.5
Drometrizole,16.2,1790,392,159.5,5.7%,487
Empenthrin III,2520,4330,3420,3425,0.3%,1280
Ethofenprox,5.89,37400,2510,462,18.7%,6790
Ethylene brassylate,37.4,222000,11800,4030,81.7%,23300
Eugenol,27,7410,311,102,6.5%,1170
Exaltolide [15-Pentadecanolide],134,108000,5820,3360,19.5%,10500
Farnesol I,115,32700,2150,733,6.0%,5430
Farnesol II,273,1900,765,443,0.7%,762
Farnesol IV,348,11100,1730,806.5,2.3%,2780
Fenobucarb,54.6,535,181,161.5,2.3%,133
Fipronil,9.87,3250,575,268.5,3.3%,782
Fluoranthene,6.08,30.3,17.3,16.48,0.7%,12
Fluorene,7.12,84,24.6,18.1,2.3%,20.7
Galaxolide,52.9,107000,8630,3990,96.0%,11600
Gamma-Chlordane,24.6,393,209,208.8,0.3%,260
Geraniol,83.2,10100,1060,256,2.2%,2730
Guaiacol,20,462,262,251.5,1.0%,152
Hexazinone,206,2020,1110,1400,0.8%,768
Hydroxy-citronellal,46.2,3340,678,260,3.5%,927
Imidan,567,567,567,567,0.2%,NA
Indole,18.7,3220,541,267,4.2%,744
Isobornyl thiocyanoacetate,45.2,19600,2120,1050,19.0%,3060
Isoeugenol,167,4770,1740,279,0.5%,2630
Jasmolin I,315,441,378,378,0.3%,89.1
Kinoprene,29400,29400,29400,29400,0.2%,NA
Lilial,30.8,41900,2460,802,88.2%,5220
Linalool,5.04,4280,388,148.5,18.0%,598
Lyral,66,2940,648,304.5,4.7%,776
Malathion,1380,1380,1380,1380,0.2%,NA
Methomyl,1150,1150,1150,1150,0.2%,NA
Methoprene I,120,2090,1410,2030,0.5%,1120
Methoprene II,840,82900,14300,8245,5.0%,17300
Methoxychlor,212,5770,1920,706,0.8%,2370
METHYL 2-OCTYNOATE,210,210,210,210,0.2%,NA
Methyleugenol,45,45.3,45.2,45.15,0.3%,0.212
Musk amberette,252,252,252,252,0.2%,NA
Musk Ketone,401,7490,2220,1180,1.5%,2420
Musk Moskene,23.1,23.1,23.1,23.1,0.2%,NA
"N,N-Diethyl-m-toluamide",7.07,140000,3250,714,79.3%,10800
Naphthalene,3.36,294,36.8,24.35,10.3%,48.9
O-Phenylphenol,26.2,546,138,56.7,1.2%,187
PBDE 108,399,399,399,399,0.2%,NA
PBDE 51,86.1,86.1,86.1,86.1,0.2%,NA
PBDE 119,230,230,230,230,0.2%,NA
PBDE 47,39.9,1460,580,571,1.8%,438
PBDE 49,19.3,588,209,127,3.7%,175
PBDE 99,39.8,546,268,233,1.8%,190
PCB 127,66.2,66.2,66.2,66.2,0.2%,NA
PCB 138,50.3,50.3,50.3,50.3,0.2%,NA
PCB 141,241,241,241,241,0.2%,NA
PCB 143,140,140,140,140,0.2%,NA
PCB 153,212,212,212,212,0.2%,NA
PCB 91,52.9,52.9,52.9,52.9,0.2%,NA
PCB 94,92.6,193,140,134,0.5%,50.5
Pentachloroanisole,71.4,481,202,127.5,0.7%,192
Permethrin,23.1,132000,2940,546,67.2%,10300
Permethrin II,60.9,74900,4730,963,33.0%,11000
Phantolide,48.3,7750,1880,1535,2.7%,1860
Phenanthrene,8.4,651,80.5,32.3,3.8%,141
Phenol,1390,1390,1390,1390,0.2%,NA
Phthalimide,29.4,2670,276,132,7.2%,466
Piperonyl butoxide,134,199000,15700,1530,8.8%,34200
"Prallethrin, cis-",225,7070,2050,1078,1.3%,2330
"Prallethrin, trans-",1620,1620,1620,1620,0.2%,NA
Promecarb,75.6,7220,739,282,2.7%,1750
Promecarb artifact [5-isopropyl-3-methylphenol],18.1,79.8,44.7,44.15,1.7%,18.5
Prothioconazole-desthio,221,221,221,221,0.2%,NA
Pyrene,3.14,149,39.5,26.3,5.3%,36.6
Pyrimethanil,80.2,160,120,120.1,0.3%,56.4
Pyriproxyfen,26.7,8010,1440,668,4.2%,1780
Quinoline,8.69,157,32.4,22.65,7.3%,27.5
Retene,20.5,58.8,39.6,39.65,0.3%,27.1
Simetryn,14200,17300,15800,15750,0.3%,2190
TCEP,39.3,455,252,262,0.5%,208
TCMTB,1130,1130,1130,1130,0.2%,NA
TCPP,27,66800,1650,424,46.3%,6120
Tebuconazole,229,252,240,240.5,0.3%,16.3
Terbucarb,19.1,96.4,59.5,63,0.5%,38.8
Tetrachlorvinphos,168,1230,496,293,0.7%,497
"Tetrahydrophthalimide, cis-1,2,3,6-",106,106,106,106,0.2%,NA
Tetramethrin I,156,2520,1250,1155,0.7%,1240
Tetramethrin II,7000,7770,7380,7385,0.3%,544
Thymol,9.18,413,110,67.2,3.2%,122
"Tolyltriazole [1H-Benzotriazole, 4-methyl-]",94.5,315,193,169,0.5%,112
Tonalide,3.36,29400,1190,273,82.5%,2850
TPP,18.4,10900,935,488,42.3%,1340
Trans-Nonachlor,157,157,157,157,0.2%,NA
Tri-p-tolyl phosphate,33.9,1700,235,122.9,2.7%,403
Tributyl phosphate,35.4,6680,388,161,10.2%,876
Triclosan,65.1,6720,671,228,4.0%,1370
"Tricresylphosphate, meta-",4.81,558,178,107.3,1.3%,180
"Tricresylphosphate, ortho-",58.8,113,88.2,90.6,0.7%,26.9
Triethyl phosphate,10.3,1010,128,58.8,6.0%,188
Trifenmorph,61.5,92.7,77.1,77.1,0.3%,22.1
Tris(2-ethylhexyl) phosphate,136,14400,2310,1280,6.8%,2890
"XMC (3,4-Dimethylphenyl N-methylcarbamate)",28,28,28,28,0.2%,NA
