Chemical_Name,Chemical Category,Chemical Group,CAS,BetterCAS,Boiling Point (Â°C),Cancer Toxicity,Prop 65 Listed,IARC Listed,Reproductive Toxicity,Respiratory Toxicity,Dermal Toxicity,Environmental Toxicity,Summary_of_Health_Effects,Sources_of_Exposure,Environmental Impact Potential,Commercial_Products,Mitigation_Strategies
Fenobucarb,Carbamate insecticide,Carbamate,2535-80-1,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Pesticides, treated crops",High (persistent and bioaccumulative),"Pesticides, treated crops",Use alternative insecticides or integrated pest management techniques.
Gamma-Chlordane,Organochlorine pesticide,Pesticide,57-74-9,,170-190 (decomposes),Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, liver damage, cancer","Pesticides, contaminated food",High (persistent and bioaccumulative),"Pesticides, contaminated food",Avoid exposure to pesticides; phase out the use of chlordane.
Imidan,Organophosphate insecticide,Insecticide,60571-35-8,,110-130 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated crops",High (persistent and bioaccumulative),"Insecticides, treated crops",Use alternative insecticides or integrated pest management techniques.
Indole,Heterocyclic compound,Heterocyclic compound,120-72-1,,253,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
Isoeugenol,Phenol,Phenol,93-15-2,,245,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Jasmolin I,Ketone,Ketone,79-77-6,,233,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Kinoprene,Juvenile hormone analog,Juvenile hormone analog,29018-24-7,,120-140 (decomposes),Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems",Pesticides,Moderate,Pesticides,Use alternative pesticides or integrated pest management techniques.
Malathion,Organophosphate insecticide,Insecticide,121-67-7,,156-158 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated crops",High (persistent and bioaccumulative),"Insecticides, treated crops",Use alternative insecticides or integrated pest management techniques.
Methomyl,Carbamate insecticide,Carbamate,1655-80-7,,230-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Pesticides, treated crops",High (persistent and bioaccumulative),"Pesticides, treated crops",Use alternative insecticides or integrated pest management techniques.
Methoxychlor,Organochlorine pesticide,Pesticide,72-43-5,,210-215 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, liver damage","Pesticides, contaminated food",High (persistent and bioaccumulative),"Pesticides, contaminated food",Avoid exposure to pesticides; phase out the use of methoxychlor.
METHYL 2-OCTYNOATE,Ester,Ester,0111-12-6,,230-240,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Musk Moskene,Musk,Musk,531-89-0,,320-340,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
PBDEÂ 108,Polybrominated diphenyl ether (PBDE),Flame retardant,1749-83-4,,300-330,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame-retardant materials, electronics",Moderate,"Flame-retardant materials, electronics",Choose products without PBDEs.
PBDE 119,Polybrominated diphenyl ether (PBDE),Flame retardant,1749-83-4,,300-330,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame-retardant materials, electronics",Moderate,"Flame-retardant materials, electronics",Choose products without PBDEs.
1-Hydroxynaphthalene,Phenol,Phenol,92-57-1,,275,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
1-Methylnaphthalene,Aromatic hydrocarbon,Aromatic hydrocarbon,93-07-3,,262,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
1-Methylphenanthrene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,83-32-9,,360,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Skin irritation, respiratory problems, potential carcinogen","Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
2-Chloroaniline,Aromatic amine,Aromatic amine,98-88-4,,230,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Bladder cancer, liver damage","Industrial chemicals, dyes",High (persistent and bioaccumulative),"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
2-Methylphenanthrene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,83-32-9,,360,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Skin irritation, respiratory problems, potential carcinogen","Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
"2,3,5-Trimethylphenol",Phenol,Phenol,59-62-0,,235,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",Phenol,Phenol,118-79-6,,418,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,4-D sec-butyl ester",Herbicide,Herbicide,3878-85-7,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
"2,4-Di-tert-butylphenol",Phenol,Phenol,118-79-6,,418,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,6-Di-tert-butyl-4-ethylphenol",Phenol,Phenol,132-72-6,,272,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
3-Chloroaniline,Aromatic amine,Aromatic amine,98-88-4,,230,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Bladder cancer, liver damage","Industrial chemicals, dyes",High (persistent and bioaccumulative),"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
3-Tert-butylphenol,Phenol,Phenol,98-83-4,,235,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
4-Chlorophenyl isocyanate,Isocyanate,Isocyanate,106-49-0,,200,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Bladder cancer, liver damage","Industrial chemicals, dyes",High (persistent and bioaccumulative),"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
4-Tert-butylphenol,Phenol,Phenol,98-83-4,,235,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
A-Ionone,Ketone,Ketone,79-77-6,,233,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Amyl cinnamal,Aldehyde,Aldehyde,101-86-0,,260-270,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Anthracene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,0120-12-7,,340,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Benz[a]anthracene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,56-55-1,,378,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Benzophenone,Ketone,Ketone,111-91-1,,306,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Sunscreens, plastics",Moderate,"Sunscreens, plastics",Choose sunscreen without benzophenone; consider alternative UV filters.
Benzothiazole,Heterocyclic compound,Heterocyclic compound,98-95-0,,250-270,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Corrosion inhibitors, antifreeze",Moderate,"Corrosion inhibitors, antifreeze",Avoid exposure to industrial chemicals; use alternative materials or processes.
Benzyl alcohol,Alcohol,Alcohol,100-51-6,,205,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Benzyl benzoate,Ester,Ester,120-51-4,,323,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, insect repellents",Moderate,"Fragrances, insect repellents",Choose fragrance-free products or use alternative insect repellents.
Benzyl salicylate,Ester,Ester,117-44-3,,350,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Bioallethrin,Synthetic pyrethroid insecticide,Insecticide,77582-34-7,,120-140 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Bioallethrin S-cyclopentenyl isomer,Synthetic pyrethroid insecticide,Insecticide,115-28-7,,120-140 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Biphenyl,Aromatic hydrocarbon,Aromatic hydrocarbon,92-52-5,,254,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
Bis(2-ethylhexyl)phthalate,Organic compound,Phthalate,117-81-7,,387,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Endocrine disruptor, reproductive toxicity, liver damage","Plastics, consumer products",High (bioaccumulation potential),"PVC plastics, medical devices, toys",Avoid PVC products; choose alternatives.
Butyl benzyl phthalate,Organic compound,Phthalate,85-68-7,,335-350,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Plastics, fragrances",Moderate (bioaccumulation potential),"Fragrances, plastics",Avoid products containing phthalates; choose alternatives.
Butylated hydroxyanisole,Antioxidant,Antioxidant,128-37-0,,265,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions",Food preservative,Moderate,Food preservative,Choose foods without BHA; consider alternative preservatives.
Butylated hydroxytoluene,Antioxidant,Antioxidant,128-37-0,,265,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions",Food preservative,Moderate,Food preservative,Choose foods without BHT; consider alternative preservatives.
Caffeine,Alkaloid,Alkaloid,58-08-2,,178,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Beverages, food",Moderate,"Beverages, food",Limit caffeine intake if sensitive.
Coumarin,Coumarin,Coumarin,91-64-5,,312,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Cypermethrin-1,Synthetic pyrethroid insecticide,Insecticide,52645-53-1,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Cypermethrin-2,Synthetic pyrethroid insecticide,Insecticide,52645-53-1,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Cyphenothrin cis-,Synthetic pyrethroid insecticide,Insecticide,82657-04-02,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Di-n-butyl phthalate,Organic compound,Phthalate,84-74-2,,335-350,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Plastics, fragrances",Moderate (bioaccumulation potential),"Fragrances, plastics",Avoid products containing phthalates; choose alternatives.
Di-n-nonyl phthalate,Organic compound,Phthalate,117-81-7,,387,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Endocrine disruptor, reproductive toxicity, liver damage","Plastics, consumer products",High (bioaccumulation potential),"PVC plastics, medical devices, toys",Avoid PVC products; choose alternatives.
Di-n-octyl phthalate,Organic compound,Phthalate,117-81-7,,387,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Endocrine disruptor, reproductive toxicity, liver damage","Plastics, consumer products",High (bioaccumulation potential),"PVC plastics, medical devices, toys",Avoid PVC products; choose alternatives.
Diamyl phthalate,Organic compound,Phthalate,13117-47-7,,330-340,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Plastics, fragrances",Moderate (bioaccumulation potential),"Fragrances, plastics",Avoid products containing phthalates; choose alternatives.
Dicyclohexyl phthalate,Organic compound,Phthalate,84-61-7,,335-350,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Plastics, fragrances",Moderate (bioaccumulation potential),"Fragrances, plastics",Avoid products containing phthalates; choose alternatives.
Diethyl phthalate,Organic compound,Phthalate,84-61-7,,335-350,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Plastics, fragrances",Moderate (bioaccumulation potential),"Fragrances, plastics",Avoid products containing phthalates; choose alternatives.
Diisobutyl phthalate,Organic compound,Phthalate,84-61-7,,335-350,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Plastics, fragrances",Moderate (bioaccumulation potential),"Fragrances, plastics",Avoid products containing phthalates; choose alternatives.
Dimethyl phthalate,Organic compound,Phthalate,13117-47-7,,330-340,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Plastics, fragrances",Moderate (bioaccumulation potential),"Fragrances, plastics",Avoid products containing phthalates; choose alternatives.
