ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,VennGroup,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Result,Flag,Units
302989,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Linalool,23000,,ng/WB
1037,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,TPP,5300,,ng/WB
301496,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,MAR,MAR-I,A180348,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Traseolide,27000,,ng/WB
300386,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,"1,6-dimethylnaphthalene",86,,ng/WB
69,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,1-methylnaphthalene,100,,ng/WB
301134,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzophenone,850,,ng/WB
303004,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,benzyl salicylate,8400,,ng/WB
303220,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,5100,,ng/WB
302992,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Coumarin,710,,ng/WB
429,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-butyl phthalate,16000,,ng/WB
462,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Diethyl phthalate,8300,,ng/WB
302850,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Galaxolide,6600,,ng/WB
303009,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,lilial,5800,,ng/WB
300641,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,"N,N-Diethyl-m-toluamide",2400,,ng/WB
301505,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Tonalide,640,,ng/WB
301561,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-O,A180349,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Triclosan,3500,,ng/WB
69,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,1-methylnaphthalene,66,,ng/WB
302999,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,amyl cinnamal,2000,,ng/WB
247,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,anthracene,410,,ng/WB
301134,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzophenone,1400,,ng/WB
303004,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,benzyl salicylate,52000,,ng/WB
303220,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,960,,ng/WB
301493,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Caffeine,42000,,ng/WB
301433,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Carvone,1900,,ng/WB
302992,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Coumarin,1500,,ng/WB
429,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-butyl phthalate,30000,,ng/WB
301673,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-nonyl phthalate,24000,,ng/WB
301166,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-propyl phthalate,2300,,ng/WB
462,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Diethyl phthalate,10000,,ng/WB
301502,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Diisobutyl phthalate,78000,,ng/WB
302981,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Ethylene brassylate,22000,,ng/WB
302850,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Galaxolide,27000,,ng/WB
303009,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,lilial,13000,,ng/WB
300641,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,"N,N-Diethyl-m-toluamide",4600,,ng/WB
595,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,naphthalene,72,,ng/WB
301505,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Tonalide,1800,,ng/WB
1037,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,TPP,1000,,ng/WB
301561,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-SP,A180350,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Triclosan,2000,,ng/WB
302999,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,amyl cinnamal,640,,ng/WB
247,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,anthracene,170,,ng/WB
301134,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzophenone,1000,,ng/WB
303324,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzothiazole,1000,,ng/WB
303004,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,benzyl salicylate,14000,,ng/WB
303220,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,380,,ng/WB
301493,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Caffeine,68000,,ng/WB
302992,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Coumarin,1000,,ng/WB
429,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-butyl phthalate,14000,,ng/WB
462,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Diethyl phthalate,24000,,ng/WB
301502,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Diisobutyl phthalate,59000,,ng/WB
302981,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Ethylene brassylate,13000,,ng/WB
302850,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Galaxolide,9600,,ng/WB
303009,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,lilial,7300,,ng/WB
300641,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,"N,N-Diethyl-m-toluamide",2300,,ng/WB
301505,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Tonalide,3100,,ng/WB
1037,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-F,A180351,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,TPP,230,J,ng/WB
247,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-I,A180352,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,anthracene,120,,ng/WB
303000,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-I,A180352,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,b-Ionone,4000,,ng/WB
301134,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-I,A180352,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzophenone,2900,,ng/WB
303324,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-I,A180352,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Benzothiazole,1800,,ng/WB
303004,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-I,A180352,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,benzyl salicylate,68000,,ng/WB
293,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-I,A180352,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Bis(2-ethylhexyl)phthalate,7600,,ng/WB
283,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-I,A180352,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Butyl benzyl phthalate,15000,,ng/WB
303220,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-I,A180352,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,butylated hydroxytoluene,2600,,ng/WB
429,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-I,A180352,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-butyl phthalate,28000,,ng/WB
301673,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-I,A180352,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Di-n-nonyl phthalate,19000,,ng/WB
462,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-I,A180352,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Diethyl phthalate,32000,,ng/WB
301502,MyExposome,789,18APR27-01,4/27/2018 12:33,7/20/2018 14:05,,,ALE,ALE-I,A180352,,,,,PSD-Wristband,MASIV-1500 analyte method,GC-MS - RTL DRS Screening - 1529 analytes,SOP 428.00,Organics - Dilution,Diisobutyl phthalate,16000,,ng/WB
