ParameterID,ParameterName,CASNumber
283,Butyl benzyl phthalate,85-68-7
286,beta-BHC,319-85-7
293,Bis(2-ethylhexyl)phthalate,117-81-7
298,Bromacil,314-40-9
301,Bromobenzene,108-86-1
306,Bromoxynil,1689-84-5
309,Butachlor,23184-66-9
312,Butylate,2008-41-5
351,Captafol,2425-06-1
352,Captan,133-06-2
353,Carbaryl,63-25-2
354,Carbazole,86-74-8
355,Carbofuran,1563-66-2
361,Carbophenothion,786-19-6
362,Carboxin,5234-68-4
371,Chlorfenvinphos,470-90-6
375,Chlorobenzene,108-90-7
377,Chlorobenzilate,510-15-6
382,Chloroneb,2675-77-6
385,Chloropropylate,5836-10-2
386,Chlorothalonil,1897-45-6
387,Chlorpropham,101-21-3
388,Chlorpyrifos,2921-88-2
390,chrysene,218-01-9
395,cis-Nonachlor,5103-73-1
396,(+/-)-cis-Permethrin,61949-76-6
402,Coumaphos,56-72-4
404,Crotoxyphos,7700-17-6
410,Cycloate,1134-23-2
412,d-Limonene,5989-27-5
415,Dacthal,1861-32-1
420,delta-BHC,319-86-8
425,Demeton-s,126-75-0
429,Di-n-butyl phthalate,84-74-2
430,Di-n-octyl phthalate,117-84-0
431,Diallate,2303-16-4
432,Diazinon,333-41-5
434,"dibenzo[a,h]anthracene",53-70-3
436,"dibenzo[a,e]pyrene",192-65-4
437,Dibenzofuran,132-64-9
443,Dicamba,1918-00-9
444,Dichlone,117-80-6
445,Dichloran,99-30-9
447,Dichlorprop,120-36-5
448,Dichlorvos,62-73-7
449,Dicrotophos,141-66-2
450,Dieldrin,60-57-1
462,Diethyl phthalate,84-66-2
463,Diethylstilbestrol,56-53-1
465,Diethylene glycol,111-46-6
466,Dimethoate,60-51-5
470,Fenarimol,60168-88-9
471,Fensulfothion,115-90-2
472,Fenthion,55-38-9
473,Fenuron,101-42-8
479,Fluchloralin,33245-39-5
480,Fluometuron,2164-17-2
481,fluoranthene,206-44-0
482,fluorene,86-73-7
484,Fluridone,59756-60-4
512,gamma-Chlordane,5103-74-2
521,Isodrin,465-73-6
531,Kepone,143-50-0
538,Leptophos,21609-90-5
540,Linuron,330-55-2
550,Malathion,121-75-5
557,Merphos,150-50-5
565,Methiocarb,2032-65-7
566,Methomyl,16752-77-5
567,Methoxychlor,72-43-5
574,Methylparaoxon,950-35-6
577,Octane,111-65-9
580,Pentadecane,629-62-9
584,Propylbenzene,103-65-1
587,Tetradecane,629-59-4
593,Undecane,1120-21-4
594,Naled,300-76-5
595,naphthalene,91-20-3
603,Nicotine,54-11-5
611,Nitrofen,1836-75-5
614,Norflurazon,27314-13-2
620,o-Toluidine,95-53-4
621,o-Xylene,95-47-6
625,Octamethyl pyrophosphoramide,152-16-9
635,phenanthrene,85-01-8
638,Phenol,108-95-2
642,Phorate,298-02-2
643,Phosalone,2310-17-0
644,Imidan,732-11-6
645,Phosphamidon,13171-21-6
664,Promecarb,2631-37-0
665,Prometon,1610-18-0
666,Prometryn,7287-19-6
667,Propyzamide,23950-58-5
668,Propachlor,1918-16-7
670,Propazine,139-40-2
671,Propham,122-42-9
676,Prothiofos,34643-46-4
678,pyrene,129-00-0
680,Quinoline,91-22-5
688,Fenchlorphos,299-84-3
698,Thionazin,297-97-2
705,Toluene,108-88-3
748,Dimethyl phthalate,131-11-3
751,Dinocap,39300-45-3
752,Dinoseb,88-85-7
753,Dioxacarb,6988-21-2
754,Diphenylamine,122-39-4
755,Diphenamid,957-51-7
759,Disulfoton,298-04-4
760,Disulfoton sulfone,2497-5-6
762,Diuron,330-54-1
767,Endosulfan II,33213-65-9
768,Endosulfan sulfate,1031-07-8
769,Endrin,72-20-8
770,Endrin aldehyde,7421-93-4
771,Endrin ketone,53494-70-5
773,EPN,2104-64-5
774,EPTC,759-94-4
777,Ethion,563-12-2
788,Ethylbenzene,100-41-4
793,Terrazole,2593-15-9
798,Famphur,52-85-7
812,Lindane,58-89-9
817,Heptachlor,76-44-8
818,Heptachlor epoxide,1024-57-3
820,Hexachlorobenzene,118-74-1
822,Hexachlorocyclopentadiene,77-47-4
824,Hexachlorophene,70-30-4
830,Hexazinone,51235-04-2
850,"indeno[1,2,3-cd]pyrene",193-39-5
857,Metolachlor,51218-45-2
858,Metribuzin,21087-64-9
859,Mevinphos,7786-34-7
864,Mirex,2385-85-5
866,Molinate,2212-67-1
868,Monocrotophos,6923-22-4
875,Butylbenzene,104-51-8
876,Decane,124-18-5
878,Dodecane,112-40-3
880,Eicosane,112-95-8
884,Heptadecane,629-78-7
885,Heptane,142-82-5
888,Hexadecane,544-76-3
903,Nonane,111-84-2
906,Octadecane,593-45-3
908,Oxamyl,23135-22-0
911,Oxychlordane,27304-13-8
914,p-Cymene,99-87-6
917,Parathion,56-38-2
919,Parathion-methyl,298-00-0
949,Pebulate,1114-71-2
950,Pentachlorobenzene,608-93-5
952,Pentachloronitrobenzene,82-68-8
953,Pentachlorophenol,87-86-5
956,Permethrin,52645-53-1
957,Perylene,77392-71-3
963,sec-Butylbenzene,135-98-8
964,Secbumeton,26259-45-0
974,Simazine,122-34-9
975,Simetryn,1014-70-6
988,Styrene,100-42-5
992,Sulfotep,3689-24-5
996,Sulprofos,35400-43-2
997,Swep,1918-18-9
998,Sulfallate,95-06-7
1001,Tebuthiuron,34014-18-1
1005,Terbacil,5902-51-2
1006,Terbufos,13071-79-9
1007,Terbuthylazine,5915-41-3
1008,Terbutryn,886-50-0
1012,tert-Butylbenzene,98-06-6
1017,Tetraethyl pyrophosphate,107-49-3
1019,trans-Nonachlor,39765-80-5
1020,trans-Permethrin,61949-77-7
1023,Tri-p-tolyl phosphate,78-32-0
1026,Triallate,2303-17-5
1030,Trichloronate,327-98-0
1032,Tricyclazole,41814-78-2
1034,Trifluralin,1582-09-8
1037,TPP,115-86-6
1051,Vernolate,1929-77-7
1250,"2,4,6-Tribromophenol",118-79-6
1259,p-Xylene,106-42-3
1264,Biphenyl,92-52-4
1933,Ethoprophos,13194-48-4
1974,PCB 5,16605-91-7
1991,Cyanazine,21725-46-2
1992,Triadimefon,43121-43-3
1999,Cumene,98-82-8
300219,PBB 15,92-86-4
300222,"alpha, alpha-Dibromo-m-xylene",626-15-3
300226,Bisphenol A,80-05-7
300228,Ethiofencarb,29973-13-5
300229,Methiocarb Sulfone,2179-25-1
300230,Napropamide,15299-99-7
300235,Tebuconazole,107534-96-3
300236,Myclobutanil,88671-89-0
300237,Bifenthrin,82657-04-3
300240,Pendimethalin,40487-42-1
300243,Ethoprop,13194-48-4
300245,Deltamethrin,52918-63-5
300246,Vinclozolin,50471-44-8
300247,Propanil,709-98-8
300249,Endosulfan I,959-98-8
300250,Iprodione,36734-19-7
300251,Methamidophos,10265-92-6
300252,Pirimiphos-methyl,29232-93-7
300253,Fenitrothion,122-14-5
300266,PCB 103,60145-21-3
300267,PCB 183,52663-69-1
300268,PCB 170,35065-30-6
300269,PCB 158,74472-42-7
300270,PCB 138,35065-28-2
300271,PCB 128,38380-07-3
300272,PCB 126,57465-28-8
300273,PCB 118,31508-00-6
300274,PCB 105,32598-14-4
300275,PCB 99,38380-01-7
300276,PCB 82,52663-62-4
300277,PCB 77,32598-13-3
300278,PCB 37,38444-90-5
300279,PCB 166,41411-63-6
300280,PCB 49,41464-40-8
300281,PCB 180,35065-29-3
300282,PCB 156,38380-08-4
300283,PCB 153,35065-27-1
300284,PCB 101,37680-73-2
300285,PCB 52,35693-99-3
300286,PCB 7,33284-50-3
300288,PCB 169,32774-16-6
300289,PCB 114,74472-37-0
300291,"dibenzo[a,h]pyrene",189-64-0
300293,"dibenzo[a,l]pyrene",191-30-0
300295,"9,10-Anthraquinone",84-65-1
300296,"9,10-Phenanthrenequinone",84-11-7
300297,"5,12-Naphthacene-quinone",1090-13-7
300298,"Benz(a)anthracene-7,12-dione",2498-66-0
300299,Benzanthrone,82-05-3
300301,4H-cyclopenta[def]phenanthren-4-one,5737-13-3
300302,Naphthanthrone,3074-00-8
300303,Acenaphthenequinone,82-86-0
300304,"Phenanthrene-1,4-dione",569-15-3
300305,"1,4-Anthraquinone",635-12-1
300306,9-Fluorenone,486-25-9
300309,"Benzo(c)phenanthrene(1,4)quinone",109699-80-1
300312,9-methylanthracene,779-02-2
300315,"2,3-dimethylanthracene",613-06-9
300316,"9,10-dimethylanthracene",781-43-1
300317,"3,6-dimethylphenanthrene",1576-67-6
300318,triphenylene,217-59-4
300327,"naphtho[2,3-a]pyrene",196-42-9
300328,"naphtho[2,3-e]pyrene",193-09-9
300329,"naphtho[1,2-b]fluoranthene",111189-32-3
300330,"dibenzo[e,l]pyrene",192-51-8
300333,"naphtho[2,3-k]fluoranthene",207-18-1
300334,benzo[b]perylene,197-70-6
300335,benzo[a]chrysene,213-46-7
300336,coronene,191-07-1
300337,Benzo(a)fluoren-11-one,479-79-8
300347,6-Nitrochrysene,7496-8-2
300348,"1,8-Dinitropyrene",42397-65-9
300349,"1,6-Dinitropyrene",42397-64-8
300377,"dibenzo[a,e]fluoranthene",5385-75-1
300379,PCB 8,34883-43-7
300386,"1,6-dimethylnaphthalene",575-43-9
300387,"1,2-dimethylnaphthalene",573-98-8
300388,dibenzothiophene,132-65-0
300389,2-methylphenanthrene,2531-84-2
300390,2-methylanthracene,613-12-7
300391,retene,483-65-8
300392,1-methylpyrene,2381-21-7
300406,"dibenzo[a,i]pyrene",189-55-9
300409,"naphtho[2,3-j]fluoranthene",205-83-4
300416,-,76723-60-9
300432,PCB 28,7012-37-5
300433,PCB 44,41464-39-5
300435,PCB 60,33025-41-1
300436,PCB 70,32598-11-1
300437,PCB 74,32690-93-0
300438,PCB 87,38380-02-8
300440,PCB 179,52663-64-6
300441,PCB 187,52663-68-0
300442,PCB 189,39635-31-9
300503,anthanthrene,191-26-4
300505,benzo[c]fluorene,205-12-9
300604,"p,p'-Dicofol",115-32-2
300605,Perthane,72-56-0
300628,Azinphos-ethyl,2642-71-9
300629,PCB 15,2050-68-2
300631,Esfenvalerate,66230-04-4
300636,Fenvalerate,51630-58-1
300638,Tilt,60207-90-1
300639,Tributyl phosphate,126-73-8
300640,Oxadiazon,19666-30-9
300641,DEET,134-62-3
300659,1-Hydroxynaphthalene,90-15-3
300698,PCB 18,37680-65-2
300699,PCB 66,32598-10-0
300700,PCB 95,38379-99-6
300701,PCB 110,38380-03-9
300703,PCB 146,51908-16-8
300704,PCB 149,38380-04-0
300705,PCB 151,52663-63-5
300707,PCB 177,52663-70-4
300708,PCB 194,35694-08-7
300711,PBB 1,2052-5-7
300713,PBDE 28,41318-75-6
300714,PBDE 49,243982-82-3
300715,PBDE 99,60348-60-9
300716,PBDE 153,68631-49-2
300718,PCB 31,16606-02-3
300719,PCB 45,70362-45-7
300720,PCB 56,41464-43-1
300721,PCB 92,52663-61-3
300722,PCB 130,52663-66-8
300723,PCB 157,69782-90-7
300724,PCB 167,52663-72-6
300725,PCB 178,52663-67-9
300726,PCB 202,2136-99-4
300727,PBDE 17,147217-75-2
300728,PBDE 47,5436-43-1
300729,PBDE 66,189084-61-5
300730,PBDE 75,189084-63-7
300731,PBDE 85,182346-21-0
300732,PBDE 100,189084-64-8
300733,PBDE 154,207122-15-4
300734,PBDE 155,35854-94-5
300736,PCB 107,70424-68-9
300737,PCB 132,38380-05-1
300739,cyclopenta[cd]pyrene,27208-37-3
300743,PCB 63,74472-34-7
300745,PCB 163,74472-44-9
300763,PCB 1,2051-60-7
300764,PCB 2,2051-61-8
300765,PCB 3,2051-62-9
300766,PCB 4,13029-08-8
300773,PCB 6,25569-80-6
300894,PCB 9,34883-39-1
300897,PCB 10,33146-45-1
300898,PCB 11,2050-67-1
300899,PCB 12,2974-92-7
300900,PCB 13,2974-90-5
300901,PCB 14,34883-41-5
300903,PCB 16,38444-78-9
300904,PCB 17,37680-66-3
300905,PCB 19,38444-73-4
300906,PCB 20,38444-84-7
300907,PCB 21,55702-46-0
300908,PCB 22,38444-85-8
300909,PCB 23,55720-44-0
300910,PCB 24,55702-45-9
300911,PCB 25,55712-37-3
300912,PCB 26,38444-81-4
300913,PCB 27,38444-76-7
300914,PCB 29,15862-07-4
300915,PCB 30,35693-92-6
300916,PCB 32,38444-77-8
300917,PCB 33,38444-86-9
300918,PCB 34,37680-68-5
300919,PCB 35,37680-69-6
300920,PCB 36,38444-87-0
300921,PCB 38,53555-66-1
300922,PCB 39,38444-88-1
300923,PCB 40,38444-93-8
300924,PCB 41,52663-59-9
300925,PCB 42,36559-22-5
300926,PCB 43,70362-46-8
300927,PCB 46,41464-47-5
300928,PCB 47,2437-79-8
300929,PCB 48,70362-47-9
300930,PCB 50,62796-65-0
300931,PCB 51,68194-04-7
300932,PCB 53,41464-41-9
300933,PCB 54,15968-05-5
300934,PCB 55,74338-24-2
300935,PCB 57,70424-67-8
300936,PCB 58,41464-49-7
300937,PCB 59,74472-33-6
300938,PCB 61,33284-53-6
300939,PCB 62,54230-22-7
300940,PCB 64,52663-58-8
300941,PCB 65,33284-54-7
300942,PCB 67,73575-53-8
300943,PCB 68,73575-52-7
300944,PCB 69,60233-24-1
300993,PCB 71,41464-46-4
300994,PCB 72,41464-42-0
300995,PCB 73,74338-23-1
300996,PCB 75,32598-12-2
300997,PCB 76,70362-48-0
300998,PCB 78,70362-49-1
300999,PCB 79,41464-48-6
301000,PCB 80,33284-52-5
301001,PCB 81,70362-50-4
301002,PCB 83,60145-20-2
301003,PCB 84,52663-60-2
301004,PCB 85,65510-45-4
301005,PCB 86,55312-69-1
301006,PCB 88,55215-17-3
301007,PCB 89,73575-57-2
301008,PCB 90,68194-07-0
301009,PCB 91,68194-05-8
301010,PCB 93,73575-56-1
301011,PCB 94,73575-55-0
301017,PCB 96,73575-54-9
301018,PCB 97,41464-51-1
301019,PCB 102,68194-06-9
301020,PCB 104,56558-16-8
301021,PCB 106,70424-69-0
301022,PCB 108,70362-41-3
301023,PCB 109,74472-35-8
301024,PCB 111,39635-32-0
301025,PCB 112,74472-36-9
301026,PCB 113,68194-10-5
301027,PCB 115,74472-38-1
301028,PCB 116,18259-05-7
301029,PCB 117,68194-11-6
301030,PCB 119,56558-17-9
301031,PCB 120,68194-12-7
301032,PCB 121,56558-18-0
301033,PCB 122,76842-07-4
301034,PCB 123,65510-44-3
301035,PCB 124,70424-70-3
301036,PCB 125,74472-39-2
301037,PCB 127,39635-33-1
301038,PCB 129,55215-18-4
301039,PCB 131,61798-70-7
301040,PCB 133,35694-04-3
301041,PCB 134,52704-70-8
301042,PCB 135,52744-13-5
301043,PCB 136,38411-22-2
301044,PCB 137,35694-06-5
301045,PCB 139,56030-56-9
301046,PCB 140,59291-64-4
301047,PCB 141,52712-04-6
301048,PCB 142,41411-61-4
301049,PCB 143,68194-15-0
301050,PCB 144,68194-14-9
301051,PCB 145,74472-40-5
301052,PCB 147,68194-13-8
301053,PCB 148,74472-41-6
301054,PCB 150,68194-08-1
301055,PCB 152,68194-09-2
301056,PCB 154,60145-22-4
301057,PCB 155,33979-03-2
301058,PCB 159,39635-35-3
301059,PCB 160,41411-62-5
301060,PCB 161,74472-43-8
301061,PCB 162,39635-34-2
301062,PCB 164,74472-45-0
301063,PCB 165,74472-46-1
301064,PCB 168,59291-65-5
301065,PCB 171,52663-71-5
301066,PCB 172,52663-74-8
301067,PCB 173,68194-16-1
301068,PCB 174,38411-25-5
301069,PCB 175,40186-70-7
301070,PCB 176,52663-65-7
301071,PCB 181,74472-47-2
301072,PCB 182,60145-23-5
301073,PCB 184,74472-48-3
301074,PCB 185,52712-05-7
301075,PCB 186,74472-49-4
301076,PCB 188,74487-85-7
301077,PCB 190,41411-64-7
301078,PCB 191,74472-50-7
301079,PCB 192,74472-51-8
301080,PCB 193,69782-91-8
301081,PCB 195,52663-78-2
301082,PCB 196,42740-50-1
301083,PCB 197,33091-17-7
301084,PCB 198,68194-17-2
301085,PCB 199,52663-75-9
301086,PCB 200,52663-73-7
301087,PCB 203,52663-76-0
301088,PCB 204,74472-52-9
301089,PCB 205,74472-53-0
301090,PCB 206,40186-72-9
301091,PCB 207,52663-79-3
301092,PCB 208,52663-77-1
301093,Dicyclopentadiene,77-73-6
301094,Dimefox,115-26-4
301095,"2,4-Dimethylaniline",95-68-1
301096,"2,6-Dimethylaniline",87-62-7
301097,Ethiolate,2941-55-1
301098,3-Chloroaniline,108-42-9
301099,"2-Ethyl-1,3-hexanediol",94-96-2
301100,Allidochlor,93-71-0
301101,"2,3,5-Trichlorophenol",933-78-8
301102,"2,6-Dichlorobenzonitrile",1194-65-6
301103,Dichlormid,37764-25-3
301104,Phenoxyacetic acid,122-59-8
301105,Propamocarb,24579-73-5
301106,2-Phenoxypropionic acid,940-31-8
301107,"3,5-Dichloroaniline",626-43-7
301108,"3,4-Dichloroaniline",95-76-1
301109,Acephate,30560-19-1
301110,Chlormephos,24934-91-6
301111,Nitrapyrin,1929-82-4
301112,Metolcarb,1129-41-5
301113,Trichlorfon,52-68-6
301114,Butylated hydroxyanisole,25013-16-5
301115,Methacrifos,62610-77-9
301116,o-Phenylphenol,90-43-7
301117,Crimidine,535-89-7
301118,Dicamba methyl ester,6597-78-0
301119,2-(2-Butoxyethoxy)ethyl thiocyanate,112-56-1
301120,2-(Octylthio)ethanol,3547-33-9
301121,Isoprocarb,2631-40-5
301122,Demephion,8065-62-1
301123,"2,3,5,6-Tetrachlorophenol",935-95-5
301124,Mecoprop methyl ester,23844-56-6
301125,Ethylenethiourea,96-45-7
301126,"2,3,4,5-Tetrachlorophenol",4901-51-3
301127,MCPA methyl ester,2436-73-9
301128,Heptenophos,23560-59-0
301129,Chlorfenprop-methyl,14437-17-3
301130,Omethoate,1113-02-6
301131,Tecnazene,117-18-0
301132,Dichlorprop methyl ester,57153-17-0
301133,Demeton-S-methyl,919-86-8
301134,Benzophenone,119-61-9
301135,"2,4-D methyl ester",1928-38-7
301136,2-(3-Chlorophenoxy)propionamide,5825-87-6
301137,Chlordimeform,6164-98-3
301138,"2,3,5-Trimethacarb",2655-15-4
301139,Ethalfluralin,55283-68-6
301140,Thiofanox,39196-18-4
301141,Bendiocarb,22781-23-3
301142,Benfluralin,1861-40-1
301143,Tebutam,35256-85-0
301144,Desbromo-bromobutide,999055-03-7
301145,Triclopyr methyl ester,60825-26-5
301146,Methyl-1-naphthalene acetate,2876-78-0
301147,Diallate II,999035-03-9
301148,Thiometon,640-15-3
301149,Desmedipham,13684-56-5
301150,Dazomet,533-74-4
301151,Pentachloroanisole,1825-21-4
301152,Diethyl dithiobis(thionoformate),502-55-6
301153,"3,4,5-Trimethacarb",2686-99-9
301154,Ethoxyquin,91-53-2
301155,Chlorbufam,1967-16-4
301156,Dimethipin,55290-64-7
301157,Xanthone,90-47-1
301158,Clomazone,81777-89-1
301159,Fenoprop methyl ester,4841-20-7
301160,Cyromazine,66215-27-8
301161,Terbumeton,33693-04-8
301162,Chloramben methyl ester,7286-84-2
301163,MNAF,5903-13-9
301164,Isocarbamide,30979-48-7
301165,Cycluron,2163-69-1
301166,Di-n-propyl phthalate,131-16-8
301167,Cyanophos,2636-26-2
301168,Pyroquilon,57369-32-1
301169,Trietazine,1912-26-1
301170,Fonofos,944-22-9
301171,Propetamphos,31218-83-4
301172,"2,4,5-T methyl ester",1928-37-6
301173,MCPB methyl ester,57153-18-1
301174,Profluralin,26399-36-0
301175,Dinoterb,1420-07-1
301176,Pyrimethanil,53112-28-0
301177,Pindone,83-26-1
301178,Fenfuram,24691-80-3
301179,"2,4-D sec-butyl ester",94-79-1
301182,Dinitramine,29091-05-2
301183,Isazophos,42509-80-8
301184,Carbofuran-3-keto,16709-30-1
301185,Etrimfos,38260-54-7
301186,Bromocyclen,1715-40-8
301187,Isobornyl thiocyanoacetate,115-31-1
301188,Sebuthylazine,7286-69-3
301189,Oxabentrinil,74782-23-3
301190,Endosulfan ether,3369-52-6
301191,Iprobenfos,26087-47-8
301192,Monalide,7287-36-7
301193,Metobromuron,3060-89-7
301194,Pentachloroaniline,527-20-8
301195,Formothion,2540-82-1
301196,"Butanoic acid, 4-(2,4-dichlorophenoxy)-, methyl ester",18625-12-2
301197,Furmecyclox,60568-05-0
301198,Pirimicarb,23103-98-2
301199,Dinoseb methyl ether,6099-79-2
301200,Butoxycarboxim,34681-23-7
301201,N-1-Naphthylacetamide,575-36-0
301202,Benfuresate,68505-69-1
301203,Desmetryn,1014-69-3
301204,Chlorthiamid,1918-13-4
301205,Dichlofenthion,97-17-6
301206,Dimethachlor,50563-36-5
301207,Cyprazine,22936-86-3
301208,Bromobutide,74712-19-9
301209,Prothoate,2275-18-5
301210,Bentazon methyl,61592-45-8
301211,Acetochlor,34256-82-1
301212,Fuberidazole,3878-19-1
301213,Chlorpyrifos Methyl,5598-13-0
301214,Plifenat,21757-82-4
301215,Terbucarb,1918-11-2
301216,Chloranocryl,2164-2-9
301217,Tolclofos-methyl,57018-04-9
301218,Fenoprop,93-72-1
301219,Malaoxon,1634-78-2
301220,Isoproturon,34123-59-6
301221,Flurenol-methyl,1216-44-0
301222,Dimetilan,644-64-4
301223,Tridiphane,58138-08-2
301224,Oxydemeton-methyl,301-12-2
301225,Metalaxyl,57837-19-1
301226,Paraoxon,311-45-5
301227,Dinoseb acetate,2813-95-8
301228,2-(1-naphthyl)acetamide,86-86-2
301229,Demeton-S-methylsulphon,17040-19-6
301230,Tycor (SMY 1500),64529-56-2
301231,Picloram methyl ester,14143-55-6
301232,Ioxynil,1689-83-4
301233,Dinoterb acetate,3204-27-1
301234,Dithiopyr,97886-45-8
301235,Quinoclamine,2797-51-5
301236,Pentanochlor,2307-68-8
301237,Esprocarb,85785-20-2
301238,Ethofumesate,26225-79-6
301239,Probenazole,27605-76-1
301240,Chlorotoluron,15545-48-9
301241,Dichlofluanid,1085-98-9
301242,Amidithion,919-76-6
301243,Benthiocarb,28249-77-6
301244,Dipropetryn,4147-51-7
301245,Kinoprene,42588-37-4
301246,Diethofencarb,87130-20-9
301247,Dimethylvinphos(Z),67628-93-7
301248,"4,4'-Dichlorobenzophenone",90-98-2
301249,Tetrapropyl thiodiphosphate,3244-90-4
301250,Fepropimorph,67564-91-4
301251,Isomethiozin,57052-04-7
301252,Dicapthon,2463-84-5
301253,Isobenzan,297-78-9
301254,Methfuroxam,28730-17-8
301255,Carbetamide,16118-49-3
301256,Tiocarbazil I,36756-79-3
301257,Fenson,80-38-6
301258,Chlorthion,500-28-7
301259,Phthalide,27355-22-2
301260,Nitrothal-isopropyl,10552-74-6
301261,Drazoxolon,5707-69-7
301262,Crufomate,299-86-5
301263,Dodemorph I,1593-77-7
301264,Flurochloridone I,61213-25-0
301265,Sulfur (S8),10544-50-0
301266,Pyracarbolid,24691-76-7
301267,Bromophos,2104-96-3
301268,Naphthalic anhydride,81-84-5
301269,Butralin,33629-47-9
301270,Endosulfan lactone,3868-61-9
301271,Octachlorostyrene,29082-74-4
301272,Pirimiphos-ethyl,23505-41-1
301273,Isopropalin,33820-53-0
301274,Metazachlor,67129-08-2
301275,Methoprene I,40596-69-8
301276,Mefluidide,53780-34-0
301277,Thiabendazole,148-79-8
301278,Benazolin-ethyl,25059-80-7
301279,Chlorbromuron,13360-45-7
301280,Penconazole,66246-88-6
301281,Dimethametryn,22936-75-0
301282,Phosfolan,947-02-4
301283,Tolylfluanid,731-27-1
301284,Pyrifenox I,88283-41-4
301285,Methyldymron,42609-73-4
301286,Mephosfolan,950-10-7
301287,Chlozolinate,84332-86-5
301288,Folpet,133-07-3
301289,Isofenphos,25311-71-1
301290,Pyridinitril,1086-02-8
301291,Quinalphos,13593-03-8
301292,Triadimenol,55219-65-3
301293,Phenthoate,2597-03-7
301294,Mecarbam,2595-54-2
301295,Bioallethrin S-cyclopentenyl isomer,28434-00-6
301296,Chlorbenside,103-17-3
301297,Bioallethrin,584-79-2
301298,Chinomethionate,2439-2-1
301299,Furalaxyl,57646-30-7
301300,Procymidone,32809-16-8
301301,Dinobuton,973-21-7
301302,Chlorflurecol-methyl ester,2536-31-4
301303,Methidathion,950-37-8
301304,Triflumizole,68694-11-1
301305,Bromophos-ethyl,4824-78-6
301306,Paclobutrazol,76738-62-0
301307,Vamidothion,2275-23-2
301308,Tetrachlorovinphos,961-11-5
301309,"2,4-Dichlorophenyl benzenesulfonate",97-16-5
301310,TCMTB,21564-17-0
301311,Flutriafol,76674-21-0
301312,Ditalimfos,5131-24-8
301313,Chlorfenson,80-33-1
301314,Flumetralin,62924-70-3
301315,Diamyl phthalate,131-18-0
301316,Hexaconazole,79983-71-4
