CASRN,DTXSID,preferred_name,MammaryTumorEvidence,MammaryTumorRefs,E2up_onedose,P4up_onedose,E2up_CR,P4up_CR,HormoneSummary,AUC.Agonist,AUC.Antagonist,ERactivity,EDC,topEDCscore,Genotoxicity
126-07-8,DTXSID8020674,Griseofulvin,MC,"LCDB, Rudel2007",negative,negative,-,-,negative,-,-,-,EDC-,-,positive
126-99-8,DTXSID5020316,Chloroprene,MC,"IARC, ROC15, NTP, EPA_IRIS, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
127-18-4,DTXSID2021319,Tetrachloroethylene,MC,IARC,-,-,-,-,-,-,-,-,-,-,positive
12789-03-6,DTXSID5023954,Technical chlordane,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
129-73-7,DTXSID7031531,Leucomalachite green,MC,"IARC, NTP_dismissed, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
132832-26-9,DTXSID30157814,"anti-Benzo(a)chrysene-11,12-diol-13,14-epoxide",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
133-07-3,DTXSID0021385,Folpet,MC,EPA_OPP_dismissed,negative,negative,ns effect,ns effect,negative,0,2.33e-07,inactive,EDC-,none,positive
13345-61-4,DTXSID80158119,"Benz(a)anthracene-7-carboxaldehyde, 12-methyl-",MC,CCRIS,-,-,-,-,-,-,-,-,-,-,-
13394-86-0,DTXSID50158429,"2',3-Dimethyl[biphenyl]-4-amine",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
13743-07-2,DTXSID1020726,1-(2-Hydroxyethyl)-1-nitrosourea,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
138857-19-9,-,"Anti-4,5-dihydroxy-6,6a-epoxy-4,5,6,6a-tetrahydrobenzo[j]fluoranthene",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
138857-21-3,DTXSID301030835,"(1aR,2R,3S,11dS)-1a,2,3,11d-Tetrahydroacenaphtho[1',2':7,8]naphtho[1,2-b]oxirene-2,3-diol",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
139-40-2,DTXSID3021196,"2,4-Bis(isopropylamino)-6-chloro-1,3,5-triazine",MC,"EPA_OPP_dismissed, ToxRefDB",negative,negative,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,negative
139-94-6,DTXSID1020936,Nithiazide,MC,"IARC, NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
1420-04-8,DTXSID3020338,Clonitralid,MC,"NTP_equivocal, EPA_OPP_equivocal, CCRIS_equivocal, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
142713-78-8,DTXSID7020506,"Dimethylaminoethylnitrosoethylurea, nitrite salt",MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
148-82-3,DTXSID6020804,Melphalan,MC,IARC,-,-,-,-,-,-,-,-,-,-,positive
149-17-7,DTXSID3020758,Isonicotinic acid vanillylidenehydrazide,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
14962-28-8,DTXSID7074539,"4-Hydroxy-2',4',6'-trichlorobiphenyl",MC,CCRIS,-,-,-,-,-,-,-,-,-,-,-
153-78-6,DTXSID1049223,2-Aminofluorene,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
153926-04-6,-,"Anti-dibenzo[a,l]pyrene-11,12-dihydrodiol-13,14-epoxide",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
15972-60-8,DTXSID1022265,Alachlor,MC,EPA_OPP_dismissed,negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
16170-75-5,DTXSID40273998,Sodium beta-4-methoxybenzoyl-beta-bromoacrylate,MC,LCDB,-,-,-,-,-,-,-,-,-,-,-
16301-26-1,DTXSID4020585,"Z-Ethyl-O,N,N-azoxyethane",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,negative
1694-09-3,DTXSID7021441,Benzyl Violet 4B,MC,"IARC, ToxValDB, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
179101-81-6,DTXSID8034875,Pyridalyl,MC,ToxRefDB,-,-,-,-,-,-,-,-,-,-,-
18774-85-1,DTXSID6020698,N-Hexylnitrosourea,MC,"CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
189-55-9,DTXSID9059751,"Dibenzo[a,i]pyrene",MC,"IARC, ROC15",-,-,-,-,-,-,-,-,-,-,positive
189-64-0,DTXSID4059752,"Dibenzo[a,h]pyrene",MC,"IARC, ROC15",-,-,-,-,-,-,-,-,-,-,positive
19044-88-3,DTXSID8024238,Oryzalin,MC,"EPA_OPP, ToxRefDB",negative,negative,-,-,negative,0,0,inactive,EDC-,none,-
191-30-0,DTXSID9059753,"Dibenzo[a,l]pyrene",MC,"IARC, ROC15, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
1912-24-9,DTXSID9020112,Atrazine,MC,"IARC, EPA_OPP_dismissed, ToxRefDB, CCRIS, LCDB, Rudel2007",positive,negative,high,medium,"E2, P4",0,0,inactive,EDC+,high,positive
1937-37-7,DTXSID7020184,C.I. Direct Black 38,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
20325-40-0,DTXSID1020485,C.I. Disperse Black 6 dihydrochloride,MC,"IARC, ROC15, NTP, ToxRefDB, CCRIS, LCDB",positive,positive,medium,low,"E2, P4",0,0,inactive,EDC+,medium,positive
20830-81-3,DTXSID7022883,Daunorubicin,MC,"IARC, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
2113-61-3,DTXSID0020072,4-Biphenylamine hydrochloride,MC,LCDB,-,-,-,-,-,-,-,-,-,-,positive
21638-36-8,DTXSID2020848,4-Methyl-1-[(5-nitrofurfurylidene)amino]-2-imidazolidinone,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
21725-46-2,DTXSID1023990,Cyanazine,MC,"EPA_OPP, LCDB",positive,negative,ns effect,ns effect,negative,0,0,inactive,EDC-,none,positive
21739-91-3,DTXSID5020368,Cytembena,MC,"NTP, CCRIS, Rudel2007",negative,positive,low,medium,"E2, P4",-,-,-,EDC+,medium,positive
21928-82-5,DTXSID3020883,(N-6)-(Methylnitroso)adenosine,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
22398-80-7,DTXSID3031444,Indium phosphide,MC,"IARC, NTP_equivocal, Rudel2007",-,-,-,-,-,-,-,-,-,-,negative
23214-92-8,DTXSID8021480,Doxorubicin,MC,"IARC, ROC15, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
2393-53-5,DTXSID00946752,"17-Oxoestra-1(10),2,4-trien-3-yl benzoate",MC,"IARC, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
6/1/2425,DTXSID4020242,Captafol,MC,"ROC15, EPA_OPP, LCDB, Rudel2007",positive,negative,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,positive
2432-99-7,DTXSID5020077,11-Aminoundecanoic acid,MC,ToxRefDB,-,-,-,-,-,-,-,-,-,-,negative
24554-26-5,DTXSID4020953,N-(4-(5-Nitro-2-furyl)-2-thiazolyl)formamide,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
25321-14-6,DTXSID5027859,Dinitrotoluene,MC,ToxValDB,-,-,-,-,-,-,-,-,-,-,positive
2593-15-9,DTXSID3032547,Etridiazole,MC,EPA_OPP,positive,negative,borderline,borderline,"*E2, *P4",0,0,inactive,EDC~,borderline,-
26049-68-3,DTXSID8020705,2-Hydrazino-4-(5-nitro-2-furyl)thiazole,MC,"CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
26049-69-4,DTXSID1020518,"2-(2,2-Dimethylhydrazino)-4-(5-nitro-2-furyl)thiazole",MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
26049-70-7,DTXSID3020706,2-Hydrazino-4-(4-nitrophenyl)thiazole,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
26049-71-8,DTXSID3020704,2-Hydrazino-4-(4-aminophenyl) thiazole,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
26471-62-5,DTXSID0024341,Toluene diisocyanate,MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
28754-68-9,DTXSID1020061,"trans-5-Amino-3[2-(5-nitro-2-furyl)vinyl]-1,2,4-oxadiazole",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
297-76-7,DTXSID4020614,Ethynodiol diacetate,MC,"IARC, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
298-04-4,DTXSID0022018,Disulfoton,MC,ToxRefDB,negative,negative,-,-,negative,0.025,0,borderline_agonism,EDC~,borderline,positive
302-01-2,DTXSID3020702,Hydrazine,MC,"IARC, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
302-15-8,DTXSID9020875,Methylhydrazine sulfate,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
302-22-7,DTXSID6020274,Chlormadinone acetate,MC,"IARC, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
303-47-9,DTXSID7021073,Ochratoxin A,MC,"ROC15, NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
3031-51-4,DTXSID4020909,(S)-Furaltadone hydrochloride,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
305-03-3,DTXSID7020263,Chlorambucil,MC,"IARC, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
3096-50-2,DTXSID6021088,N-(9-Oxo-2-fluorenyl)acetamide,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
320-67-2,DTXSID9020116,5-Azacytidine,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
32852-21-4,DTXSID7020639,Formic acid 2-(4-methyl-2-thiazolyl)hydrazide,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,negative
3296-90-0,DTXSID9020164,Pentaerythritol dibromide,MC,"IARC, ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
330-54-1,DTXSID0020446,Diuron,MC,"EPA_OPP, ToxRefDB, CCRIS",negative,negative,ns effect,ns effect,negative,0,0,inactive,EDC-,none,positive
33372-39-3,DTXSID3020176,4-Bis(2-hydroxyethyl)amino-2-(5-nitro-2-thienyl)quinazoline,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
34549-30-9,DTXSID3024609,"2,2-Bis(bromoethyl)-1,3-propanediol",MC,ToxRefDB,-,-,-,-,-,-,-,-,-,-,positive
10/9/3546,DTXSID6021119,Phenesterin,MC,"NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,negative
3570-75-0,DTXSID6020640,Formic acid 2-[4-(5-nitro-2-furyl)-2-thiazolyl]hydrazide,MC,"IARC, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
3604-87-3,DTXSID2020553,alpha-Ecdysone,MC,"CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
363-17-7,DTXSID3020629,"N-(2-Fluorenyl)-2,2,2-trifluoroacetamide",MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
366-70-1,DTXSID3021190,Procarbazine hydrochloride,MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
3688-53-7,DTXSID9020033,AF-2,MC,"IARC, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
3775-55-1,DTXSID2020058,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-oxadiazole",MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
3778-73-2,DTXSID7020760,Ifosfamide,MC,"NTP, CCRIS, LCDB_equivocal, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
3795-88-8,DTXSID6043834,Levofuraltadone,MC,"IARC, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
3825-26-1,DTXSID8037708,Ammonium perfluorooctanoate,MC,ToxRefDB,negative,negative,-,-,negative,0,0,inactive,EDC-,none,-
39156-41-7,DTXSID7020398,C.I. Oxidation Base 12A,MC,"ROC15, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
4075-79-0,DTXSID8039243,4-Acetylaminobiphenyl,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
42011-48-3,DTXSID9021394,"2,2,2-Trifluoro-N-[4-(5-nitro-2-furyl)-2-thiazolyl]acetamide",MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
42397-65-9,DTXSID2073514,"1,8-Dinitropyrene",MC,"IARC, ROC15, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
3/4/4342,DTXSID0020369,Dacarbazine,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
443-48-1,DTXSID2020892,Metronidazole,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
446-72-0,DTXSID5022308,Genistein,MC,"NTP, ToxRefDB, CCRIS",-,-,ns effect,ns effect,negative,0.538,0,medium_agonism,EDC+,medium,positive
4680-78-8,DTXSID3020671,FD&C Green No. 1,MC,"IARC, Rudel2007",-,-,-,-,-,-,-,-,-,-,inconclusive
488-41-5,DTXSID7022918,Dibromomannitol,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
49540-32-1,DTXSID20197820,"1,3-Diethyl-1-nitrosourea",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
50-07-7,DTXSID2020898,Mitomycin C,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
50-18-0,DTXSID5020364,Cyclophosphamide,MC,"IARC, ROC15, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
50-27-1,DTXSID9022366,Estriol,MC,"IARC, CCRIS, Rudel2007",_NA,_NA,_NA,_NA,_NA,0.786,0.0122,high_agonism,EDC+,high,positive
50-28-2,DTXSID0020573,17beta-Estradiol,MC,"IARC, ToxRefDB, ToxValDB, CCRIS, Rudel2007",_NA,_NA,_NA,_NA,_NA,0.935,0.0153,high_agonism,EDC+,high,positive
50-32-8,DTXSID2020139,Benzo(a)pyrene,MC,"IARC, ROC15, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
50-55-5,DTXSID7021237,Reserpine,MC,"IARC, ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",negative,no data,-,-,negative,0,0,inactive,EDC-,none,positive
3/3/5036,DTXSID1020724,1-(2-Hydroxyethyl)-3-[(5-nitrofurfurylidene)amino]-2-imidazolidinone,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
51-79-6,DTXSID9021427,Urethane,MC,"ROC15, NTP, ToxRefDB, CCRIS, Rudel2007",negative,negative,-,-,negative,0.00138,0,inactive,EDC-,none,positive
51-98-9,DTXSID4023381,Norethindrone acetate,MC,ToxRefDB,-,-,-,-,-,-,-,-,-,-,positive
51264-14-3,DTXSID4022604,Amsacrine,MC,"IARC, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
51325-35-0,DTXSID9020954,"N,N'-[6-(5-Nitro-2-furyl)-S-triazine-2,4-diyl]bisacetamide",MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
51630-58-1,DTXSID101017940,Fenvalerate,MC,"IARC, Rudel2007",negative,no data,ns effect,ns effect,negative,0.00468,0,inactive,EDC-,none,positive
52-24-4,DTXSID0021339,Thiotepa,MC,"IARC, ROC15, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
52-76-6,DTXSID4021478,Lynestrenol,MC,"IARC, Rudel2007",negative,negative,ns effect,ns effect,negative,-,-,-,EDC-,none,positive
53-16-7,DTXSID4022367,Estrone,MC,"IARC, CCRIS, Rudel2007",_NA,_NA,_NA,_NA,_NA,0.807,0.00246,high_agonism,EDC+,high,positive
53-70-3,DTXSID9020409,"Dibenz(a,h)anthracene",MC,"IARC, ROC15, Rudel2007",-,-,-,-,-,0,0,inactive,EDC-,none,positive
53-86-1,DTXSID9020740,1-(p-Chlorobenzoyl)-5-methoxy-2-methyl-Indole-3-acetic acid,MC,"LCDB, Rudel2007",negative,negative,ns effect,ns effect,negative,0,0,inactive,EDC-,none,positive
53-95-2,DTXSID2020719,N-Hydroxy-2-acetylaminofluorene,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
53-96-3,DTXSID0039227,2-Acetylaminofluorene,MC,"ROC15, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
531-18-0,DTXSID1020693,Hexamethylolmelamine,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
531-76-0,DTXSID9031569,Merphalan,MC,"IARC, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
531-82-8,DTXSID9020952,N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide,MC,"IARC, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
531-85-1,DTXSID7020138,Benzidine dihydrochloride,MC,CCRIS,-,-,-,-,-,-,-,-,-,-,positive
532-27-4,DTXSID9020293,2-Chloroacetophenone,MC,"NTP_equivocal, ToxRefDB, CCRIS_equivocal, LCDB_equivocal, Rudel2007",negative,negative,-,-,negative,0.0137,0,borderline_agonism,EDC~,borderline,positive
533-74-4,DTXSID7024902,Dazomet,MC,ToxRefDB,negative,negative,-,-,negative,0,8.83e-05,inactive,EDC-,none,positive
53757-28-1,DTXSID4020951,4-(5-Nitro-2-furyl)thiazole,MC,"CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
54-31-9,DTXSID6020648,Furosemide,MC,"IARC, NTP, CCRIS, LCDB, Rudel2007",negative,negative,-,-,negative,-,-,-,EDC-,-,positive
54-85-3,DTXSID8020755,Isoniazid,MC,"LCDB, Rudel2007",negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
5405-53-8,DTXSID8075253,"9H-Fluorene, 2,7-dinitro-",MC,CCRIS,-,-,-,-,-,-,-,-,-,-,positive
542-75-6,DTXSID1022057,"1,3-Dichloropropene",MC,EPA_OPP,-,-,-,-,-,-,-,-,-,-,positive
55-18-5,DTXSID2021028,N-Nitrosodiethylamine,MC,ROC15,negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
551-92-8,DTXSID5020497,"1,2-Dimethyl-5-nitroimidazole",MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
55120-47-3,DTXSID10203641,"N,N'-Dimethylnitrosourea",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
5522-43-0,DTXSID6020983,1-Nitropyrene,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
55283-68-6,DTXSID8032386,Ethalfluralin,MC,"EPA_OPP, ToxRefDB, CCRIS",negative,negative,-,-,negative,0.0346,0,borderline_agonism,EDC~,borderline,positive
55335-06-3,DTXSID0032497,Triclopyr,MC,EPA_OPP_equivocal,negative,negative,-,-,negative,0,0,inactive,EDC-,none,-
55406-53-6,DTXSID0028038,3-Iodo-2-propynyl-N-butylcarbamate,MC,EPA_OPP_dismissed,negative,negative,-,-,negative,0,0.0283,borderline_antagonism,EDC-,none,negative
555-84-0,DTXSID2020973,1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone,MC,"IARC, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
556-52-5,DTXSID4020666,Glycidol,MC,"IARC, ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
55738-54-0,DTXSID7020502,"trans-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)vinyl]-1,3,4-oxadiazole",MC,"IARC, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
5589-96-8,DTXSID4024642,Bromochloroacetic acid,MC,"ROC15, NTP, CCRIS",-,-,-,-,-,-,-,-,-,-,positive
56-23-5,DTXSID8020250,Carbon tetrachloride,MC,"IARC, ROC15, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
56-38-2,DTXSID7021100,Parathion,MC,IARC,positive,positive,medium,high,"E2, P4",0,0,inactive,EDC+,high,positive
56-49-5,DTXSID0020862,3-Methylcholanthrene,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
56-53-1,DTXSID3020465,Diethylstilbestrol,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",negative,negative,low,ns effect,E2,0.943,0.00992,high_agonism,EDC+,high,positive
56654-52-5,DTXSID8020418,"1,3-Dibutyl-1-nitrosourea",MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
569-61-9,DTXSID1021247,C.I. Basic Red 9 monohydrochloride,MC,"ROC15_equivocal, NTP_equivocal, CCRIS, LCDB_equivocal, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
569-64-2,DTXSID1025512,Malachite green,MC,"IARC, NTP_equivocal, CCRIS_equivocal, Rudel2007",negative,negative,-,-,negative,-,-,-,EDC-,-,positive
56932-45-7,DTXSID20205479,"N1-(Tris(hydroxymethyl))methyl-4-nitro-1,2-phenylenediamine",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
5694-00-8,DTXSID2031374,Glycidamide,MC,NTP,negative,negative,-,-,negative,-,-,-,EDC-,-,positive
57-47-6,DTXSID3023471,Physostigmine,MC,CCRIS,-,-,-,-,-,-,-,-,-,-,negative
57-63-6,DTXSID5020576,17alpha-Ethinylestradiol,MC,"IARC, NTP_equivocal, CCRIS, Rudel2007",_NA,_NA,_NA,_NA,_NA,1,0,high_agonism,EDC+,high,positive
57-83-0,DTXSID3022370,Progesterone,MC,"IARC, ROC15, CCRIS, Rudel2007",_NA,_NA,_NA,_NA,_NA,0.0507,0.000618,borderline_agonism,EDC+,borderline,positive
57-97-6,DTXSID1020510,"7,12-Dimethylbenz(a)anthracene",MC,"CCRIS, Rudel2007",positive,negative,high,ns effect,E2,0.000165,0,inactive,EDC+,high,positive
57117-31-4,DTXSID7030066,"2,3,4,7,8-Pentachlorodibenzofuran",MC,"NTP_dismissed, ToxRefDB",-,-,-,-,-,-,-,-,-,-,-
57835-92-4,DTXSID5074844,4-Nitropyrene,MC,"IARC, ROC15, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
