COCNum,COCRecvDate,SampleName,SampleNumber,TestTempName,RunNumber,ParameterID,ParameterName,CASNumber,Result
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,70,1-Methylphenanthrene,832-69-9,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,109,"2,4-Dichlorophenol",120-83-2,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,283,Butyl benzyl phthalate,85-68-7,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,293,Bis(2-ethylhexyl)phthalate,117-81-7,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,429,Di-n-butyl phthalate,84-74-2,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,430,Di-n-octyl phthalate,117-84-0,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,462,Diethyl phthalate,84-66-2,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,482,Fluorene,86-73-7,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,1037,TPP,115-86-6,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,300386,"1,6-dimethylNaphthalene",575-43-9,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,300641,"N,N-Diethyl-m-toluamide",134-62-3,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,301114,Butylated hydroxyanisole,25013-16-5,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,301134,Benzophenone,119-61-9,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,301449,Cashmeran,33704-61-9,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,301505,Tonalide,1506-02-1,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,301558,Fipronil,120068-37-3,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,301561,Triclosan,3380-34-5,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,301583,Fipronil-sulfone,120068-36-2,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,301669,Ethofenprox,80844-07-1,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,301673,Di-n-nonyl phthalate,84-76-4,1
14SEP26-01,9/26/2014 12:39,WB Right,A140392,GC-MS - RTL DRS Screening - 1299 analytes,1,301749,Methoprene II,999045-03-3,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,69,1-Methylnaphthalene,90-12-0,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,247,Anthracene,120-12-7,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,482,Fluorene,86-73-7,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,300386,"1,6-dimethylNaphthalene",575-43-9,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,70,1-Methylphenanthrene,832-69-9,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,300387,"1,2-dimethylnaphthalene",573-98-8,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,210,Acenaphthylene,208-96-8,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,678,Pyrene,129-00-0,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,300391,Retene,483-65-8,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301505,Tonalide,1506-02-1,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301433,Carvone,99-49-0,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301561,Triclosan,3380-34-5,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301493,Caffeine,58-08-2,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,603,Nicotine,54-11-5,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301443,Eugenol,97-53-0,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301467,Celestolide,13171-00-1,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301537,Musk Ketone,81-14-1,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301478,Phantolide,15323-35-0,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301447,Phthalimide,85-41-6,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301479,Benzyl benzoate,120-51-4,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,300641,"N,N-Diethyl-m-toluamide",134-62-3,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301831,Promecarb artifact [5-isopropyl-3-methylphenol],485106,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301275,Methoprene I,40596-69-8,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301558,Fipronil,120068-37-3,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301583,Fipronil-sulfone,120068-36-2,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,301522,"Fipronil, Desulfinyl-",205650-65-3,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,1034,Trifluralin,1582-09-8,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,462,Diethyl phthalate,84-66-2,1
14DEC19-001,12/19/2014,Artif1,MYEXP1,GC-MS - MYEXP PRE-1299,999,283,Butyl benzyl phthalate,85-68-7,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,69,1-Methylnaphthalene,90-12-0,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,247,Anthracene,120-12-7,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,482,Fluorene,86-73-7,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,300386,"1,6-dimethylNaphthalene",575-43-9,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,70,1-Methylphenanthrene,832-69-9,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,300387,"1,2-dimethylnaphthalene",573-98-8,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,210,Acenaphthylene,208-96-8,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,678,Pyrene,129-00-0,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,300391,Retene,483-65-8,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301505,Tonalide,1506-02-1,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301433,Carvone,99-49-0,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301561,Triclosan,3380-34-5,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301493,Caffeine,58-08-2,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,603,Nicotine,54-11-5,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301443,Eugenol,97-53-0,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301467,Celestolide,13171-00-1,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301537,Musk Ketone,81-14-1,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301478,Phantolide,15323-35-0,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301447,Phthalimide,85-41-6,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301479,Benzyl benzoate,120-51-4,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,300641,"N,N-Diethyl-m-toluamide",134-62-3,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301831,Promecarb artifact [5-isopropyl-3-methylphenol],485106,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301275,Methoprene I,40596-69-8,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301558,Fipronil,120068-37-3,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301583,Fipronil-sulfone,120068-36-2,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,301522,"Fipronil, Desulfinyl-",205650-65-3,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,1034,Trifluralin,1582-09-8,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,462,Diethyl phthalate,84-66-2,1
14DEC19-001,12/19/2014,Artif2,MYEXP2,GC-MS - MYEXP PRE-1299,999,283,Butyl benzyl phthalate,85-68-7,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,283,Butyl benzyl phthalate,85-68-7,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,293,Bis(2-ethylhexyl)phthalate,117-81-7,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,429,Di-n-butyl phthalate,84-74-2,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,462,Diethyl phthalate,84-66-2,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,1037,TPP,115-86-6,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,300641,"N,N-Diethyl-m-toluamide",134-62-3,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301114,Butylated hydroxyanisole,25013-16-5,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301134,Benzophenone,119-61-9,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301449,Cashmeran,33704-61-9,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301502,Diisobutyl phthalate,84-69-5,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301505,Tonalide,1506-02-1,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301558,Fipronil,120068-37-3,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301561,Triclosan,3380-34-5,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301669,Ethofenprox,80844-07-1,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301673,Di-n-nonyl phthalate,84-76-4,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301749,Methoprene II,999045-03-3,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,70,1-Methylphenanthrene,832-69-9,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,430,Di-n-octyl phthalate,117-84-0,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,482,Fluorene,86-73-7,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,300386,"1,6-dimethylNaphthalene",575-43-9,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301583,Fipronil-sulfone,120068-36-2,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,69,1-Methylnaphthalene,90-12-0,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,247,Anthracene,120-12-7,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,300387,"1,2-dimethylnaphthalene",573-98-8,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,210,Acenaphthylene,208-96-8,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,678,Pyrene,129-00-0,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,300391,Retene,483-65-8,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301433,Carvone,99-49-0,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301493,Caffeine,58-08-2,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,603,Nicotine,54-11-5,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301443,Eugenol,97-53-0,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301467,Celestolide,13171-00-1,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301537,Musk Ketone,81-14-1,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301478,Phantolide,15323-35-0,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301447,Phthalimide,85-41-6,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301479,Benzyl benzoate,120-51-4,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301831,Promecarb artifact [5-isopropyl-3-methylphenol],485106,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301275,Methoprene I,40596-69-8,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,301522,"Fipronil, Desulfinyl-",205650-65-3,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,1034,Trifluralin,1582-09-8,1
14DEC19-001,12/19/2014,Artif3,MYEXP3,GC-MS - MYEXP PRE-1299,999,109,"2,4-Dichlorophenol",120-83-2,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,462,Diethyl phthalate,84-66-2,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,301505,Tonalide,1506-02-1,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,283,Butyl benzyl phthalate,85-68-7,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,301479,Benzyl benzoate,120-51-4,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,69,1-Methylnaphthalene,90-12-0,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,301433,Carvone,99-49-0,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,300641,"N,N-Diethyl-m-toluamide",134-62-3,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,301561,Triclosan,3380-34-5,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,301493,Caffeine,58-08-2,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,301831,Promecarb artifact [5-isopropyl-3-methylphenol],485106,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,247,Anthracene,120-12-7,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,482,Fluorene,86-73-7,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,301275,Methoprene I,40596-69-8,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,300386,"1,6-dimethylNaphthalene",575-43-9,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,603,Nicotine,54-11-5,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,301443,Eugenol,97-53-0,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,70,1-Methylphenanthrene,832-69-9,1
14DEC19-001,12/19/2014,Artif4,MYEXP4,GC-MS - MYEXP PRE-1299,999,301558,Fipronil,120068-37-3,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,301613,Tris(2-butoxyethyl) phosphate,78-51-3,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,300639,Tributyl phosphate,126-73-8,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,148,2-Methylphenol,95-48-7,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,301477,TCEP,115-96-8,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,301624,Tris(2-ethylhexyl) phosphate,78-42-2,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,301653,"Tricresylphosphate, ortho-",78-30-8,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,301429,Triethylphosphate,78-40-0,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,301116,o-Phenylphenol,90-43-7,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,167,m-Cresol,108-39-4,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,1023,Tri-p-tolyl phosphate,78-32-0,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,111,"2,4-Dimethylphenol",105-67-9,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,189,4-Methylphenol,106-44-5,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,635,Phenanthrene,85-01-8,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,388,Chlorpyrifos,2921-88-2,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,300716,PBDE 153,68631-49-2,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,StevenGC-MS - MYEXP PRE-1299,999,300273,PCB 118,31508-00-6,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP PRE-1299,999,300641,"N,N-Diethyl-m-toluamide",134-62-3,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP PRE-1299,999,301561,Triclosan,3380-34-5,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP PRE-1299,999,301493,Caffeine,58-08-2,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP PRE-1299,999,301831,Promecarb artifact [5-isopropyl-3-methylphenol],485106,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP PRE-1299,999,247,Anthracene,120-12-7,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP PRE-1299,999,482,Fluorene,86-73-7,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP PRE-1299,999,301275,Methoprene I,40596-69-8,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP PRE-1299,999,300386,"1,6-dimethylNaphthalene",575-43-9,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP PRE-1299,999,603,Nicotine,54-11-5,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP PRE-1299,999,301443,Eugenol,97-53-0,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP PRE-1299,999,70,1-Methylphenanthrene,832-69-9,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP PRE-1299,999,301558,Fipronil,120068-37-3,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP 1418 Adder Fake,999,89,"2,3,4,6-Tetrachlorophenol",used?,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP 1418 Adder Fake,999,302170,TCPP,used?,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP 1418 Adder Fake,999,302653,Trichlorosyringol,used?,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP 1418 Adder Fake,999,437,Dibenzofuran,used?,1
14DEC21-001,12/21/2014,Artif5,MYEXP5,GC-MS - MYEXP 1418 Adder Fake,999,302751,Dibenzo-p-dioxin,used?,1
