ParameterID,chemicalLink,toxicityType,listingMechanism,listingMechanismLink,dateListed,doseage,doseageLink
185,,cancer,AB,,1-Oct-94,1.5,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/021810nsrlsummary.pdf
188,,cancer,LC,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/091611_LCset14.html,4-Nov-11,,
188,,developmental,AB,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/090613NOILMIK.html,28-Mar-14,,
191,,cancer,SQE,,1-Apr-88,,
195,,cancer,SQE,,1-Jan-88,,
195,,developmental,SQE,,1-Jul-87,,
200,,cancer,SQE,,1-Apr-88,6,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
202,,cancer,AB,,1-Jan-90,0.003,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
211,,cancer,SQE,,1-Apr-88,90 (inhalation),
222,,cancer,FR,,1-Jul-87,0.7,
224,,cancer,SQE,,1-Jan-89,,
228,,cancer,SQE,,1-Jul-88,0.04,
237,,cancer,AB,,1-Jan-90,,
246,,cancer,AB,,1-Jan-90,100,
251,,cancer,SQE,,1-Jul-87,20,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
253,,cancer,LC,,27-Feb-87,100 fibers/day (inhalation),
255,,"developmental, female",AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-atrazine-propazine-simazine-and-their-chlorometabolites-dact,15-Jul-16,,
260,,cancer,AB,,1-Jan-90,6,
261,,cancer,SQE,,1-Jan-88,0.05,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
264,,cancer ,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noilpkg22b.pdf,11-Aug-06,,
267,,cancer,LC,,27-Feb-87,6.4 (oral)                          13 (inhalation),http://oehha.ca.gov/media/downloads/crnr/benzenensrl061303.pdf
267,,"developmental, male ",SQE,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/benzene.pdf,26-Dec-97,24 (oral)                            49 (inhalation),http://oehha.ca.gov/media/downloads/crnr/benzene20madlfinal.pdf
271,,cancer,LC,,27-Feb-87,0.001,
272,,cancer,SQE,,1-Jul-87,0.033 (oral),http://oehha.ca.gov/media/downloads/crnr/2pahnsrls62104.pdf
273,,cancer,SQE,,1-Jul-87,0.06,
275,,cancer,SQE,,1-Jul-87,0.096 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
278,,cancer,SQE,,1-Jul-87,0.11 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
279,,cancer,SQE,,1-Jul-87,,
281,,cancer,SQE,,1-Jul-87,,
283,,developmental ,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/abpkg21phthalatesnoil.pdf,2-Dec-05,1200 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/060112bbpisor.pdf
284,,cancer,AB,,1-Jan-90,4,
291,,cancer,SQE,,1-Apr-88,0.3,
293,,cancer,SQE,,1-Jan-88,310,http://oehha.ca.gov/media/downloads/crnr/dehpnsrlfinal.pdf
293,,"developmental, male ",AB,http://oehha.ca.gov/media/downloads/crnr/noilabpkg6d.pdf,24-Oct-03,,
294,,cancer,LC,,27-Feb-87,,
303,,cancer,AB,,1-Jan-90,5,
304,,cancer,AB,,1-Apr-91,64,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/bromoformnsrl061303.pdf
305,,developmental,FR,,1-Jan-93,810 (inhalation),http://oehha.ca.gov/media/downloads/crnr/oehha2004h.pdf
306,,developmental,FR,,1-Oct-90,,
351,,cancer,SQE,,1-Oct-88,5,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
352,,cancer,AB,,1-Jan-90,300,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
353,,cancer ,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noilabpkg34spirocarb.pdf,5-Feb-10,,
353,,"developmental, female, male",AB,http://oehha.ca.gov/proposition-65/crnr/notice-change-basis-listing-carbaryl-known-state-cause-cancer,7-Aug-09,,
354,,cancer,AB,,1-May-96,4.1,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expedited2001.pdf
357,,"developmental, female, male",SQE,,1-Jul-89,,
358,,cancer,SQE,,1-Oct-87,5,
366,,cancer,LC,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-chemicals-labor-code-mechanism-chloral-chloral-hydrate-1112,13-Sep-13,,
368,,cancer,SQE,,1-Jul-88,0.5,
377,,cancer,AB,,1-Jan-90,7,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
379,,cancer,AB,,1-Jul-90,150,http://oehha.ca.gov/media/downloads/crnr/chloroethane20nsrlfinal.pdf
380,,cancer,SQE,,1-Oct-87,20 (oral)                            40 (inhalation),
380,,developmental ,SQE,http://oehha.ca.gov/proposition-65/crnr/notice-availability-hazard-identification-materials-support-reconsideration,7-Aug-09,,
381,,developmental ,AB,http://oehha.ca.gov/media/downloads/crnr/abpkg6a.pdf,10-Mar-00,,
381,,male ,AB,http://oehha.ca.gov/proposition-65/crnr/change-basis-identification-male-reproductive-toxicity-endpoint-reproductive,7-Aug-09,,
384,,cancer ,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/abpkg6b.pdf,2-Jun-00,,
386,,cancer,SQE,,1-Jan-89,41,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/011312nsrla.pdf
390,,cancer,AB,,1-Jan-90,0.35 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
397,,cancer,AB,,1-Jul-92,,
410,,developmental ,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noilabp1.pdf,19-Mar-99,,
429,,"developmental, female, male ",AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noilpkg21phthalates.pdf,2-Dec-05,8.7,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/dbpmadl062907.pdf
433,,cancer,SQE,,1-Jan-88,,
434,,cancer,SQE,,1-Jan-88,0.2,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
435,,cancer,SQE,,1-Jan-88,,
436,,cancer,SQE,,1-Jan-88,,
448,,cancer,SQE,,1-Jan-89,2,
450,,cancer,SQE,,1-Jul-88,0.04,
461,,cancer,LC,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/noil012012.html,22-Jun-12,,
463,,cancer,LC,,27-Feb-87,0.002,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
463,,developmental,FR,,1-Jul-87,,
464,,cancer,SQE,,1-Jan-88,,
485,,cancer,SQE,,1-Jan-88,40,
525,,cancer ,AB,http://oehha.ca.gov/proposition-65/crnr/chemicals-listed-effective-april-2-2010-known-state-cause,6-Apr-10,,
531,,cancer,SQE,,1-Jan-88,0.04,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
531,,developmental,SQE,,1-Jan-89,,
540,,developmental ,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noilabp1.pdf,19-Mar-99,460,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/linurondraftaug2002.pdf
550,,cancer,LC,http://oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/090415LCset27.html,20-May-16,,
558,,cancer,SQE,,1-Apr-88,,
563,,developmental,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/abpkg29methanol.pdf,16-Mar-12,"47,000 (inhalation)  23,000 (oral)",http://oehha.ca.gov/media/downloads/crnr/methanolmadlpkg.pdf
570,,cancer,SQE,,1-Apr-88,,
573,,cancer,SQE,,1-Apr-88,7,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
595,,cancer ,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noilabpkg19b3.pdf,19-Apr-02,5.8,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/naphthalenensrl.pdf
602,,cancer,LC,,1-Oct-89,,
603,,developmental ,FR,,1-Apr-90,,
609,,cancer ,AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-chemicals-18-chemicals,26-Aug-97,,
609,,male ,AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-dde-and-nitrobenzene,30-Mar-10,,
611,,cancer,SQE,,1-Jan-88,9,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
616,,cancer,SQE,,1-Jul-87,5,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
620,,cancer,SQE,,1-Jan-88,4,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
634,,cancer,LC,,1-Oct-89,300,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
637,,cancer,AB,,1-Jan-90,2,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
667,,cancer,AB,,1-May-96,,
668,,cancer ,AB,http://oehha.ca.gov/media/downloads/crnr/abpkg19b1.pdf,27-Feb-01,,
670,,"developmental, female",AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-atrazine-propazine-simazine-and-their-chlorometabolites-dact,15-Jul-16,,
675,,cancer,SQE,,1-Jan-88,0.7,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
675,,developmental,FR,,1-Jul-90,,
679,,cancer,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noil20abpkg16a.pdf,17-May-02,,
689,,cancer,SQE,,1-Jan-88,3,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
703,,cancer ,SQE,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/tnthid080110.pdf,19-Dec-08,8.2,http://oehha.ca.gov/media/downloads/crnr/073010tntnsrl.pdf
705,,developmental,SQE,,1-Jan-91,7000c,
705,http://www.oehha.ca.gov/prop65/CRNR_notices/list_changes/030714changebasistoluene.html,female ,LC,http://www.oehha.ca.gov/prop65/docs_admin/pdf/LCDART061209.pdf,7-Aug-09,,
730,,cancer,LC,,1-Oct-89,0.09,
730,,developmental,SQE,,1-Jan-91,,
743,,cancer,SQE,,1-Jan-88,0.6,
749,,cancer,SQE,,1-Jan-88,0.2,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
751,,developmental,FR,,1-Apr-90,,
752,,"developmental, male",FR,,1-Jan-89,,
762,,cancer,AB,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/noilpkg19a3.html,31-May-02,,
769,,developmental ,AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-31-chemicals,15-May-98,,
772,,cancer,SQE,,1-Oct-87,9,
772,,male,AB,,1-Sep-96,,
774,,developmental ,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/pkg11a2.pdf,27-Apr-99,700 (oral and inhalation)              6700 (dermal),http://oehha.ca.gov/media/downloads/crnr/oehha2004e.pdf
778,,cancer ,AB,http://oehha.ca.gov/media/downloads/crnr/noilpkg19b1.pdf,27-Feb-01,,
780,,cancer,SQE,,1-Jul-89,,
782,,cancer,SQE,,1-Jan-88,0.7,
782,,developmental,AB,,1-Oct-94,,
785,,cancer,SQE,,1-Jan-88,,
788,,cancer ,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noilabpkg20a.pdf,11-Jun-04,54 (inhalation)                 41 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/ethylbenzenensrl032808.pdf
791,,developmental,AB,http://oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/041114NOILethyleneglycol.html,19-Jun-15,,
792,,cancer,FR,,1-Jul-87,2,
792,,"developmental, male ",FR,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/requests_info/092013ChangeBasis.html,7-Aug-09,20,
792,,female,FR,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/requests_info/092013ChangeBasis.html,27-Feb-87,20,
793,,cancer,AB,,1-Oct-94,,
817,,cancer,SQE,,1-Jul-88,0.2,
817,,developmental,AB,http://oehha.ca.gov/media/downloads/crnr/abpkg6a.pdf,20-Aug-99,,
818,,cancer,SQE,,1-Jul-88,0.08,
820,,cancer,SQE,,1-Oct-87,0.4,
820,,developmental,SQE,,1-Jan-89,,
821,,cancer,AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-androstenedione-dibromoacetonitrile-hexachlorobutadiene-and,3-May-11,,
823,,cancer,AB,,1-Jul-90,20,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
827,,cancer,SQE,,1-Jan-88,,
827,,male,AB,,1-Oct-94,,
850,,cancer,SQE,,1-Jan-88,,
856,,cancer,SQE,,1-Apr-88,50                                    200 (inhalation),
864,,cancer,SQE,,1-Jan-88,0.04,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
866,,"developmental, female, male ",AB,http://oehha.ca.gov/media/downloads/crnr/molinatenoil062708.pdf,11-Dec-09,,
891,,developmental,AB,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/referenced_docs/pkg14a.html,15-Jun-01,3200 (inhalation)             17000 (dermal),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/nmpmadl31403.pdf
892,,cancer,SQE,,1-Oct-87,0.06,
893,,cancer,SQE,,1-Jan-88,0.1,
894,,cancer,SQE,,1-Oct-87,0.02,
895,,cancer,SQE,,1-Oct-87,0.04,
896,,cancer,SQE,,1-Apr-88,80,
897,,cancer,LC,,1-Oct-89,0.03,
898,,cancer,SQE,,1-Jan-88,0.1,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
899,,cancer,SQE,,1-Jan-88,0.07,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
900,,cancer,SQE,,1-Oct-87,0.3,
913,,cancer,SQE,,1-Jan-88,5,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
917,,cancer,LC,http://oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/090415LCset27.html,20-May-16,,
942,,cancer,LC,,1-Oct-89,0.09,
942,,developmental,SQE,,1-Jan-91,,
943,,cancer,LC,,1-Oct-89,0.09,
943,,developmental,SQE,,1-Jan-91,,
944,,cancer,LC,,1-Oct-89,0.09,
944,,developmental,SQE,,1-Jan-91,,
945,,cancer,LC,,1-Oct-89,0.09,
945,,developmental,SQE,,1-Jan-91,,
946,,cancer,LC,,1-Oct-89,0.09,
946,,developmental,SQE,,1-Jan-91,,
947,,cancer,LC,,1-Oct-89,0.09,
947,,developmental,SQE,,1-Jan-91,,
953,,cancer,AB,,1-Jan-90,40,
974,,"developmental, female",AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-atrazine-propazine-simazine-and-their-chlorometabolites-dact,15-Jul-16,,
983,,cancer,LC,http://oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/090415LCset27.html,20-May-16,,
988,,cancer,AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-styrene,22-Apr-16,,
998,,cancer,SQE,,1-Jan-88,4,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
1005,,developmental ,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/pkg11a3.pdf,18-May-99,,
1014,,cancer,SQE,,1-Apr-88,14,
1028,,cancer,SQE,,1-Apr-88,14 (oral)                           50 (inhalation),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/031612isortce.pdf
1028,,"developmental, male",AB,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/NOIL_TCE112713.html,31-Jan-14,,
1035,,cancer,AB,,1-May-96,24,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expedited2001.pdf
1038,,cancer,SQE,,1-Jan-88,0.3,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
1053,,cancer,LC,,27-Feb-87,3,
1066,,cancer,AB,,1-Jul-90,3,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
1258,,cancer,AB,,1-Oct-90,10,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
1702,,cancer,AB,,1-Jan-90,40,
1703,,cancer,AB,,1-Jan-90,40,
1704,,cancer,AB,,1-Jan-90,40,
1933,,cancer ,AB,http://oehha.ca.gov/media/downloads/crnr/noilpkg19b1.pdf,27-Feb-01,,
1974,,cancer,LC,,1-Oct-89,0.09,
1974,,developmental,SQE,,1-Jan-91,,
1991,,developmental,FR,,1-Apr-90,,
1992,,"developmental, female, male ",AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/pkg11a1.pdf,30-Mar-99,,
1999,,cancer ,AB,http://oehha.ca.gov/proposition-65/crnr/chemicals-listed-effective-april-2-2010-known-state-cause,6-Apr-10,,
2004,,cancer,LC,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/072613noil.html,13-Sep-13,,
2006,,cancer,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noilabpkg32adibromoacetic20acid.pdf,17-Jun-08,,
2007,,cancer,AB,,1-May-96,,
2007,,"developmental, male",AB,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/requests_info/092013ChangebasisDCA.html,7-Aug-09,,
2020,,cancer,SQE,,1-Jan-88,0.8,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
2030,,"developmental, male",SQE,,1-Jan-89,63 (oral),http://oehha.ca.gov/media/downloads/crnr/oehha2004f.pdf
300226,,female,SQE,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/darthazidbpa2015.pdf,11-May-15,3 (dermal exposure from solid materials),http://oehha.ca.gov/media/downloads/crnr/03172016dermalbpamadlisor.pdf
300236,,"developmental, male ",AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noilabp1.pdf,16-Apr-99,,
300243,,cancer ,AB,http://oehha.ca.gov/media/downloads/crnr/noilpkg19b1.pdf,27-Feb-01,,
300246,,developmental ,AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-31-chemicals,15-May-98,,
300246,,cancer ,SQE,,20-Aug-99,,
300250,,cancer,AB,,1-May-96,,
300266,,cancer,LC,,1-Oct-89,0.09,
300266,,developmental,SQE,,1-Jan-91,,
300267,,cancer,LC,,1-Oct-89,0.09,
300267,,developmental,SQE,,1-Jan-91,,
300268,,cancer,LC,,1-Oct-89,0.09,
300268,,developmental,SQE,,1-Jan-91,,
300269,,cancer,LC,,1-Oct-89,0.09,
300269,,developmental,SQE,,1-Jan-91,,
300270,,cancer,LC,,1-Oct-89,0.09,
300270,,developmental,SQE,,1-Jan-91,,
300271,,cancer,LC,,1-Oct-89,0.09,
300271,,developmental,SQE,,1-Jan-91,,
300272,,cancer,LC,,1-Oct-89,0.09,
300272,,developmental,SQE,,1-Jan-91,,
300273,,cancer,LC,,1-Oct-89,0.09,
300273,,developmental,SQE,,1-Jan-91,,
300274,,cancer,LC,,1-Oct-89,0.09,
300274,,developmental,SQE,,1-Jan-91,,
300275,,cancer,LC,,1-Oct-89,0.09,
300275,,developmental,SQE,,1-Jan-91,,
300276,,cancer,LC,,1-Oct-89,0.09,
300276,,developmental,SQE,,1-Jan-91,,
300277,,cancer,LC,,1-Oct-89,0.09,
300277,,developmental,SQE,,1-Jan-91,,
300278,,cancer,LC,,1-Oct-89,0.09,
300278,,developmental,SQE,,1-Jan-91,,
300279,,cancer,LC,,1-Oct-89,0.09,
300279,,developmental,SQE,,1-Jan-91,,
300280,,cancer,LC,,1-Oct-89,0.09,
300280,,developmental,SQE,,1-Jan-91,,
300281,,cancer,LC,,1-Oct-89,0.09,
300281,,developmental,SQE,,1-Jan-91,,
300282,,cancer,LC,,1-Oct-89,0.09,
300282,,developmental,SQE,,1-Jan-91,,
300283,,cancer,LC,,1-Oct-89,0.09,
300283,,developmental,SQE,,1-Jan-91,,
300284,,cancer,LC,,1-Oct-89,0.09,
300284,,developmental,SQE,,1-Jan-91,,
300285,,cancer,LC,,1-Oct-89,0.09,
300285,,developmental,SQE,,1-Jan-91,,
300286,,cancer,LC,,1-Oct-89,0.09,
300286,,developmental,SQE,,1-Jan-91,,
300288,,cancer,LC,,1-Oct-89,0.09,
300288,,developmental,SQE,,1-Jan-91,,
300289,,cancer,LC,,1-Oct-89,0.09,
300289,,developmental,SQE,,1-Jan-91,,
300291,,cancer,SQE,,1-Jan-88,0.0054 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300293,,cancer,SQE,,1-Jan-88,,
300295,,cancer ,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noilaqlisting20justification.pdf,28-Sep-07,,
300322,,cancer,SQE,,1-Jan-88,0.0050 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300341,,cancer,LC,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/2bp1hydroxynot.pdf,27-May-05,,
300347,,cancer,AB,,1-Oct-90,,
300348,,cancer,AB,,1-Oct-90,,
300349,,cancer,AB,,1-Oct-90,,
300365,,cancer,AB,,1-Jan-92,9,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
300367,,cancer,AB,,1-Oct-90,,
300379,,cancer,LC,,1-Oct-89,0.09,
300379,,developmental,SQE,,1-Jan-91,,
300406,,cancer,SQE,,1-Jan-88,0.0050 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300428,,cancer,SQE,,1-Jul-87,0.096 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300432,,cancer,LC,,1-Oct-89,0.09,
300432,,developmental,SQE,,1-Jan-91,,
300433,,cancer,LC,,1-Oct-89,0.09,
300433,,developmental,SQE,,1-Jan-91,,
300435,,cancer,LC,,1-Oct-89,0.09,
300435,,developmental,SQE,,1-Jan-91,,
300436,,cancer,LC,,1-Oct-89,0.09,
300436,,developmental,SQE,,1-Jan-91,,
300437,,cancer,LC,,1-Oct-89,0.09,
300437,,developmental,SQE,,1-Jan-91,,
300438,,cancer,LC,,1-Oct-89,0.09,
300438,,developmental,SQE,,1-Jan-91,,
300440,,cancer,LC,,1-Oct-89,0.09,
300440,,developmental,SQE,,1-Jan-91,,
300441,,cancer,LC,,1-Oct-89,0.09,
300441,,developmental,SQE,,1-Jan-91,,
300442,,cancer,LC,,1-Oct-89,0.09,
300442,,developmental,SQE,,1-Jan-91,,
300504,,cancer,SQE,,1-Jul-87,0.096 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
